"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"HCB Karviná","M.A.T. Plzen",30,24
"HCB Karviná","M.A.T. Plzen",32,31
"M.A.T. Plzen","HCB Karviná",30,29
"M.A.T. Plzen","HCB Karviná",29,30
"HC ROBE Zubrí","HK FCC Mesto Lovosice",24,25
"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,33
"HK FCC Mesto Lovosice","HC ROBE Zubrí",33,30
"HK FCC Mesto Lovosice","HC ROBE Zubrí",20,30
"HC ROBE Zubrí","HK FCC Mesto Lovosice",35,31
"HBC Ronal Jicín","Dukla Praha",21,27
"Dukla Praha","HBC Ronal Jicín",28,22
"Pepino SKP Frýdek-Místek","Koprivnice",27,28
"Koprivnice","Pepino SKP Frýdek-Místek",34,30
"HCB Karviná","HK FCC Mesto Lovosice",28,25
"HC ROBE Zubrí","M.A.T. Plzen",30,31
"HCB Karviná","HK FCC Mesto Lovosice",24,18
"HC ROBE Zubrí","M.A.T. Plzen",26,24
"M.A.T. Plzen","HC ROBE Zubrí",24,22
"HK FCC Mesto Lovosice","HCB Karviná",33,38
"M.A.T. Plzen","HC ROBE Zubrí",28,25
"HBC Ronal Jicín","Koprivnice",31,24
"Pepino SKP Frýdek-Místek","Dukla Praha",27,31
"Koprivnice","HBC Ronal Jicín",28,29
"Dukla Praha","Pepino SKP Frýdek-Místek",27,30
"M.A.T. Plzen","Dukla Praha",22,21
"HK FCC Mesto Lovosice","Koprivnice",31,28
"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",28,23
"HCB Karviná","HBC Ronal Jicín",29,19
"HCB Karviná","HBC Ronal Jicín",28,26
"M.A.T. Plzen","Dukla Praha",24,23
"HK FCC Mesto Lovosice","Koprivnice",30,25
"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",30,25
"Dukla Praha","M.A.T. Plzen",24,25
"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,25
"Koprivnice","HK FCC Mesto Lovosice",36,27
"HBC Ronal Jicín","HCB Karviná",25,26
"Koprivnice","HK FCC Mesto Lovosice",30,33
"Cement Hranice","SKKP Handball Brno",32,32
"HBC Strakonice 1921","Sokol Nové Veselí",26,31
"Sokol Nové Veselí","Cement Hranice",33,26
"SKKP Handball Brno","HBC Strakonice 1921",30,29
"SKKP Handball Brno","Sokol Nové Veselí",31,35
"HBC Strakonice 1921","Cement Hranice",33,38
"SKKP Handball Brno","Cement Hranice",36,32
"Sokol Nové Veselí","HBC Strakonice 1921",32,15
"Cement Hranice","Sokol Nové Veselí",26,20
"HBC Strakonice 1921","SKKP Handball Brno",29,29
"Sokol Nové Veselí","SKKP Handball Brno",32,24
"Cement Hranice","HBC Strakonice 1921",34,27
"HK FCC Mesto Lovosice","HBC Strakonice 1921",38,31
"M.A.T. Plzen","SKKP Handball Brno",30,26
"HCB Karviná","Dukla Praha",28,28
"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,29
"Koprivnice","HBC Ronal Jicín",30,23
"Sokol Nové Veselí","Cement Hranice",26,25
"HBC Ronal Jicín","Pepino SKP Frýdek-Místek",32,22
"Dukla Praha","M.A.T. Plzen",25,31
"HC ROBE Zubrí","HK FCC Mesto Lovosice",31,21
"Cement Hranice","Koprivnice",34,25
"SKKP Handball Brno","Sokol Nové Veselí",20,29
"HBC Strakonice 1921","HCB Karviná",29,35
"Cement Hranice","SKKP Handball Brno",24,24
"HK FCC Mesto Lovosice","HBC Ronal Jicín",21,20
