"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"Sokol Nové Veselí","Dukla Praha",18,27
"Koprivnice","Pepino SKP Frýdek-Místek",29,32
"HCB Karviná","HC ROBE Zubrí",23,28
"M.A.T. Plzen","HBC Strakonice 1921",31,21
"Dukla Praha","Cement Hranice",30,20
"SKKP Handball Brno","Koprivnice",29,34
"HBC Ronal Jicín","HCB Karviná",24,28
"HC ROBE Zubrí","M.A.T. Plzen",24,23
"HBC Strakonice 1921","Sokol Nové Veselí",24,30
"Pepino SKP Frýdek-Místek","HK FCC Mesto Lovosice",32,29
"Koprivnice","HK FCC Mesto Lovosice",28,29
"SKKP Handball Brno","Dukla Praha",30,32
"Sokol Nové Veselí","HC ROBE Zubrí",25,27
"HCB Karviná","Pepino SKP Frýdek-Místek",27,22
"Cement Hranice","HBC Strakonice 1921",40,28
"M.A.T. Plzen","HBC Ronal Jicín",23,22
"Dukla Praha","Koprivnice",27,22
"HK FCC Mesto Lovosice","HCB Karviná",25,25
"SKKP Handball Brno","HBC Strakonice 1921",33,32
"HBC Ronal Jicín","Sokol Nové Veselí",22,21
"HC ROBE Zubrí","Cement Hranice",34,28
"Pepino SKP Frýdek-Místek","M.A.T. Plzen",23,22
"Dukla Praha","HBC Strakonice 1921",32,24
"SKKP Handball Brno","HC ROBE Zubrí",24,27
"Koprivnice","HCB Karviná",27,32
"Sokol Nové Veselí","Pepino SKP Frýdek-Místek",25,28
"Cement Hranice","HBC Ronal Jicín",28,22
"M.A.T. Plzen","HK FCC Mesto Lovosice",23,30
"HK FCC Mesto Lovosice","Sokol Nové Veselí",40,22
"HBC Ronal Jicín","SKKP Handball Brno",30,25
"HC ROBE Zubrí","Dukla Praha",29,28
"HBC Strakonice 1921","Koprivnice",27,27
"HCB Karviná","M.A.T. Plzen",30,27
"Pepino SKP Frýdek-Místek","Cement Hranice",31,30
"Dukla Praha","HBC Ronal Jicín",36,25
"SKKP Handball Brno","Pepino SKP Frýdek-Místek",32,30
"HBC Strakonice 1921","HC ROBE Zubrí",29,26
"Sokol Nové Veselí","HCB Karviná",21,22
"Cement Hranice","HK FCC Mesto Lovosice",24,27
"M.A.T. Plzen","Koprivnice",28,26
"Pepino SKP Frýdek-Místek","Dukla Praha",26,34
"HBC Ronal Jicín","HBC Strakonice 1921",34,24
"HC ROBE Zubrí","Koprivnice",30,30
"SKKP Handball Brno","HK FCC Mesto Lovosice",32,29
"HCB Karviná","Cement Hranice",32,26
"M.A.T. Plzen","Sokol Nové Veselí",26,22
"HBC Strakonice 1921","Pepino SKP Frýdek-Místek",29,23
"Dukla Praha","HK FCC Mesto Lovosice",30,30
"SKKP Handball Brno","HCB Karviná",30,27
"HC ROBE Zubrí","HBC Ronal Jicín",28,22
"Koprivnice","Sokol Nové Veselí",28,21
"Cement Hranice","M.A.T. Plzen",20,24
"HBC Ronal Jicín","Koprivnice",31,29
"Cement Hranice","Sokol Nové Veselí",26,21
"Dukla Praha","HCB Karviná",39,32
"HBC Strakonice 1921","HK FCC Mesto Lovosice",21,36
"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",22,21
"SKKP Handball Brno","M.A.T. Plzen",30,35
"HK FCC Mesto Lovosice","HC ROBE Zubrí",26,24
"Pepino SKP Frýdek-Místek","HBC Ronal Jicín",31,22
"Koprivnice","Cement Hranice",32,31
"HCB Karviná","HBC Strakonice 1921",38,26
"M.A.T. Plzen","Dukla Praha",31,31
"Sokol Nové Veselí","SKKP Handball Brno",30,29
"Dukla Praha","Sokol Nové Veselí",31,23
"SKKP Handball Brno","Cement Hranice",26,28
"HBC Ronal Jicín","HK FCC Mesto Lovosice",20,29
"HC ROBE Zubrí","HCB Karviná",33,26
"HBC Strakonice 1921","M.A.T. Plzen",25,31
"Pepino SKP Frýdek-Místek","Koprivnice",26,26
"HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",28,31
"Sokol Nové Veselí","HBC Strakonice 1921",24,27
"Koprivnice","SKKP Handball Brno",31,31
"HCB Karviná","HBC Ronal Jicín",30,23
"Cement Hranice","Dukla Praha",21,16
"M.A.T. Plzen","HC ROBE Zubrí",33,23
"Pepino SKP Frýdek-Místek","HCB Karviná",26,32
"HK FCC Mesto Lovosice","Koprivnice",34,32
"Dukla Praha","SKKP Handball Brno",26,21
"HBC Ronal Jicín","M.A.T. Plzen",26,25
"HC ROBE Zubrí","Sokol Nové Veselí",27,25
"HBC Strakonice 1921","Cement Hranice",23,29
"M.A.T. Plzen","Pepino SKP Frýdek-Místek",31,20
"Cement Hranice","HC ROBE Zubrí",23,31
"Sokol Nové Veselí","HBC Ronal Jicín",24,24
"Koprivnice","Dukla Praha",34,32
"HBC Strakonice 1921","SKKP Handball Brno",24,23
"HCB Karviná","HK FCC Mesto Lovosice",26,26
"HK FCC Mesto Lovosice","M.A.T. Plzen",25,30
"HBC Ronal Jicín","Cement Hranice",27,17
"HC ROBE Zubrí","SKKP Handball Brno",29,23
"HBC Strakonice 1921","Dukla Praha",26,26
"HCB Karviná","Koprivnice",36,29
"Pepino SKP Frýdek-Místek","Sokol Nové Veselí",21,29
"M.A.T. Plzen","HCB Karviná",25,28
"Dukla Praha","HC ROBE Zubrí",23,20
"SKKP Handball Brno","HBC Ronal Jicín",31,28
"Sokol Nové Veselí","HK FCC Mesto Lovosice",25,17
"Koprivnice","HBC Strakonice 1921",30,21
"Cement Hranice","Pepino SKP Frýdek-Místek",21,22
"HK FCC Mesto Lovosice","Cement Hranice",28,22
"HBC Ronal Jicín","Dukla Praha",22,20
"HC ROBE Zubrí","HBC Strakonice 1921",28,24
"Koprivnice","M.A.T. Plzen",28,26
"HCB Karviná","Sokol Nové Veselí",26,33
"Pepino SKP Frýdek-Místek","SKKP Handball Brno",27,28
"Dukla Praha","Pepino SKP Frýdek-Místek",31,27
"HK FCC Mesto Lovosice","SKKP Handball Brno",29,27
"Sokol Nové Veselí","M.A.T. Plzen",22,23
"Koprivnice","HC ROBE Zubrí",29,30
"HBC Strakonice 1921","HBC Ronal Jicín",26,36
"Cement Hranice","HCB Karviná",33,28
"Sokol Nové Veselí","Koprivnice",23,25
"HBC Ronal Jicín","HC ROBE Zubrí",23,24
"HCB Karviná","SKKP Handball Brno",31,26
"M.A.T. Plzen","Cement Hranice",35,31
"Pepino SKP Frýdek-Místek","HBC Strakonice 1921",34,23
"HK FCC Mesto Lovosice","Dukla Praha",29,26
