"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"Koprivnice","HC ROBE Zubrí",30,37
"HCB Karviná","Pepino SKP Frýdek-Místek",30,25
"M.A.T. Plzen","SKKP Handball Brno",34,20
"Dukla Praha","Koprivnice",36,29
"HC ROBE Zubrí","SKKP Handball Brno",29,27
"Pepino SKP Frýdek-Místek","HK FCC Mesto Lovosice",22,31
"Cement Hranice","HCB Karviná",30,33
"M.A.T. Plzen","HBC Ronal Jicín",27,19
"Sokol Nové Veselí","Tatran Litovel",31,29
"HCB Karviná","M.A.T. Plzen",28,25
"HK FCC Mesto Lovosice","Cement Hranice",31,26
"Pepino SKP Frýdek-Místek","Sokol Nové Veselí",27,24
"SKKP Handball Brno","Dukla Praha",32,26
"HBC Ronal Jicín","HC ROBE Zubrí",25,26
"Koprivnice","Tatran Litovel",31,26
"Cement Hranice","Pepino SKP Frýdek-Místek",31,29
"Dukla Praha","HBC Ronal Jicín",27,22
"Tatran Litovel","SKKP Handball Brno",24,29
"HC ROBE Zubrí","HCB Karviná",32,25
"Sokol Nové Veselí","Koprivnice",27,22
"M.A.T. Plzen","HK FCC Mesto Lovosice",29,24
"HCB Karviná","Dukla Praha",28,31
"Pepino SKP Frýdek-Místek","M.A.T. Plzen",31,29
"HK FCC Mesto Lovosice","HC ROBE Zubrí",33,30
"SKKP Handball Brno","Koprivnice",32,31
"HBC Ronal Jicín","Tatran Litovel",33,30
"Cement Hranice","Sokol Nové Veselí",33,35
"M.A.T. Plzen","Cement Hranice",41,25
"Dukla Praha","HK FCC Mesto Lovosice",25,28
"Tatran Litovel","HCB Karviná",30,35
"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",31,24
"Koprivnice","HBC Ronal Jicín",19,23
"Sokol Nové Veselí","SKKP Handball Brno",20,21
"M.A.T. Plzen","Sokol Nové Veselí",36,19
"HK FCC Mesto Lovosice","Tatran Litovel",40,26
"HBC Ronal Jicín","SKKP Handball Brno",20,25
"HCB Karviná","Koprivnice",31,32
"Cement Hranice","HC ROBE Zubrí",23,24
"Pepino SKP Frýdek-Místek","Dukla Praha",30,34
"HC ROBE Zubrí","M.A.T. Plzen",31,29
"Dukla Praha","Cement Hranice",45,23
"Tatran Litovel","Pepino SKP Frýdek-Místek",27,25
"Koprivnice","HK FCC Mesto Lovosice",31,31
"SKKP Handball Brno","HCB Karviná",31,26
"Sokol Nové Veselí","HBC Ronal Jicín",25,28
"HK FCC Mesto Lovosice","SKKP Handball Brno",32,27
"HC ROBE Zubrí","Sokol Nové Veselí",33,22
"HCB Karviná","HBC Ronal Jicín",27,25
"Cement Hranice","Tatran Litovel",42,32
"Pepino SKP Frýdek-Místek","Koprivnice",36,23
"M.A.T. Plzen","Dukla Praha",31,24
"HBC Ronal Jicín","HK FCC Mesto Lovosice",20,27
"Tatran Litovel","M.A.T. Plzen",26,28
"SKKP Handball Brno","Pepino SKP Frýdek-Místek",33,26
"Koprivnice","Cement Hranice",37,35
"Sokol Nové Veselí","HCB Karviná",29,38
"Dukla Praha","HC ROBE Zubrí",27,24
"Dukla Praha","Sokol Nové Veselí",36,29
"HC ROBE Zubrí","Tatran Litovel",32,26
"HK FCC Mesto Lovosice","HCB Karviná",36,25
"Cement Hranice","SKKP Handball Brno",25,21
"M.A.T. Plzen","Koprivnice",25,22
"Pepino SKP Frýdek-Místek","HBC Ronal Jicín",30,28
