"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast"
1,"HCB Karviná","M.A.T. Plzen",30,24,"12.5.2018","18 : 11",1213,"4 : 0","Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl","FinalsMatch","2017/2018",0
2,"HCB Karviná","M.A.T. Plzen",32,31,"13.5.2018","15 : 17",1270,"8 : 3","Mojmír Valášek, Jaroslav Vychodil","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl","FinalsMatch","2017/2018",0
3,"M.A.T. Plzen","HCB Karviná",30,29,"19.5.2018","14 : 15",920,"1 : 2","Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek","FinalsMatch","2017/2018",0
4,"M.A.T. Plzen","HCB Karviná",29,30,"20.5.2018","13 : 15",1200,"0 : 4","Pavel Blanar, Michael Haramul","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek","FinalsMatch","2017/2018",0
5,"HC ROBE Zubrí","HK FCC Mesto Lovosice",24,25,"12.5.2018","14 : 11",1183,"5 : 3","Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0
6,"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,33,"13.5.2018","12 : 15",1044,"6 : 5","Tomáš Bubenícek, Tomáš Petruška","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0
7,"HK FCC Mesto Lovosice","HC ROBE Zubrí",33,30,"19.5.2018","14 : 13",455,"2 : 4","Jirí Opava, Pavel Válek","Roman Jelínek","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2017/2018",0
8,"HK FCC Mesto Lovosice","HC ROBE Zubrí",20,30,"20.5.2018","10 : 14",545,"0 : 0","Václav Horácek, Jirí Novotný","Roman Jelínek","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2017/2018",0
9,"HC ROBE Zubrí","HK FCC Mesto Lovosice",35,31,"23.5.2018","17 : 13",1328,"1 : 0","Václav Horácek, Jirí Novotný","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0
10,"HBC Ronal Jicín","Dukla Praha",21,27,"13.5.2018","9 : 14",390,"4 : 2","Jirí Králícek, Milan Letev","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","5thPlaceMatch","2017/2018",0
