"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast"
1,"M.A.T. Plzen","A.S.A. Lovosice",33,25,"9.5.2015","17 : 12",1265,"2 : 2","Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","FinalsMatch","2014/2015",1
2,"M.A.T. Plzen","A.S.A. Lovosice",26,18,"10.5.2015","16 : 9",1348,"3 : 5","Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","FinalsMatch","2014/2015",1
3,"A.S.A. Lovosice","M.A.T. Plzen",21,22,"16.5.2015","12 : 10",950,"5 : 3","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","FinalsMatch","2014/2015",1
4,"KP Brno","Baník OKD Karviná",32,31,"9.5.2015","13 : 15",318,"4 : 2","Milan Hájek, Karel Macho","Andrej Titkov","Pavel Cejka","Jaroslav Hudecek","Radek Gumolka","3rdPlaceMatch","2014/2015",0
5,"KP Brno","Baník OKD Karviná",25,26,"10.5.2015","9 : 12",371,"2 : 2","Michal Nezbeda, Václav Zelenka","Andrej Titkov","Pavel Cejka","Jaroslav Hudecek","Jan Dudek","3rdPlaceMatch","2014/2015",0
6,"Baník OKD Karviná","KP Brno",30,33,"16.5.2015","13 : 15",515,"4 : 2","Ludek Tocík, Martin Zych","Jaroslav Hudecek","Radek Gumolka","Andrej Titkov","Pavel Cejka","3rdPlaceMatch","2014/2015",0
7,"Baník OKD Karviná","KP Brno",27,32,"17.5.2015","13 : 15",615,"6 : 3","Václav Horácek, Jirí Novotný","Jaroslav Hudecek","Radek Gumolka","Andrej Titkov","Pavel Cejka","3rdPlaceMatch","2014/2015",1
8,"Dukla Praha","Gumárny Zubrí",26,25,"8.5.2015","14 : 12",125,"1 : 5","Michal Hanák, Luboš Pavlícek","Jan Josef","Jirí Kotrc","Jirí Kekrt","Ivo Tovaryš","5thPlaceMatch","2014/2015",0
9,"Gumárny Zubrí","Dukla Praha",31,23,"16.5.2015","15 : 11",450,"3 : 2","Marek Becicka, Jirí Horák","Jirí Kekrt","Ivo Tovaryš","Jan Josef","Jirí Kotrc","5thPlaceMatch","2014/2015",0
10,"SKP Frýdek-Místek","Cement Hranice",30,29,"8.5.2015","16 : 14",156,"1 : 0","Bohumil Bruna, Petr Halada","Aleš Chrastina","Petr Mazur","Libor Hrabal","Karel Magrla","7thPlaceMatch","2014/2015",0
11,"Cement Hranice","SKP Frýdek-Místek",35,27,"15.5.2015","20 : 11",253,"3 : 1","Tomáš Bubenícek, Jan Kosmák","Libor Hrabal","Martin Potiška","Aleš Chrastina","Petr Mazur","7thPlaceMatch","2014/2015",0
12,"KP Brno","A.S.A. Lovosice",24,20,"11.4.2015","12 : 12",751,"2 : 1","Milan Hájek, Karel Macho","Andrej Titkov","Pavel Cejka","Vladimír Šuma","Pavel Haken","SemifinalsMatch","2014/2015",1
13,"M.A.T. Plzen","Baník OKD Karviná",27,23,"11.4.2015","16 : 12",1130,"2 : 2","Ludek Tocík, Martin Zych","Martin Šetlík","Stanislav Raizl","Jaroslav Hudecek","Radek Gumolka","SemifinalsMatch","2014/2015",0
14,"M.A.T. Plzen","Baník OKD Karviná",35,17,"12.4.2015","18 : 13",910,"1 : 2","Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Jaroslav Hudecek","Radek Gumolka","SemifinalsMatch","2014/2015",1
15,"KP Brno","A.S.A. Lovosice",30,28,"12.4.2015","15 : 16",825,"1 : 1","Radoslav Kavulic, Libor Skružný","Andrej Titkov","Pavel Cejka","Vladimír Šuma","Pavel Haken","SemifinalsMatch","2014/2015",0
16,"A.S.A. Lovosice","KP Brno",27,24,"18.4.2015","16 : 14",570,"5 : 3","Jirí Opava, Pavel Válek","Vladimír Šuma","Pavel Haken","Andrej Titkov","Jan Pokorný","SemifinalsMatch","2014/2015",1
17,"Baník OKD Karviná","M.A.T. Plzen",24,32,"18.4.2015","10 : 15",1017,"0 : 2","Václav Horácek, Jirí Novotný","Jaroslav Hudecek","Radek Gumolka","Martin Šetlík","Stanislav Raizl","SemifinalsMatch","2014/2015",0
18,"A.S.A. Lovosice","KP Brno",26,20,"19.4.2015","14 : 10",950,"0 : 3","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Andrej Titkov","Pavel Cejka","SemifinalsMatch","2014/2015",0
19,"KP Brno","A.S.A. Lovosice",22,23,"22.4.2015","12 : 11",1120,"3 : 2","Jirí Opava, Pavel Válek","Andrej Titkov","Pavel Cejka","Vladimír Šuma","Pavel Haken","SemifinalsMatch","2014/2015",0
