"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast"
1,"M.A.T. Plzen","Dukla Praha",22,24,"13.5.2017","14 : 14",1370,"3 : 2","Michal Hanák, Luboš Pavlícek","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch","2016/2017",0
2,"M.A.T. Plzen","Dukla Praha",34,19,"14.5.2017","18 : 9",1340,"2 : 7","Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch","2016/2017",0
3,"Dukla Praha","M.A.T. Plzen",28,23,"19.5.2017","13 : 14",700,"2 : 0","Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch","2016/2017",1
4,"Dukla Praha","M.A.T. Plzen",27,26,"20.5.2017","12 : 8",1300,"4 : 3","Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch","2016/2017",0
5,"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,20,"13.5.2017","12 : 9",1134,"4 : 2","Jirí Opava, Pavel Válek","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","3rdPlaceMatch","2016/2017",0
6,"HC ROBE Zubrí","HK FCC Mesto Lovosice",33,24,"14.5.2017","17 : 10",1043,"2 : 0","Dalibor Pavlát, Ludek Tocík","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","3rdPlaceMatch","2016/2017",0
7,"HK FCC Mesto Lovosice","HC ROBE Zubrí",31,29,"20.5.2017","14 : 15",580,"2 : 2",", Radek Mohyla","Milan Berka","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2016/2017",0
8,"HK FCC Mesto Lovosice","HC ROBE Zubrí",22,32,"21.5.2017","11 : 17",410,"2 : 0","Václav Horácek, Jirí Novotný","Milan Berka","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2016/2017",0
9,"HBC Ronal Jicín","Pepino SKP Frýdek-Místek",26,27,"28.4.2017","15 : 14",305,"1 : 4","Dalibor Pavlát, Ludek Tocík","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","5thPlaceMatch","2016/2017",0
10,"Pepino SKP Frýdek-Místek","HBC Ronal Jicín",21,22,"7.5.2017","12 : 13",389,"3 : 2","Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","5thPlaceMatch","2016/2017",0
