"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast"
1,"Lovosice","Hranice",32,29,"25.5.2014","12 : 17",421,"1 : 2","Radoslav Kavulic, Libor Skružný","Vladimír Šuma","Pavel Haken","Libor Hrabal","Martin Schober","1till6placeMatch","2013/2014",0
2,"Dukla","Jicín",26,18,"25.5.2014","14 : 6",130,"2 : 5","Bedrich Frieser, Lukáš Frieser","Jirí Kotrc","Daniel Curda","Aleš Babák","Petr Kyncl","1till6placeMatch","2013/2014",0
3,"Plzen","Frýdek-Místek",30,27,"25.5.2014","15 : 13",520,"0 : 1","Bohumil Bruna, Petr Halada","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","1till6placeMatch","2013/2014",0
4,"Frýdek-Místek","Dukla",17,26,"17.5.2014","9 : 11",432,"5 : 4","Martin Kosa, Pavel Švidernoch","Aleš Chrastina","Petr Mazur","Jirí Kotrc","Daniel Curda","1till6placeMatch","2013/2014",0
5,"Jicín","Lovosice",27,27,"17.5.2014","14 : 14",460,"2 : 3","Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Vladimír Šuma","Pavel Haken","1till6placeMatch","2013/2014",0
6,"Hranice","Plzen",28,23,"17.5.2014","12 : 10",215,"4 : 0","Jirí Opava, Pavel Válek","Libor Hrabal","Martin Schober","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2013/2014",0
7,"Dukla","Lovosice",29,21,"10.5.2014","11 : 11",155,"2 : 3","Marek Becicka, Jirí Horák","Jirí Kotrc","Daniel Curda","Vladimír Šuma","Pavel Haken","1till6placeMatch","2013/2014",0
8,"Plzen","Jicín",30,18,"11.5.2014","17 : 10",1150,"1 : 3","Jirí Králícek, Milan Letev","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","1till6placeMatch","2013/2014",0
9,"Frýdek-Místek","Hranice",26,27,"11.5.2014","11 : 12",498,"3 : 4","Václav Horácek, Jirí Novotný","Aleš Chrastina","Petr Mazur","Libor Hrabal","Tomáš Galus","1till6placeMatch","2013/2014",0
10,"Lovosice","Plzen",28,29,"3.5.2014","17 : 12",650,"0 : 0","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2013/2014",0
