"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"HCB Karviná","M.A.T. Plzen",30,24,"12.5.2018",1213,"Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl","FinalsMatch","2017/2018",0,18,11,4,0
2,"HCB Karviná","M.A.T. Plzen",32,31,"13.5.2018",1270,"Mojmír Valášek, Jaroslav Vychodil","Marek Michalisko","Jan Užek","Michal Tonar","Stanislav Raizl","FinalsMatch","2017/2018",0,15,17,8,3
3,"M.A.T. Plzen","HCB Karviná",30,29,"19.5.2018",920,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek","FinalsMatch","2017/2018",0,14,15,1,2
4,"M.A.T. Plzen","HCB Karviná",29,30,"20.5.2018",1200,"Pavel Blanar, Michael Haramul","Michal Tonar","Stanislav Raizl","Marek Michalisko","Jan Užek","FinalsMatch","2017/2018",0,13,15,0,4
5,"HC ROBE Zubrí","HK FCC Mesto Lovosice",24,25,"12.5.2018",1183,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0,14,11,5,3
6,"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,33,"13.5.2018",1044,"Tomáš Bubenícek, Tomáš Petruška","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0,12,15,6,5
7,"HK FCC Mesto Lovosice","HC ROBE Zubrí",33,30,"19.5.2018",455,"Jirí Opava, Pavel Válek","Roman Jelínek","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2017/2018",0,14,13,2,4
8,"HK FCC Mesto Lovosice","HC ROBE Zubrí",20,30,"20.5.2018",545,"Václav Horácek, Jirí Novotný","Roman Jelínek","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2017/2018",0,10,14,0,0
9,"HC ROBE Zubrí","HK FCC Mesto Lovosice",35,31,"23.5.2018",1328,"Václav Horácek, Jirí Novotný","Andrej Titkov","Ivo Tovaryš","Roman Jelínek","Pavel Haken","3rdPlaceMatch","2017/2018",0,17,13,1,0
10,"HBC Ronal Jicín","Dukla Praha",21,27,"13.5.2018",390,"Jirí Králícek, Milan Letev","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","5thPlaceMatch","2017/2018",0,9,14,4,2
11,"Dukla Praha","HBC Ronal Jicín",28,22,"16.5.2018",128,"Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","5thPlaceMatch","2017/2018",0,14,10,3,3
12,"Pepino SKP Frýdek-Místek","Koprivnice",27,28,"13.5.2018",221,"Marek Becicka, Jirí Horák","Jirí Kekrt","Petr Mazur","Lubomír Vermirovský","Igor Fulnek","7thPlaceMatch","2017/2018",0,17,15,1,3
13,"Koprivnice","Pepino SKP Frýdek-Místek",34,30,"19.5.2018",290,"Premysl Fukala, Radek Mohyla","Lubomír Vermirovský","Igor Fulnek","Jirí Kekrt","Petr Mazur","7thPlaceMatch","2017/2018",0,14,14,2,1
14,"HCB Karviná","HK FCC Mesto Lovosice",28,25,"28.4.2018",802,"Milan Hájek, Karel Macho","Marek Michalisko","Jan Užek","Roman Jelínek","Pavel Haken","SemifinalsMatch","2017/2018",0,14,12,5,0
15,"HC ROBE Zubrí","M.A.T. Plzen",30,31,"28.4.2018",1226,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Michal Tonar","Stanislav Raizl","SemifinalsMatch","2017/2018",0,14,15,5,2
16,"HCB Karviná","HK FCC Mesto Lovosice",24,18,"29.4.2018",894,"Marek Becicka, Jirí Horák","Marek Michalisko","Jan Užek","Roman Jelínek","Pavel Haken","SemifinalsMatch","2017/2018",0,10,11,0,1
17,"HC ROBE Zubrí","M.A.T. Plzen",26,24,"29.4.2018",1289,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Michal Tonar","Stanislav Raizl","SemifinalsMatch","2017/2018",0,12,14,3,2
18,"M.A.T. Plzen","HC ROBE Zubrí",24,22,"5.5.2018",580,"Pavel Blanar, Michael Haramul","Michal Tonar","Stanislav Raizl","Andrej Titkov","Ivo Tovaryš","SemifinalsMatch","2017/2018",0,10,9,3,0
19,"HK FCC Mesto Lovosice","HCB Karviná",33,38,"5.5.2018",472,"Václav Horácek, Jirí Novotný","Roman Jelínek","Pavel Haken","Marek Michalisko","Jan Užek","SemifinalsMatch","2017/2018",0,16,19,2,3
20,"M.A.T. Plzen","HC ROBE Zubrí",28,25,"6.5.2018",620,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Andrej Titkov","Ivo Tovaryš","SemifinalsMatch","2017/2018",0,17,13,1,3
21,"HBC Ronal Jicín","Koprivnice",31,24,"28.4.2018",290,"Jirí Králícek, Milan Letev","Aleš Babák","Petr Kyncl","Lubomír Vermirovský","Igor Fulnek","5till8placeMatch","2017/2018",0,15,10,3,3
22,"Pepino SKP Frýdek-Místek","Dukla Praha",27,31,"29.4.2018",316,"Mojmír Valášek, Jaroslav Vychodil","Jirí Kekrt","Petr Mazur","Jan Josef","Jirí Kotrc","5till8placeMatch","2017/2018",0,12,16,6,1
23,"Koprivnice","HBC Ronal Jicín",28,29,"1.5.2018",300,"Marek Becicka, Jirí Horák","Lubomír Vermirovský","Igor Fulnek","Aleš Babák","Petr Mašát","5till8placeMatch","2017/2018",0,14,10,4,1
24,"Dukla Praha","Pepino SKP Frýdek-Místek",27,30,"5.5.2018",62,"Milan Hájek, Karel Macho","Jan Josef","Jirí Kotrc","Jirí Kekrt","Petr Mazur","5till8placeMatch","2017/2018",0,13,15,1,3
25,"M.A.T. Plzen","Dukla Praha",22,21,"14.4.2018",510,"Václav Horácek, Jirí Novotný","Michal Tonar","Stanislav Raizl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2017/2018",0,11,11,1,1
26,"HK FCC Mesto Lovosice","Koprivnice",31,28,"14.4.2018",818,"Pavel Blanar, Michael Haramul","Roman Jelínek","Pavel Haken","Lubomír Vermirovský","Igor Fulnek","QuarterfinalsMatch","2017/2018",0,12,9,2,0
27,"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",28,23,"14.4.2018",983,"Marek Becicka, Jirí Horák","Andrej Titkov","Ivo Tovaryš","Jirí Kekrt","Petr Mazur","QuarterfinalsMatch","2017/2018",0,15,10,7,6
28,"HCB Karviná","HBC Ronal Jicín",29,19,"14.4.2018",790,"Lukáš Frieser, Radoslav Kavulic","Marek Michalisko","Jan Užek","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2017/2018",0,13,11,1,0
29,"HCB Karviná","HBC Ronal Jicín",28,26,"15.4.2018",710,"Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2017/2018",0,12,11,2,3
30,"M.A.T. Plzen","Dukla Praha",24,23,"15.4.2018",530,"Premysl Fukala, Radek Mohyla","Michal Tonar","Stanislav Raizl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2017/2018",0,14,14,4,1
31,"HK FCC Mesto Lovosice","Koprivnice",30,25,"15.4.2018",721,"Mojmír Valášek, Jaroslav Vychodil","Roman Jelínek","Pavel Haken","Lubomír Vermirovský","Igor Fulnek","QuarterfinalsMatch","2017/2018",0,16,14,2,4
32,"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",30,25,"15.4.2018",1034,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Jirí Kekrt","Petr Mazur","QuarterfinalsMatch","2017/2018",0,12,14,2,2
33,"Dukla Praha","M.A.T. Plzen",24,25,"21.4.2018",260,"Pavel Blanar, Michael Haramul","Jan Josef","Jirí Kotrc","Michal Tonar","Stanislav Raizl","QuarterfinalsMatch","2017/2018",0,10,9,6,3
34,"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,25,"21.4.2018",429,"Tomáš Bubenícek, Tomáš Petruška","Jirí Kekrt","Petr Mazur","Andrej Titkov","Ivo Tovaryš","QuarterfinalsMatch","2017/2018",0,10,15,3,3
35,"Koprivnice","HK FCC Mesto Lovosice",36,27,"21.4.2018",650,"Václav Horácek, Jirí Novotný","Lubomír Vermirovský","Igor Fulnek","Roman Jelínek","Pavel Haken","QuarterfinalsMatch","2017/2018",0,19,11,3,0
36,"HBC Ronal Jicín","HCB Karviná",25,26,"21.4.2018",405,"Premysl Fukala, Radek Mohyla","Aleš Babák","Petr Kyncl","Marek Michalisko","Jan Užek","QuarterfinalsMatch","2017/2018",0,12,15,3,5
37,"Koprivnice","HK FCC Mesto Lovosice",30,33,"22.4.2018",680,"Dalibor Pavlát, Ludek Tocík","Lubomír Vermirovský","Igor Fulnek","Roman Jelínek","Pavel Haken","QuarterfinalsMatch","2017/2018",0,17,18,6,1
38,"Cement Hranice","SKKP Handball Brno",32,32,"9.5.2018",70,"Tomáš Bubenícek, Tomáš Petruška","Martin Marek","Martin Potiška","Ivan Minarík","Vít Kucera","9till12placeMatch","2017/2018",0,15,18,1,1
39,"HBC Strakonice 1921","Sokol Nové Veselí",26,31,"19.5.2018",320,"Karel Macho, Michal Nezbeda","Roman Marienka","Jaroslav Houska","Pavel Hladík","Stanislav Krcál","9till12placeMatch","2017/2018",0,14,13,3,2
40,"Sokol Nové Veselí","Cement Hranice",33,26,"6.5.2018",180,"Jirí Špunar, David Šlezingr","Pavel Hladík","Stanislav Krcál","Martin Marek","Martin Schober","9till12placeMatch","2017/2018",0,13,13,1,3
41,"SKKP Handball Brno","HBC Strakonice 1921",30,29,"13.5.2018",150,"Milan Hájek, Karel Macho","Ivan Minarík","Vít Kucera","Roman Marienka","Jaroslav Houska","9till12placeMatch","2017/2018",0,15,14,2,5
42,"SKKP Handball Brno","Sokol Nové Veselí",31,35,"5.5.2018",183,"Jirí Opava, Pavel Válek","Ivan Minarík","Vít Kucera","Pavel Hladík","Stanislav Krcál","9till12placeMatch","2017/2018",0,13,16,1,4
43,"HBC Strakonice 1921","Cement Hranice",33,38,"5.5.2018",325,"Tomáš Kozler, Martin Zych","Roman Marienka","Jaroslav Houska","Martin Marek","Martin Schober","9till12placeMatch","2017/2018",0,14,18,0,4
44,"SKKP Handball Brno","Cement Hranice",36,32,"27.4.2018",228,"Karel Macho, Milan Hájek","Ivan Minarík","Vít Kucera","Martin Marek","Martin Stržínek","9till12placeMatch","2017/2018",0,18,14,2,1
45,"Sokol Nové Veselí","HBC Strakonice 1921",32,15,"28.4.2018",200,"Premysl Fukala, Radek Mohyla","Pavel Hladík","Stanislav Krcál","Roman Marienka","Jaroslav Houska","9till12placeMatch","2017/2018",0,17,7,0,1
46,"Cement Hranice","Sokol Nové Veselí",26,20,"20.4.2018",60,"Adam Baader, Jirí Novotný","Martin Marek","Martin Potiška","Pavel Hladík","Stanislav Krcál","9till12placeMatch","2017/2018",0,10,7,0,0
47,"HBC Strakonice 1921","SKKP Handball Brno",29,29,"21.4.2018",370,"Milan Hájek, Karel Macho","Roman Marienka","Jaroslav Houska","Ivan Minarík","Vít Kucera","9till12placeMatch","2017/2018",0,14,14,5,3
48,"Sokol Nové Veselí","SKKP Handball Brno",32,24,"13.4.2018",250,"Milan Hájek, Karel Macho","Pavel Hladík","Stanislav Krcál","Ivan Minarík","Vít Kucera","9till12placeMatch","2017/2018",0,15,12,3,3
49,"Cement Hranice","HBC Strakonice 1921",34,27,"14.4.2018",100,"Tomáš Kozler, Martin Zych","Martin Marek","Martin Potiška","Roman Marienka","Jaroslav Houska","9till12placeMatch","2017/2018",0,16,12,3,1
50,"HK FCC Mesto Lovosice","HBC Strakonice 1921",38,31,"28.3.2018",490,"Tomáš Kozler, Martin Zych","Roman Jelínek","Pavel Haken","Roman Marienka","Jaroslav Houska","RegularPhaseMatch","2017/2018",0,19,18,2,3
51,"M.A.T. Plzen","SKKP Handball Brno",30,26,"28.3.2018",520,"Dalibor Pavlát, Ludek Tocík","Michal Tonar","Stanislav Raizl","Ivan Minarík","Vít Kucera","RegularPhaseMatch","2017/2018",0,15,14,7,2
52,"HCB Karviná","Dukla Praha",28,28,"30.3.2018",1196,"Milan Hájek, Karel Macho","Marek Michalisko","Jan Užek","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2017/2018",0,17,14,3,5
53,"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,29,"30.3.2018",587,"Mojmír Valášek, Jaroslav Vychodil","Jirí Kekrt","Petr Mazur","Andrej Titkov","Ivo Tovaryš","RegularPhaseMatch","2017/2018",0,14,12,0,2
54,"Koprivnice","HBC Ronal Jicín",30,23,"30.3.2018",890,"Michal Hanák, Luboš Pavlícek","Lubomír Vermirovský","Igor Fulnek","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2017/2018",0,16,11,4,6
55,"Sokol Nové Veselí","Cement Hranice",26,25,"30.3.2018",300,"Václav Horácek, Jirí Novotný","Pavel Hladík","Stanislav Krcál","Martin Marek","Martin Potiška","RegularPhaseMatch","2017/2018",0,15,11,1,3
56,"HBC Ronal Jicín","Pepino SKP Frýdek-Místek",32,22,"24.3.2018",650,"Lukáš Frieser, Radoslav Kavulic","Aleš Babák","Petr Kyncl","Jirí Kekrt","Petr Mazur","RegularPhaseMatch","2017/2018",0,18,10,2,3
57,"Dukla Praha","M.A.T. Plzen",25,31,"24.3.2018",360,"Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Michal Tonar","Stanislav Raizl","RegularPhaseMatch","2017/2018",0,13,11,3,1
58,"HC ROBE Zubrí","HK FCC Mesto Lovosice",31,21,"24.3.2018",1183,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Matej Šustácek","Roman Jelínek","Pavel Haken","RegularPhaseMatch","2017/2018",0,15,13,3,2
