"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"Zubrí","Karviná",26,23,"25.4.2010",1500,"Václav Horácek, Jirí Novotný","Jirí Kekrt","Jirí Mika","Jozef Hanták","Roman Požárek","FinalsMatch","2009/2010",1,12,14,4,2
2,"Karviná","Zubrí",28,26,"29.4.2010",1512,"Pavel Válek, Jirí Opava","Jozef Hanták","Roman Požárek","Jirí Kekrt","Jirí Mika","FinalsMatch","2009/2010",1,10,12,4,3
3,"Zubrí","Karviná",23,24,"2.5.2010",1800,"Petr Novák, Václav Kohout","Jirí Kekrt","Jirí Mika","Jozef Hanták","Roman Požárek","FinalsMatch","2009/2010",1,12,12,2,2
4,"Karviná","Zubrí",32,26,"5.5.2010",2510,"Jirí Novotný, Václav Horácek","Jozef Hanták","Roman Požárek","Jirí Kekrt","Jirí Mika","FinalsMatch","2009/2010",1,18,12,4,2
5,"Dukla","Hranice",36,21,"24.4.2010",132,"Radoslav Kavulic, Libor Skružný","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","3rdPlaceMatch","2009/2010",0,19,9,1,3
6,"Hranice","Dukla",29,25,"28.4.2010",400,"Václav Horácek, Jirí Novotný","Jan Hegar","Bretislav Žoch","Pavel Pauza","Jan Krouský","3rdPlaceMatch","2009/2010",0,16,9,4,6
7,"Dukla","Hranice",31,24,"2.5.2010",125,"Pavel Nesvadba, Vangelis Simu","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","3rdPlaceMatch","2009/2010",0,16,12,1,3
8,"Hranice","Dukla",32,29,"5.5.2010",500,"Marek Becicka, Jirí Horák","Jan Hegar","Bretislav Žoch","Pavel Pauza","Jan Krouský","3rdPlaceMatch","2009/2010",0,13,16,2,1
9,"Dukla","Hranice",33,32,"9.5.2010",215,"Václav Kohout, Petr Novák","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","3rdPlaceMatch","2009/2010",0,17,15,4,2
10,"Dukla","Karviná",26,29,"27.3.2010",445,"Karel Macho, Milan Hájek","Pavel Pauza","Jirí Kotrc","Jozef Hanták","Martin Kostelník","SemifinalsMatch","2009/2010",0,12,15,1,2
11,"Zubrí","Hranice",34,27,"28.3.2010",1020,"Marek Becicka, Jirí Horák","Jirí Kekrt","Jirí Mika","Jan Hegar","Bretislav Žoch","SemifinalsMatch","2009/2010",1,18,14,6,5
12,"Karviná","Dukla",32,23,"31.3.2010",1183,"Jirí Novotný, Václav Horácek","Jozef Hanták","Roman Požárek","Pavel Pauza","Jan Krouský","SemifinalsMatch","2009/2010",0,16,14,2,0
13,"Hranice","Zubrí",28,32,"31.3.2010",800,"Pavel Nesvadba, Vangelis Simu","Jan Hegar","Bretislav Žoch","Jirí Kekrt","Jirí Mika","SemifinalsMatch","2009/2010",0,15,15,2,2
14,"Zubrí","Hranice",35,34,"3.4.2010",1050,"Jirí Opava, Pavel Válek","Jirí Kekrt","Jirí Mika","Jan Hegar","Bretislav Žoch","SemifinalsMatch","2009/2010",0,13,16,6,3
15,"Dukla","Karviná",28,22,"5.4.2010",350,"Václav Kohout, Petr Novák","Pavel Pauza","Jirí Kotrc","Jozef Hanták","Roman Požárek","SemifinalsMatch","2009/2010",1,12,12,2,0
