"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"Lovosice","Hranice",32,29,"25.5.2014",421,"Radoslav Kavulic, Libor Skružný","Vladimír Šuma","Pavel Haken","Libor Hrabal","Martin Schober","1till6placeMatch","2013/2014",0,12,17,1,2
2,"Dukla","Jicín",26,18,"25.5.2014",130,"Bedrich Frieser, Lukáš Frieser","Jirí Kotrc","Daniel Curda","Aleš Babák","Petr Kyncl","1till6placeMatch","2013/2014",0,14,6,2,5
3,"Plzen","Frýdek-Místek",30,27,"25.5.2014",520,"Bohumil Bruna, Petr Halada","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","1till6placeMatch","2013/2014",0,15,13,0,1
4,"Frýdek-Místek","Dukla",17,26,"17.5.2014",432,"Martin Kosa, Pavel Švidernoch","Aleš Chrastina","Petr Mazur","Jirí Kotrc","Daniel Curda","1till6placeMatch","2013/2014",0,9,11,5,4
5,"Jicín","Lovosice",27,27,"17.5.2014",460,"Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Vladimír Šuma","Pavel Haken","1till6placeMatch","2013/2014",0,14,14,2,3
6,"Hranice","Plzen",28,23,"17.5.2014",215,"Jirí Opava, Pavel Válek","Libor Hrabal","Martin Schober","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2013/2014",0,12,10,4,0
7,"Dukla","Lovosice",29,21,"10.5.2014",155,"Marek Becicka, Jirí Horák","Jirí Kotrc","Daniel Curda","Vladimír Šuma","Pavel Haken","1till6placeMatch","2013/2014",0,11,11,2,3
8,"Plzen","Jicín",30,18,"11.5.2014",1150,"Jirí Králícek, Milan Letev","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","1till6placeMatch","2013/2014",0,17,10,1,3
9,"Frýdek-Místek","Hranice",26,27,"11.5.2014",498,"Václav Horácek, Jirí Novotný","Aleš Chrastina","Petr Mazur","Libor Hrabal","Tomáš Galus","1till6placeMatch","2013/2014",0,11,12,3,4
10,"Lovosice","Plzen",28,29,"3.5.2014",650,"Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2013/2014",0,17,12,0,0
11,"Hranice","Dukla",22,20,"4.5.2014",320,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Pavel Pauza","Jirí Kotrc","1till6placeMatch","2013/2014",0,11,12,2,1
12,"Jicín","Frýdek-Místek",25,23,"4.5.2014",490,"Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","1till6placeMatch","2013/2014",0,13,11,3,0
13,"Hranice","Jicín",26,21,"26.4.2014",190,"Jirí Opava, Pavel Válek","Libor Hrabal","Martin Schober","Aleš Babák","Petr Kyncl","1till6placeMatch","2013/2014",0,16,10,1,3
14,"Dukla","Plzen",13,18,"26.4.2014",210,"Dalibor Pavlát, Ludek Tocík","Pavel Pauza","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2013/2014",0,9,10,0,1
15,"Frýdek-Místek","Lovosice",25,28,"27.4.2014",478,"Marek Becicka, Jirí Horák","Aleš Chrastina","Petr Mazur","Vladimír Šuma","Pavel Haken","1till6placeMatch","2013/2014",0,9,16,2,4
16,"Frýdek-Místek","Plzen",23,31,"18.4.2014",495,"Jirí Králícek, Milan Letev","Aleš Chrastina","Petr Mazur","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2013/2014",0,12,15,1,1
17,"Jicín","Dukla",23,20,"18.4.2014",565,"Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Pavel Pauza","Jirí Kotrc","1till6placeMatch","2013/2014",0,13,9,3,1
18,"Hranice","Lovosice",29,27,"20.4.2014",290,"Radoslav Kavulic, Libor Skružný","Libor Hrabal","Martin Schober","Vladimír Šuma","Pavel Haken","1till6placeMatch","2013/2014",0,15,13,2,4
19,"Dukla","Frýdek-Místek",28,27,"12.4.2014",110,"Jirí Opava, Pavel Válek","Pavel Pauza","Jirí Kotrc","Aleš Chrastina","Petr Mazur","1till6placeMatch","2013/2014",0,10,13,2,2
20,"Lovosice","Jicín",28,23,"12.4.2014",523,"Milan Hájek, Karel Macho","Vladimír Šuma","Pavel Haken","Aleš Babák","Petr Kyncl","1till6placeMatch","2013/2014",0,13,10,3,3
