"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"Dukla Praha","M.A.T. Plzen",22,23,"21.5.2016",1000,"Jirí Opava, Pavel Válek","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch","2015/2016",0,12,11,1,1
2,"Dukla Praha","M.A.T. Plzen",25,21,"22.5.2016",500,"Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch","2015/2016",0,11,8,4,3
3,"M.A.T. Plzen","Dukla Praha",27,17,"28.5.2016",1420,"Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch","2015/2016",0,16,7,2,3
4,"M.A.T. Plzen","Dukla Praha",24,19,"29.5.2016",1650,"Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch","2015/2016",1,11,10,3,3
5,"Cement Hranice","Baník OKD Karviná",28,35,"21.5.2016",140,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Radek Bartošic","Zdenek Mrózek","3rdPlaceMatch","2015/2016",0,13,19,2,4
6,"Cement Hranice","Baník OKD Karviná",26,19,"22.5.2016",175,"Michal Nezbeda, Václav Zelenka","Libor Hrabal","Martin Potiška","Radek Bartošic","Zdenek Mrózek","3rdPlaceMatch","2015/2016",1,11,10,1,3
7,"Baník OKD Karviná","Cement Hranice",20,25,"28.5.2016",860,"Marek Becicka, Tomáš Bubenícek","Radek Bartošic","Petr Raszyk","Libor Hrabal","Martin Schober","3rdPlaceMatch","2015/2016",0,9,10,3,1
8,"Baník OKD Karviná","Cement Hranice",33,35,"29.5.2016",637,"Premysl Fukala, Radek Mohyla","Radek Bartošic","Petr Raszyk","Libor Hrabal","Martin Potiška","3rdPlaceMatch","2015/2016",0,14,16,7,6
9,"HK FCC Mesto Lovosice","HC Zubrí",26,24,"11.5.2016",238,"Tomáš Kozler, Martin Zych","Vladimír Šuma","Pavel Haken","Andrej Titkov","Pavel Hrachovec","5thPlaceMatch","2015/2016",0,12,14,2,2
10,"HC Zubrí","HK FCC Mesto Lovosice",34,30,"14.5.2016",650,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Pavel Hrachovec","Vladimír Šuma","Radek Provinský","5thPlaceMatch","2015/2016",0,18,15,4,2
11,"HBC Ronal Jicín","SKP Frýdek-Místek",32,26,"14.5.2016",300,"Pavel Blanar, Michael Haramul","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","7thPlaceMatch","2015/2016",0,18,10,1,3
12,"SKP Frýdek-Místek","HBC Ronal Jicín",27,23,"18.5.2016",243,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","7thPlaceMatch","2015/2016",0,12,5,4,3
13,"M.A.T. Plzen","Cement Hranice",34,21,"30.4.2016",958,"Marek Becicka, Tomáš Bubenícek","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Schober","SemifinalsMatch","2015/2016",0,16,9,2,1
14,"M.A.T. Plzen","Cement Hranice",33,21,"1.5.2016",1030,"Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Schober","SemifinalsMatch","2015/2016",1,14,10,5,1
15,"Cement Hranice","M.A.T. Plzen",23,24,"7.5.2016",270,"Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Schober","Martin Šetlík","Stanislav Raizl","SemifinalsMatch","2015/2016",0,13,11,2,3
16,"Dukla Praha","Baník OKD Karviná",31,21,"7.5.2016",175,"Michal Nezbeda, Václav Zelenka","Jan Josef","Jirí Kotrc","Radek Bartošic","Petr Raszyk","SemifinalsMatch","2015/2016",0,13,10,1,5
17,"Dukla Praha","Baník OKD Karviná",27,25,"8.5.2016",182,"Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Radek Bartošic","Petr Raszyk","SemifinalsMatch","2015/2016",0,13,13,2,3
18,"Baník OKD Karviná","Dukla Praha",24,28,"14.5.2016",903,"Lukáš Frieser, Radoslav Kavulic","Radek Bartošic","Petr Raszyk","Jan Josef","Jirí Kotrc","SemifinalsMatch","2015/2016",0,10,12,3,4
19,"HK FCC Mesto Lovosice","SKP Frýdek-Místek",23,18,"30.4.2016",284,"Marek Becicka, Tomáš Bubenícek","Vladimír Šuma","Pavel Haken","Aleš Chrastina","Petr Mazur","5till8placeMatch","2015/2016",0,7,10,3,0
20,"HBC Ronal Jicín","HC Zubrí",21,30,"4.5.2016",300,"Lukáš Frieser, Radoslav Kavulic","Aleš Babák","Petr Kyncl","Andrej Titkov","Pavel Hrachovec","5till8placeMatch","2015/2016",0,12,19,2,1
21,"HC Zubrí","HBC Ronal Jicín",30,28,"7.5.2016",0,"Jirí Králícek, Milan Letev","Andrej Titkov","Pavel Hrachovec","Aleš Babák","Petr Kyncl","5till8placeMatch","2015/2016",0,15,8,4,0
22,"SKP Frýdek-Místek","HK FCC Mesto Lovosice",26,24,"8.5.2016",310,"Mojmír Valášek, Jaroslav Vychodil","Aleš Chrastina","Petr Mazur","Vladimír Šuma","Pavel Haken","5till8placeMatch","2015/2016",0,16,12,2,2
23,"Cement Hranice","SKP Frýdek-Místek",26,20,"16.4.2016",380,"Lukáš Frieser, Radoslav Kavulic","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch","2015/2016",0,16,13,1,1
24,"M.A.T. Plzen","HK FCC Mesto Lovosice",28,14,"16.4.2016",0,"Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","QuarterfinalsMatch","2015/2016",1,12,5,3,6
25,"Dukla Praha","HBC Ronal Jicín",24,23,"16.4.2016",245,"Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2015/2016",0,13,10,4,2
26,"HC Zubrí","Baník OKD Karviná",28,29,"16.4.2016",1300,"Michal Nezbeda, Václav Zelenka","Andrej Titkov","Pavel Hrachovec","Radek Bartošic","Zdenek Mrózek","QuarterfinalsMatch","2015/2016",0,15,15,3,3
27,"Cement Hranice","SKP Frýdek-Místek",23,19,"17.4.2016",470,"Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch","2015/2016",0,14,11,5,4
