"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"M.A.T. Plzen","A.S.A. Lovosice",33,25,"9.5.2015",1265,"Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","FinalsMatch","2014/2015",1,17,12,2,2
2,"M.A.T. Plzen","A.S.A. Lovosice",26,18,"10.5.2015",1348,"Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","FinalsMatch","2014/2015",1,16,9,3,5
3,"A.S.A. Lovosice","M.A.T. Plzen",21,22,"16.5.2015",950,"Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","FinalsMatch","2014/2015",1,12,10,5,3
4,"KP Brno","Baník OKD Karviná",32,31,"9.5.2015",318,"Milan Hájek, Karel Macho","Andrej Titkov","Pavel Cejka","Jaroslav Hudecek","Radek Gumolka","3rdPlaceMatch","2014/2015",0,13,15,4,2
5,"KP Brno","Baník OKD Karviná",25,26,"10.5.2015",371,"Michal Nezbeda, Václav Zelenka","Andrej Titkov","Pavel Cejka","Jaroslav Hudecek","Jan Dudek","3rdPlaceMatch","2014/2015",0,9,12,2,2
6,"Baník OKD Karviná","KP Brno",30,33,"16.5.2015",515,"Ludek Tocík, Martin Zych","Jaroslav Hudecek","Radek Gumolka","Andrej Titkov","Pavel Cejka","3rdPlaceMatch","2014/2015",0,13,15,4,2
7,"Baník OKD Karviná","KP Brno",27,32,"17.5.2015",615,"Václav Horácek, Jirí Novotný","Jaroslav Hudecek","Radek Gumolka","Andrej Titkov","Pavel Cejka","3rdPlaceMatch","2014/2015",1,13,15,6,3
8,"Dukla Praha","Gumárny Zubrí",26,25,"8.5.2015",125,"Michal Hanák, Luboš Pavlícek","Jan Josef","Jirí Kotrc","Jirí Kekrt","Ivo Tovaryš","5thPlaceMatch","2014/2015",0,14,12,1,5
9,"Gumárny Zubrí","Dukla Praha",31,23,"16.5.2015",450,"Marek Becicka, Jirí Horák","Jirí Kekrt","Ivo Tovaryš","Jan Josef","Jirí Kotrc","5thPlaceMatch","2014/2015",0,15,11,3,2
10,"SKP Frýdek-Místek","Cement Hranice",30,29,"8.5.2015",156,"Bohumil Bruna, Petr Halada","Aleš Chrastina","Petr Mazur","Libor Hrabal","Karel Magrla","7thPlaceMatch","2014/2015",0,16,14,1,0
11,"Cement Hranice","SKP Frýdek-Místek",35,27,"15.5.2015",253,"Tomáš Bubenícek, Jan Kosmák","Libor Hrabal","Martin Potiška","Aleš Chrastina","Petr Mazur","7thPlaceMatch","2014/2015",0,20,11,3,1
