"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"Lovosice","Dukla",29,24,"25.5.2013",645,"Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Pavel Pauza","Milan Kotrc","1till6placeMatch","2012/2013",1,16,9,1,5
2,"Jicín","Plzen",26,23,"25.5.2013",860,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2012/2013",0,11,14,1,2
3,"Zubrí","Hranice",26,31,"25.5.2013",900,"Michal Hanák, Petr Novák","Aleš Korínek","Michal Balhárek","Libor Hrabal","Martin Potiška","1till6placeMatch","2012/2013",0,10,17,5,0
4,"Dukla","Jicín",30,28,"18.5.2013",145,"Michal Hanák, Petr Novák","Pavel Pauza","Milan Kotrc","Aleš Babák","Petr Kyncl","1till6placeMatch","2012/2013",0,14,15,1,0
5,"Plzen","Zubrí",30,30,"18.5.2013",120,"Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Aleš Korínek","Michal Balhárek","1till6placeMatch","2012/2013",0,15,18,6,8
6,"Hranice","Lovosice",29,22,"19.5.2013",240,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Potiška","Vojtech Srba","Pavel Haken","1till6placeMatch","2012/2013",1,15,11,0,2
7,"Plzen","Dukla",25,29,"11.5.2013",140,"Bedrich Frieser, Lukáš Frieser","Martin Šetlík","Stanislav Raizl","Pavel Pauza","Milan Kotrc","1till6placeMatch","2012/2013",0,11,16,2,4
8,"Jicín","Hranice",25,20,"12.5.2013",1160,"Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Libor Hrabal","Martin Potiška","1till6placeMatch","2012/2013",0,13,9,2,1
9,"Zubrí","Lovosice",23,26,"12.5.2013",600,"Marek Becicka, Jirí Horák","Jirí Micola","Michal Balhárek","Vojtech Srba","Pavel Haken","1till6placeMatch","2012/2013",0,13,11,2,2
10,"Hranice","Plzen",20,21,"8.5.2013",210,"Bohumil Bruna, René Vostatek","Libor Hrabal","Martin Potiška","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2012/2013",0,9,11,3,2
11,"Lovosice","Jicín",21,29,"8.5.2013",750,"Václav Horácek, Jirí Novotný","Vojtech Srba","Pavel Haken","Aleš Babák","Petr Kyncl","1till6placeMatch","2012/2013",1,8,16,3,0
12,"Dukla","Zubrí",25,18,"8.5.2013",175,"Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Jirí Micola","Michal Balhárek","1till6placeMatch","2012/2013",0,11,9,0,4
13,"Dukla","Hranice",28,25,"4.5.2013",150,"Bedrich Frieser, Lukáš Frieser","Pavel Pauza","Milan Kotrc","Libor Hrabal",,"1till6placeMatch","2012/2013",0,15,14,3,4
14,"Zubrí","Jicín",30,23,"5.5.2013",700,"Michal Hanák, Petr Novák","Jirí Micola","Michal Balhárek","Aleš Babák","Petr Kyncl","1till6placeMatch","2012/2013",1,15,13,2,3
15,"Plzen","Lovosice",24,25,"5.5.2013",160,"Radoslav Kavulic, Libor Skružný","Martin Šetlík","Stanislav Raizl","Vojtech Srba","Pavel Haken","1till6placeMatch","2012/2013",0,13,14,0,3
16,"Hranice","Zubrí",27,22,"1.5.2013",440,"Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Potiška","Jirí Micola","Michal Balhárek","1till6placeMatch","2012/2013",1,15,10,1,1
17,"Dukla","Lovosice",25,19,"1.5.2013",280,"Michal Hanák, Petr Novák","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","1till6placeMatch","2012/2013",0,18,9,0,4
18,"Plzen","Jicín",22,22,"1.5.2013",250,"Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","1till6placeMatch","2012/2013",0,13,11,0,3
19,"Lovosice","Hranice",28,28,"27.4.2013",850,"Václav Horácek, Jirí Novotný","Vojtech Srba","Pavel Haken","Libor Hrabal","Martin Potiška","1till6placeMatch","2012/2013",0,14,11,3,2
20,"Zubrí","Plzen",34,28,"27.4.2013",800,"Jirí Opava, Pavel Válek","Jirí Micola","Michal Balhárek","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2012/2013",0,15,14,2,2
21,"Jicín","Dukla",28,25,"28.4.2013",840,"Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Pavel Pauza","Milan Kotrc","1till6placeMatch","2012/2013",1,11,13,3,3
22,"Lovosice","Zubrí",27,25,"20.4.2013",840,"Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Jirí Micola","Michal Balhárek","1till6placeMatch","2012/2013",1,14,10,3,3
23,"Dukla","Plzen",23,23,"20.4.2013",200,"Radoslav Kavulic, Libor Skružný","Pavel Pauza","Milan Kotrc","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2012/2013",0,14,9,2,2
24,"Hranice","Jicín",25,24,"21.4.2013",370,"Jirí Vetrovský, Martin Zych","Libor Hrabal","Martin Potiška","Aleš Babák","Petr Kyncl","1till6placeMatch","2012/2013",0,10,13,0,2
25,"Zubrí","Dukla",26,25,"17.4.2013",800,"Michal Hanák, Petr Novák","Jirí Micola","Michal Balhárek","Pavel Pauza","Milan Kotrc","1till6placeMatch","2012/2013",0,14,9,2,0
26,"Plzen","Hranice",22,25,"17.4.2013",130,"Petr Halada, Ludek Tocík","Martin Šetlík","Milan Šedivec","Libor Hrabal","Karel Magrla","1till6placeMatch","2012/2013",0,13,13,1,1
27,"Jicín","Lovosice",21,20,"17.4.2013",926,"Milan Hájek, Karel Macho","Petr Babák","Petr Kyncl","Vojtech Srba","Pavel Haken","1till6placeMatch","2012/2013",0,10,11,2,3
28,"Lovosice","Plzen",26,26,"13.4.2013",950,"Michal Hanák, Petr Novák","Vojtech Srba","Pavel Haken","Martin Šetlík","Stanislav Raizl","1till6placeMatch","2012/2013",0,11,15,2,2
29,"Jicín","Zubrí",29,19,"13.4.2013",918,"Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Jirí Micola","Michal Balhárek","1till6placeMatch","2012/2013",0,14,10,1,3
30,"Hranice","Dukla",25,25,"14.4.2013",390,"Radoslav Kavulic, Libor Skružný","Libor Hrabal","Karel Magrla","Pavel Pauza","Milan Kotrc","1till6placeMatch","2012/2013",1,13,13,3,1
31,"Karviná","Koprivnice",37,27,"22.5.2013",210,"Marek Becicka, Jirí Horák","Ludvík Mrkva","Marek Michalisko","Miroslav Barton","Ivo Vávra","7till12placeMatch","2012/2013",0,18,11,1,1
32,"KP Brno","Frýdek-Místek",34,29,"26.5.2013",105,"Bedrich Frieser, Lukáš Frieser","Jan Hegar","Filip Hruza","Aleš Chrastina","Petr Mazur","7till12placeMatch","2012/2013",0,16,15,0,2
33,"Prerov","KP Brno",27,32,"19.5.2013",48,"Tomáš Kozler, Vladimír Vaník","Jirí Závodník","Richard Bucek","Jan Hegar","Zdenek Zima","7till12placeMatch","2012/2013",0,11,17,2,0
34,"Frýdek-Místek","Karviná",28,30,"19.5.2013",365,", Milan Letev","Aleš Chrastina","Petr Mazur","Ludvík Mrkva","Roman Farár","7till12placeMatch","2012/2013",0,13,17,1,0
35,"Karviná","Prerov",31,27,"10.5.2013",186,"Václav Horácek, Jirí Novotný","Ludvík Mrkva","Marek Michalisko","Jirí Závodník","Richard Bucek","7till12placeMatch","2012/2013",0,19,14,0,2
36,"Koprivnice","Frýdek-Místek",33,32,"11.5.2013",420,"Milan Hájek, Karel Macho",,"Ivo Vávra","Aleš Chrastina","Petr Mazur","7till12placeMatch","2012/2013",0,18,16,5,1
37,"Prerov","Koprivnice",22,33,"8.5.2013",72,"Bedrich Frieser, Lukáš Frieser","Jirí Závodník","Jirí Mužík","Miroslav Barton","Ivo Vávra","7till12placeMatch","2012/2013",0,11,16,2,1
38,"KP Brno","Karviná",28,34,"8.5.2013",70,"Jirí Vetrovský, Martin Zych","Jan Hegar","Filip Hruza","Ludvík Mrkva","Marek Michalisko","7till12placeMatch","2012/2013",0,10,18,2,1
39,"Koprivnice","KP Brno",35,29,"4.5.2013",350,"Petr Halada, Ludek Tocík","Miroslav Barton","Ivo Vávra","Jan Hegar","Zdenek Zima","7till12placeMatch","2012/2013",0,19,12,4,1
40,"Frýdek-Místek","Prerov",39,28,"5.5.2013",390,"Jirí Opava, Pavel Válek","Aleš Chrastina","Petr Mazur","Jirí Závodník","Jirí Mužík","7till12placeMatch","2012/2013",0,19,15,3,0
41,"Koprivnice","Karviná",30,33,"30.4.2013",380,"Marek Becicka, Jirí Horák","Miroslav Barton","Ivo Vávra","Ludvík Mrkva","Marek Michalisko","7till12placeMatch","2012/2013",0,16,18,3,3
42,"Frýdek-Místek","KP Brno",38,25,"1.5.2013",415,"Luboš Pavlícek, Rostislav Tokoš","Aleš Chrastina","Petr Mazur","Jan Hegar","Zdenek Zima","7till12placeMatch","2012/2013",0,20,12,4,3
43,"Karviná","Frýdek-Místek",32,31,"26.4.2013",202,"Jirí Králícek, Milan Letev","Ludvík Mrkva","Marek Michalisko","Aleš Chrastina","Petr Mazur","7till12placeMatch","2012/2013",0,17,11,1,2
44,"KP Brno","Prerov",26,26,"27.4.2013",185,"Bohumil Bruna, René Vostatek","Jan Hegar","Filip Hruza","Jirí Závodník","Richard Bucek","7till12placeMatch","2012/2013",0,13,14,7,4
45,"Frýdek-Místek","Koprivnice",34,30,"21.4.2013",520,"Radoslav Kavulic, Libor Skružný","Aleš Chrastina","Petr Mazur","Miroslav Barton","Ivo Vávra","7till12placeMatch","2012/2013",0,15,13,3,4
46,"Prerov","Karviná",29,34,"24.4.2013",73,"Jirí Králícek, Milan Letev","Jirí Závodník","Jirí Mužík","Ludvík Mrkva","Marek Michalisko","7till12placeMatch","2012/2013",0,16,20,1,0
47,"Karviná","KP Brno",39,25,"17.4.2013",250,"Pavel Novotný, Petr Samek","Ludvík Mrkva","Martin Kostelník","Jan Hegar","Zdenek Zima","7till12placeMatch","2012/2013",0,23,12,3,1
48,"Koprivnice","Prerov",26,22,"17.4.2013",300,"Marek Becicka, Jirí Horák","Miroslav Barton","Ivo Vávra","Jirí Závodník","Jirí Mužík","7till12placeMatch","2012/2013",0,12,12,4,0
49,"Prerov","Frýdek-Místek",25,25,"14.4.2013",82,"Tomáš Bubenícek, Jan Kosmák","Jirí Závodník","Jirí Mužík","Aleš Chrastina","Petr Mazur","7till12placeMatch","2012/2013",0,15,13,5,3
50,"KP Brno","Koprivnice",25,24,"14.4.2013",302,"Jirí Opava, Pavel Válek","Jan Hegar","Filip Hruza","Miroslav Barton","Ivo Vávra","7till12placeMatch","2012/2013",0,9,12,3,2
51,"Lovosice","Plzen",34,28,"16.3.2013",875,"Václav Horácek, Jirí Novotný","Vojtech Srba","Pavel Haken","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,15,14,3,5
52,"Zubrí","Dukla",25,22,"16.3.2013",1100,"Bedrich Frieser, Lukáš Frieser","Jirí Micola","Michal Balhárek","Pavel Pauza","Milan Kotrc","RegularPhaseMatch","2012/2013",0,12,11,2,5
53,"Hranice","KP Brno",30,24,"17.3.2013",420,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Potiška","Jan Hegar","Filip Hruza","RegularPhaseMatch","2012/2013",0,16,11,2,4
54,"Jicín","Karviná",29,26,"17.3.2013",740,"Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Ludvík Mrkva","Martin Kostelník","RegularPhaseMatch","2012/2013",1,12,14,5,1
55,"Frýdek-Místek","Prerov",28,23,"17.3.2013",380,"Bedrich Frieser, Lukáš Frieser","Aleš Chrastina","Petr Mazur","Jirí Závodník","Richard Bucek","RegularPhaseMatch","2012/2013",0,11,14,2,5
56,"Koprivnice","Lovosice",25,25,"9.3.2013",240,"Pavel Novotný, Petr Samek","Miroslav Barton","Ivo Vávra","Vojtech Srba","Pavel Haken","RegularPhaseMatch","2012/2013",0,10,13,2,1
57,"KP Brno","Zubrí",21,24,"9.3.2013",905,"Jirí Vetrovský, Martin Zych","Jan Hegar","Filip Hruza","Jirí Micola","Michal Balhárek","RegularPhaseMatch","2012/2013",0,11,13,3,3
58,"Plzen","Frýdek-Místek",33,28,"9.3.2013",850,"Bohumil Bruna, René Vostatek","Martin Šetlík","Milan Šedivec","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2012/2013",0,17,14,2,5
59,"Karviná","Hranice",26,25,"10.3.2013",382,"Václav Horácek, Jirí Novotný","Ludvík Mrkva","Martin Kostelník","Libor Hrabal","Martin Potiška","RegularPhaseMatch","2012/2013",1,16,14,2,0
60,"Prerov","Jicín",28,25,"10.3.2013",129,"Michal Hanák, Petr Novák","Jirí Závodník","Jirí Mužík","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2012/2013",0,14,11,2,2
61,"Lovosice","Frýdek-Místek",29,28,"2.3.2013",650,"Petr Halada, Ludek Tocík","Vojtech Srba","Pavel Haken","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2012/2013",0,10,18,1,1
62,"Jicín","Plzen",22,18,"2.3.2013",960,"Jirí Vetrovský, Martin Zych","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,14,12,6,1
63,"Zubrí","Karviná",29,26,"2.3.2013",900,"Milan Hájek, Karel Macho","Jirí Micola","Michal Balhárek","Ludvík Mrkva","Martin Kostelník","RegularPhaseMatch","2012/2013",0,14,10,1,3
64,"Koprivnice","Dukla",23,29,"2.3.2013",255,"Jirí Králícek, Milan Letev","Miroslav Barton","Ivo Vávra","Pavel Pauza","Milan Kotrc","RegularPhaseMatch","2012/2013",0,10,12,3,1
65,"Hranice","Prerov",32,25,"3.3.2013",350,"Luboš Pavlícek, Rostislav Tokoš","Libor Hrabal","Martin Potiška","Jirí Závodník","Jirí Mužík","RegularPhaseMatch","2012/2013",0,13,11,4,2
66,"Dukla","Lovosice",19,18,"23.2.2013",200,"Václav Horácek, Jirí Novotný","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","RegularPhaseMatch","2012/2013",0,10,9,5,4
67,"KP Brno","Koprivnice",25,21,"23.2.2013",160,"Marek Becicka, Jirí Horák","Jan Hegar","Filip Hruza","Jan Martínek","Ivo Vávra","RegularPhaseMatch","2012/2013",0,13,14,0,4
68,"Plzen","Hranice",22,28,"23.2.2013",580,"Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Potiška","RegularPhaseMatch","2012/2013",0,11,16,2,2
69,"Prerov","Zubrí",26,26,"24.2.2013",184,"Petr Halada, Ludek Tocík","Jirí Závodník","Jirí Mužík","Jirí Micola","Ivo Tovaryš","RegularPhaseMatch","2012/2013",0,15,14,5,2
70,"Frýdek-Místek","Jicín",29,30,"24.2.2013",245,"Pavel Novotný, Petr Samek","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2012/2013",0,16,18,3,2
71,"Dukla","KP Brno",20,16,"16.2.2013",180,"Bedrich Frieser, Lukáš Frieser","Pavel Pauza","Milan Kotrc","Jan Hegar","Zdenek Zima","RegularPhaseMatch","2012/2013",0,11,8,3,2
72,"Lovosice","Jicín",22,30,"16.2.2013",900,"Jirí Opava, Pavel Válek","Vojtech Srba","Pavel Haken","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2012/2013",0,12,15,2,2
73,"Zubrí","Plzen",21,20,"16.2.2013",800,"Václav Horácek, Jirí Novotný","Jirí Micola","Michal Balhárek","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,13,14,3,1
74,"Koprivnice","Karviná",29,34,"16.2.2013",210,"Pavel Novotný, Petr Samek","Miroslav Barton","Ivo Vávra","Ludvík Mrkva","Martin Kostelník","RegularPhaseMatch","2012/2013",0,16,19,4,4
75,"Hranice","Frýdek-Místek",35,31,"17.2.2013",240,"Jirí Králícek, Milan Letev","Libor Hrabal","Martin Potiška","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2012/2013",1,21,14,2,6
76,"KP Brno","Lovosice",22,22,"9.2.2013",450,"Milan Hájek, Karel Macho","Jan Hegar","Filip Hruza","Vojtech Srba","Pavel Haken","RegularPhaseMatch","2012/2013",0,8,11,2,1
77,"Jicín","Hranice",26,19,"9.2.2013",830,"Michal Hanák, Petr Novák","Aleš Babák","Petr Kyncl","Libor Hrabal","Martin Potiška","RegularPhaseMatch","2012/2013",0,13,8,3,2
78,"Karviná","Dukla",27,22,"9.2.2013",804,"Tomáš Bubenícek, Jan Kosmák","Ludvík Mrkva","Martin Kostelník","Pavel Pauza","Milan Kotrc","RegularPhaseMatch","2012/2013",0,14,12,1,1
79,"Prerov","Koprivnice",29,25,"10.2.2013",159,"Tomáš Kozler, Vladimír Vaník","Jirí Závodník","Jirí Mužík","Miroslav Barton","Zdenek Kovalák","RegularPhaseMatch","2012/2013",0,13,13,4,5
80,"Frýdek-Místek","Zubrí",32,36,"10.2.2013",420,"Adam Kondelka, David Kondelka","Aleš Chrastina","Petr Mazur","Jirí Micola","Michal Balhárek","RegularPhaseMatch","2012/2013",0,16,21,6,1
81,"Lovosice","Hranice",27,22,"2.2.2013",820,"Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Libor Hrabal","Martin Potiška","RegularPhaseMatch","2012/2013",1,12,8,1,1
82,"Dukla","Prerov",36,22,"2.2.2013",100,"Bohumil Bruna, René Vostatek","Pavel Pauza","Milan Kotrc","Jirí Závodník","Richard Bucek","RegularPhaseMatch","2012/2013",0,18,8,2,0
83,"Zubrí","Jicín",20,28,"2.2.2013",700,"Bedrich Frieser, Lukáš Frieser","Jirí Micola","Michal Balhárek","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2012/2013",0,10,14,1,4
84,"Koprivnice","Plzen",26,38,"2.2.2013",180,"Luboš Pavlícek, Rostislav Tokoš","Miroslav Barton","Ivo Vávra","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,12,23,6,1
85,"KP Brno","Karviná",31,33,"3.2.2013",616,"Jirí Opava, Pavel Válek","Jan Hegar","Filip Hruza","Ludvík Mrkva","Martin Kostelník","RegularPhaseMatch","2012/2013",0,20,21,4,0
86,"Karviná","Lovosice",23,25,"19.12.2012",490,"Michal Hanák, Petr Novák","Ludvík Mrkva","Roman Farár","Vojtech Srba",,"RegularPhaseMatch","2012/2013",0,10,15,2,1
87,"Frýdek-Místek","Koprivnice",33,29,"21.12.2012",470,"Václav Horácek, Jirí Novotný","Aleš Chrastina","Petr Mazur","Miroslav Barton","Ivo Vávra","RegularPhaseMatch","2012/2013",0,18,16,2,2
88,"Hranice","Zubrí",34,19,"22.12.2012",480,"Marek Becicka, Jirí Horák","Libor Hrabal","Martin Potiška","Jirí Micola","Michal Balhárek","RegularPhaseMatch","2012/2013",0,16,8,4,3
89,"Prerov","KP Brno",24,26,"23.12.2012",238,"Petr Halada, Ludek Tocík","Jirí Závodník","Jirí Mužík","Jan Hegar","Filip Hruza","RegularPhaseMatch","2012/2013",0,15,13,3,2
90,"Plzen","Dukla",25,23,"23.12.2012",610,"Jirí Opava, Pavel Válek","Martin Šetlík","Milan Šedivec","Pavel Pauza","Milan Kotrc","RegularPhaseMatch","2012/2013",1,14,8,4,3
91,"KP Brno","Plzen",20,20,"12.12.2012",400,"Michal Hanák, Petr Novák","Jan Hegar","Filip Hruza","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,7,7,6,0
92,"Dukla","Frýdek-Místek",28,22,"15.12.2012",120,"Tomáš Kozler, Vladimír Vaník","Pavel Pauza","Milan Kotrc","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2012/2013",0,14,8,1,1
93,"Jicín","Koprivnice",29,21,"15.12.2012",690,"Jirí Vetrovský, Martin Zych","Aleš Babák","Petr Kyncl","Miroslav Barton","Ivo Vávra","RegularPhaseMatch","2012/2013",0,14,11,2,1
94,"Karviná","Prerov",30,24,"15.12.2012",480,"Marek Becicka, Jirí Horák","Ludvík Mrkva","Roman Farár","Jirí Závodník","Richard Bucek","RegularPhaseMatch","2012/2013",0,14,9,0,3
95,"Lovosice","Zubrí",32,32,"15.12.2012",810,"Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Jirí Micola","Michal Balhárek","RegularPhaseMatch","2012/2013",1,16,16,2,2
96,"Prerov","Lovosice",22,39,"5.12.2012",50,"Jirí Králícek, Václav Horácek","Jirí Závodník","Jirí Mužík","Vojtech Srba","Radek Provinský","RegularPhaseMatch","2012/2013",0,10,17,1,2
97,"Jicín","Dukla",22,20,"8.12.2012",805,"Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Pavel Pauza","Milan Kotrc","RegularPhaseMatch","2012/2013",0,10,10,2,1
98,"Plzen","Karviná",31,21,"8.12.2012",980,"Bedrich Frieser, Lukáš Frieser","Martin Šetlík","Stanislav Raizl","Ludvík Mrkva","Roman Farár","RegularPhaseMatch","2012/2013",0,13,13,3,0
99,"Frýdek-Místek","KP Brno",27,27,"9.12.2012",295,"Bohumil Bruna, René Vostatek","Aleš Chrastina","Petr Mazur","Jan Hegar","Zdenek Zima","RegularPhaseMatch","2012/2013",1,10,13,3,3
100,"Hranice","Koprivnice",33,28,"9.12.2012",260,"Petr Halada, Ludek Tocík","Libor Hrabal","Martin Potiška","Ivo Vávra","Zdenek Kovalák","RegularPhaseMatch","2012/2013",0,17,13,1,6
101,"Dukla","Hranice",19,15,"1.12.2012",140,"Jirí Vetrovský, Martin Zych","Pavel Pauza","Milan Kotrc","Libor Hrabal","Karel Magrla","RegularPhaseMatch","2012/2013",0,8,9,3,5
102,"KP Brno","Jicín",26,26,"1.12.2012",400,"Milan Hájek, Karel Macho","Jan Hegar","Filip Hruza","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2012/2013",1,13,15,3,2
103,"Karviná","Frýdek-Místek",40,29,"1.12.2012",520,"Adam Kondelka, David Kondelka","Ludvík Mrkva","Marek Michalisko","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2012/2013",0,18,15,3,2
104,"Koprivnice","Zubrí",26,32,"1.12.2012",580,"Pavel Novotný, Petr Samek","Miroslav Barton","Ivo Vávra","Jirí Micola","Michal Balhárek","RegularPhaseMatch","2012/2013",0,13,18,6,4
105,"Prerov","Plzen",17,29,"2.12.2012",134,"Bohumil Bruna, René Vostatek","Jirí Závodník","Jirí Mužík","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,11,18,3,1
106,"Dukla","Zubrí",28,22,"24.11.2012",170,"Václav Horácek, Jirí Novotný","Pavel Pauza","Milan Kotrc","Jirí Micola","Michal Balhárek","RegularPhaseMatch","2012/2013",0,15,5,1,2
107,"Karviná","Jicín",23,29,"24.11.2012",770,"Tomáš Bubenícek, Jan Kosmák","Ludvík Mrkva","Petr Raszyk","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2012/2013",0,11,12,1,1
108,"Prerov","Frýdek-Místek",27,27,"25.11.2012",251,"Bedrich Frieser, Lukáš Frieser","Jirí Závodník","Jirí Mužík","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2012/2013",0,13,13,4,2
109,"KP Brno","Hranice",25,26,"25.11.2012",430,"Radoslav Kavulic, Libor Skružný","Jan Hegar","Filip Hruza","Libor Hrabal","Martin Potiška","RegularPhaseMatch","2012/2013",1,7,14,2,0
110,"Plzen","Lovosice",28,24,"25.11.2012",750,"Marek Becicka, Jirí Horák","Martin Šetlík","Milan Šedivec","Vojtech Srba","Pavel Haken","RegularPhaseMatch","2012/2013",0,17,9,4,2
111,"Lovosice","Koprivnice",37,27,"17.11.2012",750,"Tomáš Kozler, Vladimír Vaník","Vojtech Srba","Pavel Haken","Miroslav Barton","Ivo Vávra","RegularPhaseMatch","2012/2013",0,18,7,3,5
112,"Jicín","Prerov",28,22,"17.11.2012",530,"Michal Hanák, Petr Novák","Aleš Babák","Petr Kyncl","Jirí Závodník","Jirí Mužík","RegularPhaseMatch","2012/2013",0,17,11,2,1
113,"Zubrí","KP Brno",33,27,"17.11.2012",800,"Bedrich Frieser, Lukáš Frieser","Jirí Micola","Michal Balhárek","Jan Hegar","Zdenek Zima","RegularPhaseMatch","2012/2013",0,16,13,0,6
114,"Hranice","Karviná",27,30,"18.11.2012",280,"Bedrich Frieser, Lukáš Frieser","Libor Hrabal","Martin Potiška","Ludvík Mrkva","Martin Kostelník","RegularPhaseMatch","2012/2013",1,12,12,2,2
115,"Frýdek-Místek","Plzen",27,31,"18.11.2012",325,"Tomáš Bubenícek, Jan Kosmák","Aleš Chrastina","Petr Mazur","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2012/2013",0,14,18,2,3
116,"Dukla","Koprivnice",31,21,"10.11.2012",135,"Petr Halada, Ludek Tocík","Pavel Pauza","Milan Kotrc","Miroslav Barton","Ivo Vávra","RegularPhaseMatch","2012/2013",0,16,10,1,3
