"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"Hranice","Karviná",23,26,"3.6.2011",150,"Lubomír Kohout, Vladimír Vaník","Libor Hrabal","Šárka Alexová","Martin Kostelník","Roman Farár","1till6placeMatch","2010/2011",0,13,14,4,0
2,"Zubrí","Plzen",31,24,"4.6.2011",860,"Pavel Nesvadba, Vangelis Simu","Jirí Mika","Michal Balhárek","Vladimír Haber","Stanislav Raizl","1till6placeMatch","2010/2011",0,18,14,2,2
3,"Lovosice","Dukla",26,27,"5.6.2011",94616,"Václav Kohout, Petr Novák","Vojtech Srba","Pavel Haken","Pavel Pauza","Jan Krouský","1till6placeMatch","2010/2011",1,16,15,2,3
4,"Dukla","Zubrí",31,25,"28.5.2011",340,"Václav Horácek, Jirí Novotný","Pavel Pauza","Milan Kotrc","Jirí Mika","Michal Balhárek","1till6placeMatch","2010/2011",0,15,11,3,4
5,"Karviná","Lovosice",25,24,"29.5.2011",720,"Radoslav Kavulic, Libor Skružný","Martin Kostelník","Roman Farár","Vojtech Srba","Pavel Haken","1till6placeMatch","2010/2011",0,14,15,1,1
6,"Plzen","Hranice",21,20,"29.5.2011",120,"Bedrich Frieser, Lukáš Frieser","Vladimír Haber","Stanislav Raizl","Libor Hrabal","Šárka Alexová","1till6placeMatch","2010/2011",1,10,10,2,3
7,"Plzen","Dukla",29,30,"20.5.2011",300,"Dalibor Pavlát, Petr Pešek","Vladimír Haber","Stanislav Raizl","Pavel Pauza","Jan Krouský","1till6placeMatch","2010/2011",0,13,17,2,4
8,"Zubrí","Karviná",22,21,"21.5.2011",800,"Václav Kohout, Petr Novák","Jirí Mika","Michal Balhárek","Martin Kostelník","Roman Farár","1till6placeMatch","2010/2011",0,13,9,3,2
9,"Hranice","Lovosice",24,24,"22.5.2011",170,"Václav Horácek, Jirí Novotný","Libor Hrabal","Šárka Alexová","Vojtech Srba","Pavel Haken","1till6placeMatch","2010/2011",1,12,11,1,3
10,"Dukla","Hranice",25,14,"14.5.2011",230,"Pavel Nesvadba, Vangelis Simu","Pavel Pauza","Milan Kotrc","Libor Hrabal","Šárka Alexová","1till6placeMatch","2010/2011",0,10,7,5,0
11,"Lovosice","Zubrí",27,23,"15.5.2011",1054,"Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Jirí Mika","Michal Balhárek","1till6placeMatch","2010/2011",1,10,11,3,3
12,"Karviná","Plzen",23,22,"15.5.2011",682,"Michal Hanák, Jan Kosmák","Martin Kostelník","Roman Farár","Vladimír Haber","Stanislav Raizl","1till6placeMatch","2010/2011",0,14,11,2,2
13,"Dukla","Karviná",28,23,"7.5.2011",240,"Radoslav Kavulic, Libor Skružný","Pavel Pauza","Milan Kotrc","Martin Kostelník","Roman Farár","1till6placeMatch","2010/2011",0,12,13,0,0
14,"Plzen","Lovosice",24,24,"7.5.2011",450,"Václav Kohout, Petr Novák","Vladimír Haber","Stanislav Raizl","Vojtech Srba","Pavel Haken","1till6placeMatch","2010/2011",0,12,11,3,2
15,"Hranice","Zubrí",27,30,"8.5.2011",290,"Jirí Opava, Pavel Válek","Libor Hrabal","Šárka Alexová","Jirí Mika","Michal Balhárek","1till6placeMatch","2010/2011",0,11,17,3,2
16,"Dukla","Lovosice",32,31,"30.4.2011",420,"Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","1till6placeMatch","2010/2011",0,13,12,0,4
17,"Plzen","Zubrí",29,25,"30.4.2011",450,"Michal Hanák, Jan Kosmák","Vladimír Haber","Stanislav Raizl","Jirí Mika","Michal Balhárek","1till6placeMatch","2010/2011",1,14,7,3,4
18,"Karviná","Hranice",24,20,"1.5.2011",660,"Marek Becicka, Jirí Horák","Martin Kostelník","Roman Farár","Jan Hegar","Bretislav Žoch","1till6placeMatch","2010/2011",0,11,10,0,0
19,"Hranice","Plzen",25,30,"22.4.2011",180,"Pavel Nesvadba, Vangelis Simu","Jan Hegar","Bretislav Žoch","Vladimír Haber","Stanislav Raizl","1till6placeMatch","2010/2011",0,12,16,3,1
20,"Zubrí","Dukla",20,21,"23.4.2011",1000,"Milan Hájek, Karel Macho","Jirí Mika","Radim Balhárek","Pavel Pauza","Milan Kotrc","1till6placeMatch","2010/2011",0,11,11,2,0
21,"Lovosice","Karviná",38,26,"25.4.2011",945,"Václav Horácek, Jirí Novotný","Vojtech Srba","Pavel Haken","Martin Kostelník","Roman Farár","1till6placeMatch","2010/2011",1,20,9,3,1
22,"Lovosice","Hranice",28,21,"16.4.2011",820,"Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Jan Hegar","Bretislav Žoch","1till6placeMatch","2010/2011",0,13,11,3,2
23,"Dukla","Plzen",27,23,"16.4.2011",212,"Bedrich Frieser, Lukáš Frieser","Pavel Pauza","Milan Kotrc","Vladimír Haber","Stanislav Raizl","1till6placeMatch","2010/2011",0,11,9,6,3
24,"Karviná","Zubrí",25,25,"17.4.2011",892,"Jirí Opava, Pavel Válek","Jozef Hanták","Martin Kostelník","Jirí Mika","Michal Balhárek","1till6placeMatch","2010/2011",1,16,11,2,1
25,"Plzen","Karviná",30,25,"9.4.2011",550,"Václav Kohout, Petr Novák","Vladimír Haber","Stanislav Raizl","Jozef Hanták","Martin Kostelník","1till6placeMatch","2010/2011",0,15,10,2,3
26,"Zubrí","Lovosice",28,28,"10.4.2011",1000,"Václav Horácek, Jirí Novotný","Jirí Mika","Michal Balhárek","Vojtech Srba","Pavel Haken","1till6placeMatch","2010/2011",1,15,12,4,4
27,"Hranice","Dukla",23,27,"10.4.2011",270,"Radoslav Kavulic, Libor Skružný","Jan Hegar","Bretislav Žoch","Pavel Pauza","Jan Krouský","1till6placeMatch","2010/2011",0,11,12,2,2
28,"Lovosice","Plzen",22,20,"2.4.2011",800,"Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Vladimír Haber","Stanislav Raizl","1till6placeMatch","2010/2011",0,13,10,1,1
29,"Zubrí","Hranice",10,0,"2.4.2011",900,"Pavel Nesvadba, Vangelis Simu","Jirí Mika","Michal Balhárek","Jan Hegar","Bretislav Žoch","1till6placeMatch","2010/2011",0,,,1,0
30,"Karviná","Dukla",26,25,"3.4.2011",785,"Václav Horácek, Jirí Novotný","Jozef Hanták","Martin Kostelník","Pavel Pauza","Jan Krouský","1till6placeMatch","2010/2011",1,13,12,5,0
31,"Jicín","Koprivnice",29,28,"1.6.2011",210,"Dalibor Pavlát, Petr Pešek","Aleš Babák","Vladimír Bohácek","Miroslav Barton","Ivo Vávra","7till12placeMatch","2010/2011",0,18,12,3,4
32,"Brno","Trebon",31,26,"4.6.2011",195,"Radoslav Kavulic, Libor Skružný","Zdenek Missbach","Zdenek Zima","Jan Pavlovský","Zdenek Kubík","7till12placeMatch","2010/2011",0,16,11,1,3
33,"Frýdek-Místek","Prerov",32,28,"5.6.2011",315,"Adam Kondelka, David Kondelka","Jirí Kekrt","Petr Mazur","Alois Jurík","Richard Bucek","7till12placeMatch","2010/2011",0,17,13,3,4
34,"Prerov","Jicín",28,28,"27.5.2011",52,"Pavel Novotný, Jirí Vetrovský","Alois Jurík","Michal Kavka","Aleš Babák","Vladimír Bohácek","7till12placeMatch","2010/2011",0,16,11,4,2
35,"Trebon","Frýdek-Místek",23,22,"28.5.2011",250,"Lubomír Kohout, Vladimír Vaník","Jan Pavlovský","Zdenek Kubík","Jirí Kekrt","Petr Mazur","7till12placeMatch","2010/2011",0,12,15,2,0
36,"Koprivnice","Brno",34,24,"28.5.2011",220,"Petr Halada, Martin Zych","Miroslav Barton","Ivo Vávra","Zdenek Missbach","Tomáš Petr","7till12placeMatch","2010/2011",0,15,10,5,3
37,"Brno","Frýdek-Místek",40,36,"21.5.2011",125,"Milan Hájek, Karel Macho","Zdenek Missbach","Zdenek Zima","Jirí Kekrt","Petr Mazur","7till12placeMatch","2010/2011",0,21,22,4,4
38,"Jicín","Trebon",35,17,"21.5.2011",250,"Marek Becicka, Jirí Horák","Aleš Babák","Vladimír Bohácek","Jan Pavlovský","Zdenek Kubík","7till12placeMatch","2010/2011",0,15,6,3,0
39,"Koprivnice","Prerov",30,23,"21.5.2011",104,"Michal Hanák, Jan Kosmák","Miroslav Barton","Ivo Vávra","Alois Jurík","Michal Kavka","7till12placeMatch","2010/2011",0,17,13,3,3
40,"Trebon","Koprivnice",24,20,"14.5.2011",0,"Jirí Opava, Pavel Válek","Jan Pavlovský","Zdenek Kubík","Miroslav Barton","Ivo Vávra","7till12placeMatch","2010/2011",0,14,8,0,2
41,"Jicín","Frýdek-Místek",27,26,"14.5.2011",452,"Radoslav Kavulic, Libor Skružný","Aleš Babák","Vladimír Bohácek","Jirí Kekrt","Petr Mazur","7till12placeMatch","2010/2011",0,13,13,0,2
42,"Prerov","Brno",37,23,"15.5.2011",297,"Adam Kondelka, David Kondelka","Alois Jurík","Michal Kavka","Zdenek Missbach","Josef Cikán","7till12placeMatch","2010/2011",0,20,13,7,2
43,"Brno","Jicín",32,35,"7.5.2011",181,"Bedrich Frieser, Lukáš Frieser","Zdenek Missbach","Zdenek Zima","Aleš Babák","Vladimír Bohácek","7till12placeMatch","2010/2011",0,14,13,2,0
44,"Prerov","Trebon",27,23,"8.5.2011",177,"Václav Kohout, Petr Novák","Alois Jurík","Michal Kavka","Jan Pavlovský","Zdenek Kubík","7till12placeMatch","2010/2011",0,15,12,1,3
45,"Frýdek-Místek","Koprivnice",25,19,"8.5.2011",293,"Pavel Novotný, Jirí Vetrovský","Jirí Kekrt","Petr Mazur","Miroslav Barton","Ivo Vávra","7till12placeMatch","2010/2011",0,11,9,3,2
46,"Koprivnice","Jicín",35,24,"29.4.2011",150,"Adam Kondelka, David Kondelka","Miroslav Barton","Ivo Vávra","Aleš Babák","Vladimír Bohácek","7till12placeMatch","2010/2011",0,13,14,2,3
47,"Prerov","Frýdek-Místek",22,35,"30.4.2011",231,"Milan Hájek, Karel Macho","Alois Jurík","Michal Kavka","Jirí Kekrt","Petr Mazur","7till12placeMatch","2010/2011",0,11,15,5,3
48,"Trebon","Brno",27,20,"30.4.2011",220,"Marek Becicka, Jirí Horák","Jan Pavlovský","Zdenek Kubík","Zdenek Missbach","Tomáš Petr","7till12placeMatch","2010/2011",0,11,7,2,3
49,"Jicín","Prerov",28,15,"13.4.2011",200,"Petr Halada, Martin Zych","Aleš Babák","Vladimír Bohácek","Alois Jurík","Michal Kavka","7till12placeMatch","2010/2011",0,13,9,1,2
50,"Brno","Koprivnice",40,31,"23.4.2011",148,"Dalibor Pavlát, Petr Pešek","Zdenek Missbach","Zdenek Zima","Miroslav Barton","Zdenek Kovalák","7till12placeMatch","2010/2011",0,18,10,2,3
51,"Frýdek-Místek","Trebon",26,24,"24.4.2011",312,"Michal Hanák, Jan Kosmák","Jirí Kekrt","Petr Mazur","Jan Pavlovský","Vladislav Jordák","7till12placeMatch","2010/2011",0,15,12,3,3
52,"Trebon","Jicín",26,27,"16.4.2011",0,"Pavel Novotný, Jirí Vetrovský","Jan Pavlovský","Zdenek Kubík","Aleš Babák","Vladimír Bohácek","7till12placeMatch","2010/2011",0,12,16,5,4
53,"Prerov","Koprivnice",34,27,"17.4.2011",297,"Václav Horácek, Jirí Novotný","Alois Jurík","Michal Kavka","Miroslav Barton","Ivo Vávra","7till12placeMatch","2010/2011",0,18,13,0,3
54,"Frýdek-Místek","Brno",38,30,"17.4.2011",365,"Marek Becicka, Jirí Horák","Jirí Kekrt","Petr Mazur","Zdenek Missbach","Tomáš Petr","7till12placeMatch","2010/2011",0,17,11,5,3
55,"Brno","Prerov",32,31,"9.4.2011",100,"Milan Hájek, Karel Macho","Zdenek Missbach","Zdenek Zima","Alois Jurík","Michal Kavka","7till12placeMatch","2010/2011",0,16,16,4,5
56,"Koprivnice","Trebon",28,22,"9.4.2011",400,"Radoslav Kavulic, Libor Skružný","Miroslav Barton","Ivo Vávra","Jan Pavlovský","Zdenek Kubík","7till12placeMatch","2010/2011",0,13,11,3,5
57,"Frýdek-Místek","Jicín",32,23,"10.4.2011",426,"Adam Kondelka, David Kondelka","Jirí Kekrt","Petr Mazur","Aleš Babák","Vladimír Bohácek","7till12placeMatch","2010/2011",0,16,13,4,1
