"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"M.A.T. Plzen","A.S.A. Lovosice",33,25
"M.A.T. Plzen","A.S.A. Lovosice",26,18
"A.S.A. Lovosice","M.A.T. Plzen",21,22
"KP Brno","Baník OKD Karviná",32,31
"KP Brno","Baník OKD Karviná",25,26
"Baník OKD Karviná","KP Brno",30,33
"Baník OKD Karviná","KP Brno",27,32
"Dukla Praha","Gumárny Zubrí",26,25
"Gumárny Zubrí","Dukla Praha",31,23
"SKP Frýdek-Místek","Cement Hranice",30,29
"Cement Hranice","SKP Frýdek-Místek",35,27
"KP Brno","A.S.A. Lovosice",24,20
"M.A.T. Plzen","Baník OKD Karviná",27,23
"M.A.T. Plzen","Baník OKD Karviná",35,17
"KP Brno","A.S.A. Lovosice",30,28
"A.S.A. Lovosice","KP Brno",27,24
"Baník OKD Karviná","M.A.T. Plzen",24,32
"A.S.A. Lovosice","KP Brno",26,20
"KP Brno","A.S.A. Lovosice",22,23
"Cement Hranice","Dukla Praha",24,26
"SKP Frýdek-Místek","Gumárny Zubrí",30,26
"Dukla Praha","Cement Hranice",33,25
"Gumárny Zubrí","SKP Frýdek-Místek",28,19
"Gumárny Zubrí","Baník OKD Karviná",27,28
"Cement Hranice","KP Brno",25,27
"Dukla Praha","A.S.A. Lovosice",22,24
"M.A.T. Plzen","SKP Frýdek-Místek",27,23
"Cement Hranice","KP Brno",26,27
"Gumárny Zubrí","Baník OKD Karviná",25,30
"Dukla Praha","A.S.A. Lovosice",24,25
"M.A.T. Plzen","SKP Frýdek-Místek",25,26
"A.S.A. Lovosice","Dukla Praha",26,25
"Baník OKD Karviná","Gumárny Zubrí",31,29
"SKP Frýdek-Místek","M.A.T. Plzen",18,19
"KP Brno","Cement Hranice",29,24
"SKP Frýdek-Místek","M.A.T. Plzen",15,23
"HC Zlín","Ronal Jicín",22,30
"Ronal Jicín","HC Zlín",27,23
"Tatran Litovel","Sokol Prerov",41,19
"Tatran Litovel","Sokol Prerov",32,26
"Sokol Prerov","Tatran Litovel",18,36
"HC Zlín","Tatran Litovel",23,22
"Ronal Jicín","Sokol Prerov",42,22
"Ronal Jicín","Sokol Prerov",34,22
"HC Zlín","Tatran Litovel",23,22
"Sokol Prerov","Ronal Jicín",19,40
"Tatran Litovel","HC Zlín",29,25
"Tatran Litovel","HC Zlín",21,22
"Gumárny Zubrí","Dukla Praha",30,27
"A.S.A. Lovosice","Sokol Prerov",40,20
"M.A.T. Plzen","SKP Frýdek-Místek",25,19
"Baník OKD Karviná","Ronal Jicín",32,18
"Tatran Litovel","HC Zlín",28,24
"Cement Hranice","KP Brno",30,28
"SKP Frýdek-Místek","A.S.A. Lovosice",28,27
"Ronal Jicín","M.A.T. Plzen",23,24
"Sokol Prerov","Cement Hranice",26,37
"Dukla Praha","Baník OKD Karviná",36,31
"KP Brno","Tatran Litovel",30,26
"HC Zlín","Gumárny Zubrí",27,36
"Baník OKD Karviná","HC Zlín",38,14
"Tatran Litovel","Sokol Prerov",37,21
"Gumárny Zubrí","KP Brno",36,36
"Ronal Jicín","Dukla Praha",24,23
"Cement Hranice","SKP Frýdek-Místek",38,29
"M.A.T. Plzen","A.S.A. Lovosice",35,25
"Dukla Praha","M.A.T. Plzen",29,29
"Sokol Prerov","Gumárny Zubrí",24,39
"Cement Hranice","A.S.A. Lovosice",19,17
"KP Brno","Baník OKD Karviná",27,27
"HC Zlín","Ronal Jicín",28,25
"SKP Frýdek-Místek","Tatran Litovel",34,22
"Dukla Praha","HC Zlín",35,22
"Tatran Litovel","A.S.A. Lovosice",24,35
"Ronal Jicín","KP Brno",27,18
"Gumárny Zubrí","SKP Frýdek-Místek",29,23
"M.A.T. Plzen","Cement Hranice",30,19
"Baník OKD Karviná","Sokol Prerov",36,24
"A.S.A. Lovosice","Gumárny Zubrí",29,28
"KP Brno","Dukla Praha",25,25
"HC Zlín","M.A.T. Plzen",23,32
"Cement Hranice","Tatran Litovel",32,28
"Sokol Prerov","Ronal Jicín",19,39
"SKP Frýdek-Místek","Baník OKD Karviná",36,27
"Baník OKD Karviná","A.S.A. Lovosice",25,24
"Ronal Jicín","SKP Frýdek-Místek",22,21
"HC Zlín","KP Brno",32,31
"Dukla Praha","Sokol Prerov",43,16
"Gumárny Zubrí","Cement Hranice",30,23
"M.A.T. Plzen","Tatran Litovel",29,22
"Sokol Prerov","HC Zlín",27,36
"A.S.A. Lovosice","Ronal Jicín",26,24
"KP Brno","M.A.T. Plzen",26,25
"Tatran Litovel","Gumárny Zubrí",31,23
"Cement Hranice","Baník OKD Karviná",34,26
"SKP Frýdek-Místek","Dukla Praha",25,32
"Dukla Praha","A.S.A. Lovosice",22,25
"KP Brno","Sokol Prerov",41,22
"Ronal Jicín","Cement Hranice",24,16
"Baník OKD Karviná","Tatran Litovel",31,24
"M.A.T. Plzen","Gumárny Zubrí",38,32
"HC Zlín","SKP Frýdek-Místek",34,30
"A.S.A. Lovosice","HC Zlín",34,27
"Tatran Litovel","Ronal Jicín",20,27
"Gumárny Zubrí","Baník OKD Karviná",35,27
"Sokol Prerov","M.A.T. Plzen",19,30
"SKP Frýdek-Místek","KP Brno",25,23
"Cement Hranice","Dukla Praha",26,21
"Ronal Jicín","Gumárny Zubrí",25,30
"Sokol Prerov","SKP Frýdek-Místek",30,38
"M.A.T. Plzen","Baník OKD Karviná",27,17
"HC Zlín","Cement Hranice",23,32
"Dukla Praha","Tatran Litovel",35,26
"KP Brno","A.S.A. Lovosice",31,27
"Dukla Praha","Gumárny Zubrí",31,24
"Ronal Jicín","Baník OKD Karviná",26,25
"Sokol Prerov","A.S.A. Lovosice",24,39
"KP Brno","Cement Hranice",26,26
"HC Zlín","Tatran Litovel",28,20
"SKP Frýdek-Místek","M.A.T. Plzen",26,21
"A.S.A. Lovosice","SKP Frýdek-Místek",33,31
"Tatran Litovel","KP Brno",24,29
"Gumárny Zubrí","HC Zlín",35,29
"Cement Hranice","Sokol Prerov",35,15
"M.A.T. Plzen","Ronal Jicín",31,18
"Baník OKD Karviná","Dukla Praha",33,35
"SKP Frýdek-Místek","Cement Hranice",33,17
"A.S.A. Lovosice","M.A.T. Plzen",31,27
"Sokol Prerov","Tatran Litovel",25,35
"Dukla Praha","Ronal Jicín",26,19
"KP Brno","Gumárny Zubrí",28,27
"HC Zlín","Baník OKD Karviná",24,33
"A.S.A. Lovosice","Cement Hranice",28,28
"Tatran Litovel","SKP Frýdek-Místek",25,32
"Ronal Jicín","HC Zlín",19,18
"Gumárny Zubrí","Sokol Prerov",43,26
"M.A.T. Plzen","Dukla Praha",30,22
"Baník OKD Karviná","KP Brno",31,28
"Cement Hranice","M.A.T. Plzen",16,23
"A.S.A. Lovosice","Tatran Litovel",23,24
"KP Brno","Ronal Jicín",30,24
"SKP Frýdek-Místek","Gumárny Zubrí",27,31
"Sokol Prerov","Baník OKD Karviná",26,33
"HC Zlín","Dukla Praha",20,31
"M.A.T. Plzen","HC Zlín",35,20
"Baník OKD Karviná","SKP Frýdek-Místek",28,27
"Dukla Praha","KP Brno",28,29
"Tatran Litovel","Cement Hranice",23,29
"Ronal Jicín","Sokol Prerov",30,15
"Gumárny Zubrí","A.S.A. Lovosice",36,21
"KP Brno","HC Zlín",27,26
"Tatran Litovel","M.A.T. Plzen",19,25
"A.S.A. Lovosice","Baník OKD Karviná",35,33
"Sokol Prerov","Dukla Praha",25,29
"Cement Hranice","Gumárny Zubrí",27,35
"SKP Frýdek-Místek","Ronal Jicín",23,17
"Dukla Praha","SKP Frýdek-Místek",20,20
"Ronal Jicín","A.S.A. Lovosice",19,18
"Gumárny Zubrí","Tatran Litovel",35,20
"Baník OKD Karviná","Cement Hranice",31,29
"M.A.T. Plzen","KP Brno",23,20
"HC Zlín","Sokol Prerov",39,22
"A.S.A. Lovosice","Dukla Praha",27,28
"Tatran Litovel","Baník OKD Karviná",27,27
"Gumárny Zubrí","M.A.T. Plzen",23,18
"Sokol Prerov","KP Brno",19,39
"Cement Hranice","Ronal Jicín",23,22
"SKP Frýdek-Místek","HC Zlín",30,27
"KP Brno","SKP Frýdek-Místek",27,23
"Dukla Praha","Cement Hranice",23,23
"M.A.T. Plzen","Sokol Prerov",32,15
"Baník OKD Karviná","Gumárny Zubrí",33,27
"HC Zlín","A.S.A. Lovosice",28,29
"Ronal Jicín","Tatran Litovel",20,18
"Baník OKD Karviná","M.A.T. Plzen",32,34
"SKP Frýdek-Místek","Sokol Prerov",37,26
"A.S.A. Lovosice","KP Brno",27,26
"Gumárny Zubrí","Ronal Jicín",24,22
"Cement Hranice","HC Zlín",25,20
"Tatran Litovel","Dukla Praha",22,23
