"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"Prerov","Karviná",29,30
"Dukla","Lovosice",25,26
"Zubrí","Jicín",30,21
"Lovosice","Prerov",31,27
"Karviná","Zubrí",31,29
"Jicín","Dukla",25,25
"Lovosice","Jicín",30,23
"Dukla","Karviná",26,27
"Prerov","Zubrí",19,28
"Jicín","Prerov",25,21
"Zubrí","Dukla",37,34
"Karviná","Lovosice",28,22
"Lovosice","Zubrí",27,23
"Prerov","Dukla",24,29
"Jicín","Karviná",32,23
"Lovosice","Dukla",26,21
"Jicín","Zubrí",27,27
"Karviná","Prerov",40,29
"Prerov","Lovosice",24,32
"Dukla","Jicín",34,24
"Zubrí","Karviná",27,27
"Jicín","Lovosice",26,26
"Karviná","Dukla",22,28
"Zubrí","Prerov",26,19
"Dukla","Zubrí",25,29
"Lovosice","Karviná",33,28
"Prerov","Jicín",28,39
"Dukla","Prerov",36,22
"Zubrí","Lovosice",27,19
"Karviná","Jicín",35,30
"Koprivnice","Plzen",26,27
"Hranice","Brno",33,31
"Trebon","Frýdek-Místek",22,40
"Brno","Plzen",22,25
"Koprivnice","Trebon",27,25
"Frýdek-Místek","Hranice",34,28
"Trebon","Hranice",20,29
"Koprivnice","Brno",24,28
"Plzen","Frýdek-Místek",33,32
"Plzen","Hranice",27,26
"Frýdek-Místek","Koprivnice",32,34
"Brno","Trebon",30,19
"Koprivnice","Hranice",27,30
"Trebon","Plzen",20,24
"Frýdek-Místek","Brno",33,30
"Plzen","Koprivnice",36,19
"Brno","Hranice",20,30
"Frýdek-Místek","Trebon",31,24
"Trebon","Koprivnice",24,25
"Plzen","Brno",36,26
"Hranice","Frýdek-Místek",25,25
"Brno","Koprivnice",31,24
"Hranice","Trebon",28,23
"Frýdek-Místek","Plzen",21,30
"Hranice","Plzen",34,20
"Koprivnice","Frýdek-Místek",22,26
"Trebon","Brno",22,22
"Brno","Frýdek-Místek",24,32
"Hranice","Koprivnice",29,22
"Plzen","Trebon",26,21
"Trebon","Hranice",15,19
"Brno","Plzen",20,23
"Koprivnice","Zubrí",29,38
"Jicín","Dukla",24,25
"Lovosice","Karviná",28,32
"Frýdek-Místek","Prerov",35,24
"Plzen","Lovosice",37,24
"Dukla","Trebon",28,21
"Zubrí","Brno",27,17
"Karviná","Frýdek-Místek",36,27
