"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals"
"Prerov","Jicín",31,29
"Hranice","Koprivnice",19,17
"Koprivnice","Dukla",27,35
"Trebon","Prerov",27,38
"Brno","Lovosice",20,33
"Zubrí","Hranice",33,24
"Jicín","Karviná",29,29
"Frýdek-Místek","Plzen",24,27
"Plzen","Jicín",25,13
"Prerov","Koprivnice",34,29
"Lovosice","Frýdek-Místek",30,25
"Dukla","Zubrí",31,31
"Karviná","Trebon",37,21
"Hranice","Brno",28,20
"Trebon","Plzen",17,24
"Brno","Frýdek-Místek",28,26
"Jicín","Lovosice",24,21
"Koprivnice","Karviná",22,24
"Hranice","Dukla",21,25
"Zubrí","Prerov",41,20
"Dukla","Brno",30,21
"Lovosice","Trebon",29,23
"Frýdek-Místek","Jicín",27,27
"Prerov","Hranice",27,25
"Plzen","Koprivnice",26,15
"Karviná","Zubrí",25,28
"Trebon","Frýdek-Místek",30,24
"Dukla","Prerov",29,17
"Koprivnice","Lovosice",22,37
"Brno","Jicín",20,32
"Hranice","Karviná",26,28
"Zubrí","Plzen",24,22
"Lovosice","Zubrí",24,23
"Plzen","Hranice",30,17
"Frýdek-Místek","Koprivnice",38,30
"Jicín","Trebon",30,20
"Karviná","Dukla",28,25
"Prerov","Brno",35,29
"Zubrí","Frýdek-Místek",31,29
"Prerov","Karviná",31,38
"Hranice","Lovosice",21,20
"Dukla","Plzen",29,27
"Brno","Trebon",24,20
"Koprivnice","Jicín",22,30
"Trebon","Koprivnice",20,22
"Lovosice","Dukla",25,26
"Brno","Karviná",30,36
"Jicín","Zubrí",25,22
"Plzen","Prerov",28,32
"Frýdek-Místek","Hranice",23,23
"Zubrí","Trebon",36,13
"Karviná","Plzen",23,21
"Dukla","Frýdek-Místek",36,26
"Brno","Koprivnice",25,24
"Hranice","Jicín",26,26
"Prerov","Lovosice",24,33
"Zubrí","Koprivnice",42,20
"Karviná","Lovosice",33,24
"Dukla","Jicín",20,19
"Plzen","Brno",27,27
"Prerov","Frýdek-Místek",40,30
"Hranice","Trebon",29,17
"Brno","Zubrí",22,28
"Jicín","Prerov",45,30
"Koprivnice","Hranice",27,29
"Lovosice","Plzen",27,25
"Trebon","Dukla",17,26
"Frýdek-Místek","Karviná",37,34
"Dukla","Koprivnice",33,20
"Lovosice","Brno",34,16
"Hranice","Zubrí",26,30
"Karviná","Jicín",35,29
"Plzen","Frýdek-Místek",29,32
"Prerov","Trebon",29,22
"Jicín","Plzen",26,26
"Trebon","Karviná",22,26
"Brno","Hranice",24,36
"Koprivnice","Prerov",27,34
"Zubrí","Dukla",22,22
"Frýdek-Místek","Lovosice",28,33
"Dukla","Hranice",27,24
"Karviná","Koprivnice",42,27
"Plzen","Trebon",30,16
"Prerov","Zubrí",30,30
"Lovosice","Jicín",26,29
"Frýdek-Místek","Brno",26,27
"Brno","Dukla",19,27
"Trebon","Lovosice",15,36
"Jicín","Frýdek-Místek",27,27
"Koprivnice","Plzen",25,25
"Hranice","Prerov",28,36
"Zubrí","Karviná",28,21
"Prerov","Dukla",28,33
"Lovosice","Koprivnice",37,17
"Jicín","Brno",29,19
"Plzen","Zubrí",16,20
"Frýdek-Místek","Trebon",29,22
"Karviná","Hranice",33,25
"Trebon","Jicín",17,32
"Dukla","Karviná",28,21
"Brno","Prerov",23,27
"Koprivnice","Frýdek-Místek",26,39
"Zubrí","Lovosice",24,21
"Hranice","Plzen",23,23
"Trebon","Brno",23,23
"Lovosice","Hranice",22,27
"Karviná","Prerov",35,26
"Plzen","Dukla",21,26
"Frýdek-Místek","Zubrí",24,29
"Jicín","Koprivnice",40,28
"Dukla","Lovosice",24,24
"Karviná","Brno",37,23
"Koprivnice","Trebon",21,20
"Prerov","Plzen",21,22
"Hranice","Frýdek-Místek",34,31
"Zubrí","Jicín",26,20
"Trebon","Zubrí",18,32
"Koprivnice","Brno",33,20
"Plzen","Karviná",21,21
"Lovosice","Prerov",28,23
"Frýdek-Místek","Dukla",20,33
"Jicín","Hranice",24,21
