"Home.Team.Name","Result","Away.Team.Name","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Jicín","29 : 28","Koprivnice","1.6.2011","18 : 12","210","3 : 4","Dalibor Pavlát, Petr Pešek","Aleš Babák","Vladimír Bohácek","Miroslav Barton","Ivo Vávra","7till12placeMatch"
"Brno","31 : 26","Trebon","4.6.2011","16 : 11","195","1 : 3","Radoslav Kavulic, Libor Skružný","Zdenek Missbach","Zdenek Zima","Jan Pavlovský","Zdenek Kubík","7till12placeMatch"
"Frýdek-Místek","32 : 28","Prerov","5.6.2011","17 : 13","315","3 : 4","Adam Kondelka, David Kondelka","Jirí Kekrt","Petr Mazur","Alois Jurík","Richard Bucek","7till12placeMatch"
"Prerov","28 : 28","Jicín","27.5.2011","16 : 11","52","4 : 2","Pavel Novotný, Jirí Vetrovský","Alois Jurík","Michal Kavka","Aleš Babák","Vladimír Bohácek","7till12placeMatch"
"Trebon","23 : 22","Frýdek-Místek","28.5.2011","12 : 15","250","2 : 0","Lubomír Kohout, Vladimír Vaník","Jan Pavlovský","Zdenek Kubík","Jirí Kekrt","Petr Mazur","7till12placeMatch"
"Koprivnice","34 : 24","Brno","28.5.2011","15 : 10","220","5 : 3","Petr Halada, Martin Zych","Miroslav Barton","Ivo Vávra","Zdenek Missbach","Tomáš Petr","7till12placeMatch"
"Brno","40 : 36","Frýdek-Místek","21.5.2011","21 : 22","125","4 : 4","Milan Hájek, Karel Macho","Zdenek Missbach","Zdenek Zima","Jirí Kekrt","Petr Mazur","7till12placeMatch"
"Jicín","35 : 17","Trebon","21.5.2011","15 : 6","250","3 : 0","Marek Becicka, Jirí Horák","Aleš Babák","Vladimír Bohácek","Jan Pavlovský","Zdenek Kubík","7till12placeMatch"
"Koprivnice","30 : 23","Prerov","21.5.2011","17 : 13","104","3 : 3","Michal Hanák, Jan Kosmák","Miroslav Barton","Ivo Vávra","Alois Jurík","Michal Kavka","7till12placeMatch"
"Trebon","24 : 20","Koprivnice","14.5.2011","14 : 8","0","0 : 2","Jirí Opava, Pavel Válek","Jan Pavlovský","Zdenek Kubík","Miroslav Barton","Ivo Vávra","7till12placeMatch"
