"Home.Team.Name","Result","Away.Team.Name","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Koprivnice","28 : 27","Hranice","13.11.2010","12 : 11","300","1 : 2","Bedrich Frieser, Lukáš Frieser","Libor Hrabal","Ivo Vávra","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Trebon","32 : 43","Karviná","2.11.2010","15 : 21","200","2 : 2","Lubomír Kohout, Vladimír Vaník","Jan Pavlovský","Zdenek Kubík","Jozef Hanták","Martin Kostelník","RegularPhaseMatch"
"Hranice","23 : 29","Lovosice","10.11.2010","11 : 14","500","2 : 1","Václav Horácek, Jirí Novotný","Jan Hegar","Bretislav Žoch","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Frýdek-Místek","37 : 25","Koprivnice","10.11.2010","20 : 9","446","1 : 3","Milan Hájek, Karel Macho","Jirí Kekrt","Petr Mazur","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Prerov","29 : 27","Jicín","10.11.2010","13 : 13","300","5 : 3","Dalibor Pavlát, Petr Pešek","Miroslav Frank","Michal Kavka","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Brno","27 : 39","Dukla","10.11.2010","13 : 19","410","6 : 1","Václav Kohout, Petr Novák","Zdenek Missbach","Zdenek Zima","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Plzen","23 : 24","Zubrí","10.11.2010","12 : 14","1000","3 : 3","Jirí Opava, Pavel Válek","Vladimír Haber","Stanislav Raizl","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Brno","29 : 25","Prerov","31.10.2010","16 : 12","408","3 : 7","Petr Halada, Martin Zych","Zdenek Missbach","Zdenek Zima","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Lovosice","32 : 26","Frýdek-Místek","6.11.2010","15 : 10","425","1 : 2","Lubomír Kohout, Vladimír Vaník","Vojtech Srba","Pavel Haken","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Zubrí","35 : 22","Trebon","6.11.2010","15 : 8","500","5 : 1","Pavel Novotný, Jirí Vetrovský","Jirí Mika","Michal Balhárek","Jan Pavlovský","Vladislav Jordák","RegularPhaseMatch"
"Koprivnice","25 : 25","Jicín","6.11.2010","13 : 14","200","4 : 3","Václav Horácek, Jirí Novotný","Libor Hrabal","Ivo Vávra","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Dukla","24 : 23","Plzen","7.11.2010","11 : 10","225","1 : 4","Radoslav Kavulic, Libor Skružný","Pavel Pauza","Milan Kotrc","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Karviná","24 : 20","Hranice","7.11.2010","12 : 10","836","0 : 2","Marek Becicka, Jirí Horák","Jozef Hanták","Martin Kostelník","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Trebon","22 : 35","Dukla","23.10.2010","12 : 16","445","1 : 3","Pavel Válek, Jirí Opava","Jan Pavlovský","Zdenek Kubík","Pavel Pauza","Milan Kotrc","RegularPhaseMatch"
"Brno","28 : 45","Plzen","23.10.2010","14 : 22","420","2 : 1","Lukáš Frieser, Bedrich Frieser","Zdenek Missbach","Zdenek Zima","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Zubrí","33 : 29","Hranice","23.10.2010","19 : 15","800","3 : 0","Karel Macho, Milan Hájek","Jirí Mika","Aleš Korínek","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Jicín","28 : 33","Lovosice","24.10.2010","16 : 14","600","0 : 2","Jirí Horák, Marek Becicka","Aleš Babák","Vladimír Bohácek","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Prerov","25 : 30","Koprivnice","24.10.2010","16 : 17","246","0 : 0","Petr Novák, Václav Kohout","Miroslav Frank","Michal Kavka","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Frýdek-Místek","25 : 26","Karviná","24.10.2010","11 : 11","564","6 : 0","Pavel Nesvadba, Vangelis Simu","Jirí Kekrt","Petr Mazur","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Lovosice","33 : 24","Koprivnice","16.10.2010","19 : 13","250","2 : 1","Dalibor Pavlát, Petr Pešek","Vojtech Srba","Pavel Haken","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Brno","35 : 29","Trebon","16.10.2010","20 : 14","0","3 : 3","Milan Hájek, Karel Macho","Zdenek Missbach","Zdenek Zima","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Zubrí","31 : 30","Frýdek-Místek","16.10.2010","18 : 13","750","2 : 2","Marek Becicka, Jirí Horák","Jirí Mika","Aleš Korínek","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Dukla","24 : 26","Hranice","17.10.2010","12 : 14","110","4 : 2","Bedrich Frieser, Lukáš Frieser","Pavel Pauza","Milan Kotrc","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Karviná","24 : 24","Jicín","17.10.2010","17 : 14","726","0 : 3","Pavel Novotný, Jirí Vetrovský","Jozef Hanták","Roman Farár","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Plzen","40 : 25","Prerov","17.10.2010","19 : 12","500","2 : 2","Michal Hanák, Jan Kosmák","Vladimír Haber","Stanislav Raizl","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Frýdek-Místek","30 : 28","Dukla","13.10.2010","15 : 17","242","3 : 3","Jirí Novotný, Václav Horácek","Jirí Kekrt","Petr Mazur","Pavel Pauza","Milan Kotrc","RegularPhaseMatch"
"Jicín","27 : 19","Zubrí","13.10.2010","13 : 8","580","5 : 3","Jirí Opava, Pavel Válek","Aleš Babák","Vladimír Bohácek","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Koprivnice","27 : 33","Karviná","13.10.2010","11 : 18","200","2 : 1","Marek Becicka, Jirí Horák","Libor Hrabal","Ivo Vávra","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Prerov","26 : 33","Lovosice","13.10.2010","15 : 18","148","3 : 3","David Kondelka, Adam Kondelka","Miroslav Frank","Michal Kavka","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Trebon","25 : 31","Plzen","13.10.2010","13 : 11","360","3 : 0","Dalibor Pavlát, Petr Pešek","Jan Pavlovský","Zdenek Kubík","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Brno","28 : 36","Hranice","13.10.2010","14 : 16","243","1 : 2","Vangelis Simu, Pavel Nesvadba","Zdenek Missbach","Zdenek Zima","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Dukla","30 : 21","Jicín","6.10.2010","16 : 7","128","1 : 2","Karel Macho, Milan Hájek","Pavel Pauza","Milan Kotrc","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Zubrí","37 : 24","Koprivnice","6.10.2010","20 : 9","500","5 : 2","Michal Hanák, Jan Kosmák","Jirí Mika","Aleš Korínek","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Karviná","27 : 27","Lovosice","9.10.2010","16 : 15","600","2 : 2","Pavel Nesvadba, Vangelis Simu","Jozef Hanták","Roman Farár","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Trebon","26 : 25","Prerov","9.10.2010","14 : 11","335","2 : 1","Pavel Novotný, Jirí Vetrovský","Jan Pavlovský","Zdenek Kubík","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Brno","35 : 33","Frýdek-Místek","9.10.2010","17 : 17","455","5 : 6","Dalibor Pavlát, Petr Pešek","Zdenek Missbach","Zdenek Zima","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Plzen","24 : 26","Hranice","9.10.2010","13 : 12","650","1 : 1","Libor Skružný, Radoslav Kavulic","Vladimír Haber","Stanislav Raizl","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Koprivnice","20 : 33","Dukla","30.9.2010","8 : 15","300","0 : 1","Václav Horácek, Jirí Novotný","Libor Hrabal","Zdenek Kovalák","Pavel Pauza","Milan Kotrc","RegularPhaseMatch"
"Trebon","23 : 23","Hranice","2.10.2010","11 : 12","300","2 : 1","Petr Halada, Martin Zych","Jan Pavlovský","Zdenek Kubík","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Prerov","34 : 40","Karviná","3.10.2010","17 : 24","282","2 : 2","Radoslav Kavulic, Libor Skružný","Miroslav Frank","Richard Bucek","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Frýdek-Místek","23 : 35","Plzen","3.10.2010","10 : 17","272","4 : 1","Jan Kosmák, Michal Hanák","Jirí Kekrt","Petr Mazur","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Jicín","34 : 28","Brno","3.10.2010","17 : 12","550","2 : 1","Adam Kondelka, David Kondelka","Aleš Babák","Vladimír Bohácek","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Lovosice","25 : 22","Zubrí","3.11.2010","14 : 11","450","1 : 2","Petr Novák, Václav Kohout","Vojtech Srba","Pavel Haken","Jirí Mika","Michal Balhárek","RegularPhaseMatch"
"Dukla","30 : 25","Lovosice","25.9.2010","11 : 11","280","1 : 3","Jan Kosmák, Michal Hanák","Pavel Pauza","Milan Kotrc","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Trebon","33 : 20","Frýdek-Místek","25.9.2010","17 : 8","300","3 : 3","Bedrich Frieser, Lukáš Frieser","Jan Pavlovský","Vladislav Jordák","Jirí Kekrt","Petr Mazur","RegularPhaseMatch"
"Brno","40 : 23","Koprivnice","25.9.2010","19 : 7","400","1 : 2","Jirí Horák, Marek Becicka","Zdenek Missbach","Jirí Hruza","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Plzen","26 : 23","Jicín","25.9.2010","11 : 11","450","2 : 4","Petr Pešek, Dalibor Pavlát","Vladimír Haber","Stanislav Raizl","Aleš Babák","Vladimír Bohácek","RegularPhaseMatch"
"Zubrí","23 : 22","Karviná","26.9.2010","12 : 11","800","4 : 7","Václav Horácek, Jirí Novotný","Jirí Mika","Aleš Korínek","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Prerov","23 : 27","Hranice","26.9.2010","8 : 14","261","3 : 0","Pavel Nesvadba, Vangelis Simu","Miroslav Frank","Michal Kavka","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Jicín","28 : 24","Trebon","18.9.2010","15 : 12","600","2 : 3","Radoslav Kavulic, Libor Skružný","Aleš Babák","Vladimír Bohácek","Jan Pavlovský","Zdenek Kubík","RegularPhaseMatch"
"Lovosice","32 : 20","Brno","18.9.2010","19 : 7","280","4 : 1","Milan Hájek, Karel Macho","Vojtech Srba","Pavel Haken","Zdenek Missbach","Zdenek Zima","RegularPhaseMatch"
"Koprivnice","30 : 34","Plzen","18.9.2010","15 : 16","500","1 : 3","David Kondelka, Adam Kondelka","Libor Hrabal","Ivo Vávra","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Karviná","30 : 20","Dukla","19.9.2010","16 : 9","875","4 : 1","Petr Pešek, Dalibor Pavlát","Jozef Hanták","Roman Farár","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Prerov","24 : 28","Zubrí","19.9.2010","12 : 17","326","3 : 1","Michal Hanák, Jan Kosmák","Miroslav Frank","Michal Kavka","Jirí Mika","Aleš Korínek","RegularPhaseMatch"
"Frýdek-Místek","25 : 31","Hranice","19.9.2010","16 : 16","387","2 : 3","Marek Becicka, Jirí Horák","Jirí Kekrt","Petr Mazur","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Plzen","27 : 22","Lovosice","11.9.2010","13 : 12","400","1 : 3","Václav Kohout, Petr Novák","Vladimír Haber","Vladimír Eberle","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Trebon","32 : 27","Koprivnice","11.9.2010","18 : 14","250","3 : 3","Karel Macho, Milan Hájek","Jan Pavlovský","Zdenek Kubík","Libor Hrabal","Ivo Vávra","RegularPhaseMatch"
"Brno","30 : 31","Karviná","11.9.2010","13 : 15","460","2 : 6","Pavel Nesvadba, Vangelis Simu","Zdenek Missbach","Zdenek Zima","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Frýdek-Místek","22 : 33","Prerov","12.9.2010","13 : 18","436","0 : 1","Adam Kondelka, David Kondelka","Jirí Kekrt","Petr Mazur","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Jicín","20 : 18","Hranice","12.9.2010","8 : 10","450","4 : 0","Jirí Opava, Pavel Válek","Aleš Babák","Vladimír Bohácek","Jan Hegar","Lumír Zátopek","RegularPhaseMatch"
"Dukla","34 : 27","Zubrí","20.10.2010","20 : 12","145","3 : 2","Jirí Opava, Pavel Válek","Pavel Pauza","Milan Kotrc","Jirí Mika","Aleš Korínek","RegularPhaseMatch"
