Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,201,44.99,652,53.99,72.07
KAR,157,42.97,584,57.15,65.51
DUK,185,44.88,575,54.5,70.52
HRA,99,41.1,543,57.58,79.06
LOV,133,39.45,488,52.17,70.32
JIC,124,42.51,517,52.61,67.82
PLZ,112,41.78,542,52.31,70.93
FRM,120,37.69,521,51.4,73.78
BRN,104,45.64,639,53.56,74.52
KOP,100,40.02,572,52.47,74.21
PRE,99,35.99,487,49.29,70.29
