Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,160,39.89,517,56.52,74.6
KAR,92,39.22,590,52.56,73.68
DUK,162,39.08,469,58.78,75.78
HRA,84,43.99,597,58.22,75
LOV,118,38.55,539,52.77,73.63
JIC,178,39.48,402,52.4,65.21
PLZ,135,43.38,541,56.74,72.47
FRM,106,40.86,548,49.53,75.89
BRN,200,41.67,638,55.16,97.34
LIT,130,38.16,477,51.55,69.99
PRE,92,32.94,507,46.36,74.35
ZLN,99,34.39,422,52.25,73.25
