Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,253,38.96,558,57.85,71.09
KAR,203,39.56,567,61.82,76.37
DUK,82,36.53,426,62.62,78.35
HRA,87,34.65,410,55.72,71.59
LOV,187,38.74,597,54.42,72.27
JIC,98,34.19,396,54.02,80.64
PLZ,109,39.67,559,58.61,73.25
FRM,142,33.87,417,54.4,68.33
BRN,130,35.78,463,52.94,75
STR,171,26.09,310,57.65,73.73
KOP,158,33.15,432,58.89,67.18
NOV,154,40.38,483,53.24,70.11
