"Global.Match.ID","Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Date","Season","Season.Phase","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals","HT.Break.Goals","HT.Goalkeepers.Perc","HT.Goalkeepers.Saves","HT.Shots.Acc.Perc","HT.7m.Shots.Acc","AT.Break.Goals","AT.Goalkeepers.Perc","AT.Goalkeepers.Saves","AT.Shots.Acc.Perc","AT.7m.Shots.Acc","Day.Name","Day.Status","Public.Holiday","CT.Broadcast"
281,34,"FRM","ZUB","Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,31,2017-04-01,"2016/2017","QuarterfinalsMatch",476,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Andrej Titkov","Ivo Tovaryš",13,12,3,3,48,35.98,461,53.36,72.18,223,43.15,621,63.82,76.22,"Sat","Weekend",0,0
282,35,"KAR","LOV","HCB Karviná","HK FCC Mesto Lovosice",31,27,2017-04-02,"2016/2017","QuarterfinalsMatch",708,"Milan Hájek, Karel Macho","Marek Michalisko","Jan Užek","Milan Berka","Pavel Haken",16,11,3,1,143,34.97,497,55.09,78.88,199,40.43,664,54.84,74.74,"Sun","Weekend",0,0
283,36,"LOV","KAR","HK FCC Mesto Lovosice","HCB Karviná",35,24,2017-04-08,"2016/2017","QuarterfinalsMatch",1062,"Milan Hájek, Karel Macho","Milan Berka","Pavel Haken","Marek Michalisko","Alexander Radcenko",17,13,2,3,199,40.43,664,54.84,74.74,143,34.97,497,55.09,78.88,"Sat","Weekend",0,0
284,37,"NOV","HRA","Sokol Nové Veselí","Cement Hranice",28,25,2017-04-28,"2016/2017","9till12placeMatch",300,"Milan Hájek, Karel Macho","Pavel Hladík","Filip Vecera","Libor Hrabal","Martin Stržínek",15,9,2,3,70,38.98,508,53.13,73.78,83,35.78,453,54.23,82.29,"Fri","WorkingDay",0,0
285,38,"LIT","KOP","Tatran Litovel","Koprivnice",33,31,2017-04-29,"2016/2017","9till12placeMatch",0,"Marek Becicka, Tomáš Bubenícek","Kvetoslav Kuba","Jirí Macek","Ivo Vávra","Igor Fulnek",19,14,1,5,129,33.08,436,53.29,67.04,131,39.71,552,50.87,64.44,"Sat","Weekend",0,0
286,39,"HRA","LIT","Cement Hranice","Tatran Litovel",29,22,2017-04-23,"2016/2017","9till12placeMatch",255,"Adam Baader, Jirí Novotný","Libor Hrabal","Martin Stržínek","Michal Hradil","Jirí Macek",15,11,4,3,83,35.78,453,54.23,82.29,129,33.08,436,53.29,67.04,"Sun","Weekend",0,0
287,40,"KOP","NOV","Koprivnice","Sokol Nové Veselí",23,29,2017-04-23,"2016/2017","9till12placeMatch",230,"Jirí Králícek, Milan Letev","Ivo Vávra","Igor Fulnek","Pavel Hladík","Tomáš Augustýn",9,12,2,2,131,39.71,552,50.87,64.44,70,38.98,508,53.13,73.78,"Sun","Weekend",0,0
288,41,"LIT","NOV","Tatran Litovel","Sokol Nové Veselí",27,34,2017-04-12,"2016/2017","9till12placeMatch",181,"Mojmír Valášek, Jaroslav Vychodil","Michal Hradil","Jirí Macek","Pavel Hladík","Stanislav Krcál",15,18,1,2,129,33.08,436,53.29,67.04,70,38.98,508,53.13,73.78,"Wed","WorkingDay",0,0
289,42,"HRA","KOP","Cement Hranice","Koprivnice",24,25,2017-04-14,"2016/2017","9till12placeMatch",257,"Dalibor Pavlát, Ludek Tocík","Libor Hrabal","Martin Stržínek","Ivo Vávra","Igor Fulnek",12,12,3,6,83,35.78,453,54.23,82.29,131,39.71,552,50.87,64.44,"Fri","WorkingDay",0,0
290,43,"HRA","NOV","Cement Hranice","Sokol Nové Veselí",24,23,2017-04-09,"2016/2017","9till12placeMatch",170,"Pavel Blanar, Michael Haramul","Libor Hrabal","Martin Stržínek","Pavel Hladík","Stanislav Krcál",12,12,1,4,83,35.78,453,54.23,82.29,70,38.98,508,53.13,73.78,"Sun","Weekend",0,0
291,44,"KOP","LIT","Koprivnice","Tatran Litovel",25,25,2017-04-09,"2016/2017","9till12placeMatch",320,"Premysl Fukala, Radek Mohyla","Ivo Vávra","Igor Fulnek","Michal Hradil","Jirí Macek",10,11,5,3,131,39.71,552,50.87,64.44,129,33.08,436,53.29,67.04,"Sun","Weekend",0,0
292,45,"NOV","KOP","Sokol Nové Veselí","Koprivnice",35,24,2017-04-01,"2016/2017","9till12placeMatch",250,"Jirí Opava, Pavel Válek","Pavel Hladík","Filip Vecera","Ivo Vávra","Igor Fulnek",17,11,3,4,70,38.98,508,53.13,73.78,131,39.71,552,50.87,64.44,"Sat","Weekend",0,0
293,46,"LIT","HRA","Tatran Litovel","Cement Hranice",24,26,2017-04-01,"2016/2017","9till12placeMatch",294,"Milan Hájek, Karel Macho","Michal Hradil","Jirí Macek","Libor Hrabal","Martin Stržínek",9,14,3,2,129,33.08,436,53.29,67.04,83,35.78,453,54.23,82.29,"Sat","Weekend",0,0
294,47,"KOP","HRA","Koprivnice","Cement Hranice",23,25,2017-03-26,"2016/2017","9till12placeMatch",330,"Michal Hanák, Luboš Pavlícek","Ivo Vávra","Igor Fulnek","Libor Hrabal","Martin Stržínek",10,16,4,0,131,39.71,552,50.87,64.44,83,35.78,453,54.23,82.29,"Sun","Weekend",0,0
295,48,"NOV","LIT","Sokol Nové Veselí","Tatran Litovel",25,22,2017-03-26,"2016/2017","9till12placeMatch",350,"Jirí Králícek, Milan Letev","Pavel Hladík","Filip Vecera","Michal Hradil","Jirí Macek",12,10,3,2,70,38.98,508,53.13,73.78,129,33.08,436,53.29,67.04,"Sun","Weekend",0,0
296,49,"DUK","LIT","Dukla Praha","Tatran Litovel",40,18,2017-03-15,"2016/2017","RegularPhaseMatch",140,"Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Michal Hradil","Jirí Macek",20,8,2,2,157,39.51,533,60.42,85.98,129,33.08,436,53.29,67.04,"Wed","WorkingDay",0,0
297,50,"ZUB","KOP","HC ROBE Zubrí","Koprivnice",29,23,2017-03-15,"2016/2017","RegularPhaseMatch",0,"Marek Becicka, Tomáš Bubenícek","Andrej Titkov","Ivo Tovaryš","Ivo Vávra","Igor Fulnek",14,12,2,3,223,43.15,621,63.82,76.22,131,39.71,552,50.87,64.44,"Wed","WorkingDay",0,0
298,51,"FRM","KAR","Pepino SKP Frýdek-Místek","HCB Karviná",35,29,2017-03-15,"2016/2017","RegularPhaseMatch",613,"Premysl Fukala, Radek Mohyla","Aleš Chrastina","Petr Mazur","Marek Michalisko","Zdenek Mrózek",18,14,2,2,48,35.98,461,53.36,72.18,143,34.97,497,55.09,78.88,"Wed","WorkingDay",0,0
299,52,"HRA","JIC","Cement Hranice","HBC Ronal Jicín",27,30,2017-03-15,"2016/2017","RegularPhaseMatch",125,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Stržínek","Aleš Babák","Petr Kyncl",12,14,5,1,83,35.78,453,54.23,82.29,129,35.19,415,50.95,77.01,"Wed","WorkingDay",0,0
300,53,"BRN","PLZ","SKKP Handball Brno","M.A.T. Plzen",26,34,2017-03-15,"2016/2017","RegularPhaseMatch",385,"Michal Hanák, Luboš Pavlícek","Zdenek Missbach","Pavel Cejka","Martin Šetlík","Stanislav Raizl",11,18,6,0,129,35.61,448,52.78,76.47,175,44.84,644,61.59,71.42,"Wed","WorkingDay",0,0
301,54,"NOV","LOV","Sokol Nové Veselí","HK FCC Mesto Lovosice",26,29,2017-03-15,"2016/2017","RegularPhaseMatch",413,"Tomáš Kozler, Martin Zych","Pavel Hladík","Stanislav Krcál","Milan Berka","Pavel Haken",16,17,1,3,70,38.98,508,53.13,73.78,199,40.43,664,54.84,74.74,"Wed","WorkingDay",0,0
302,55,"JIC","PLZ","HBC Ronal Jicín","M.A.T. Plzen",23,26,2017-03-11,"2016/2017","RegularPhaseMatch",690,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl",12,15,2,1,129,35.19,415,50.95,77.01,175,44.84,644,61.59,71.42,"Sat","Weekend",0,0
303,56,"KAR","HRA","HCB Karviná","Cement Hranice",39,31,2017-03-11,"2016/2017","RegularPhaseMatch",586,"Marek Becicka, Tomáš Bubenícek","Marek Michalisko","Alexander Radcenko","Libor Hrabal","Martin Stržínek",19,15,2,2,143,34.97,497,55.09,78.88,83,35.78,453,54.23,82.29,"Sat","Weekend",0,0
304,57,"LOV","FRM","HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",28,32,2017-03-11,"2016/2017","RegularPhaseMatch",619,"Milan Hájek, Karel Macho","Milan Berka","Pavel Haken","Aleš Chrastina","Petr Mazur",16,12,4,1,199,40.43,664,54.84,74.74,48,35.98,461,53.36,72.18,"Sat","Weekend",0,0
305,58,"LIT","NOV","Tatran Litovel","Sokol Nové Veselí",27,31,2017-03-11,"2016/2017","RegularPhaseMatch",369,"Michal Hanák, Luboš Pavlícek","Michal Hradil","Jirí Macek","Pavel Hladík","Stanislav Krcál",12,15,1,2,129,33.08,436,53.29,67.04,70,38.98,508,53.13,73.78,"Sat","Weekend",0,0
306,59,"KOP","DUK","Koprivnice","Dukla Praha",30,34,2017-03-11,"2016/2017","RegularPhaseMatch",0,"Václav Horácek, Jirí Novotný","Ivo Vávra","Igor Fulnek","Jan Josef","Jirí Kotrc",14,18,4,8,131,39.71,552,50.87,64.44,157,39.51,533,60.42,85.98,"Sat","Weekend",0,0
307,60,"BRN","ZUB","SKKP Handball Brno","HC ROBE Zubrí",28,28,2017-03-11,"2016/2017","RegularPhaseMatch",560,"Pavel Blanar, Michael Haramul","Zdenek Missbach","Pavel Cejka","Andrej Titkov","Ivo Tovaryš",17,13,2,3,129,35.61,448,52.78,76.47,223,43.15,621,63.82,76.22,"Sat","Weekend",0,0
308,61,"PLZ","KAR","M.A.T. Plzen","HCB Karviná",35,26,2017-03-01,"2016/2017","RegularPhaseMatch",652,"Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Marek Michalisko","Alexander Radcenko",18,11,2,4,175,44.84,644,61.59,71.42,143,34.97,497,55.09,78.88,"Wed","WorkingDay",0,1
309,62,"HRA","LOV","Cement Hranice","HK FCC Mesto Lovosice",26,28,2017-03-04,"2016/2017","RegularPhaseMatch",160,"Dalibor Pavlát, Ludek Tocík","Libor Hrabal","Martin Schober","Milan Berka","Pavel Haken",12,13,2,2,83,35.78,453,54.23,82.29,199,40.43,664,54.84,74.74,"Sat","Weekend",0,0
310,63,"DUK","BRN","Dukla Praha","SKKP Handball Brno",27,21,2017-03-04,"2016/2017","RegularPhaseMatch",185,"Premysl Fukala, Radek Mohyla","Jan Josef","Jirí Kotrc","Zdenek Missbach","Pavel Cejka",12,10,7,3,157,39.51,533,60.42,85.98,129,35.61,448,52.78,76.47,"Sat","Weekend",0,0
311,64,"LIT","KOP","Tatran Litovel","Koprivnice",37,37,2017-03-04,"2016/2017","RegularPhaseMatch",303,"Tomáš Kozler, Martin Zych","Michal Hradil","Jirí Macek","Ivo Vávra","Igor Fulnek",16,19,4,3,129,33.08,436,53.29,67.04,131,39.71,552,50.87,64.44,"Sat","Weekend",0,0
312,65,"ZUB","JIC","HC ROBE Zubrí","HBC Ronal Jicín",30,25,2017-03-04,"2016/2017","RegularPhaseMatch",1050,"Martin Kosa, Pavel Švidernoch","Andrej Titkov","Ivo Tovaryš","Aleš Babák","Petr Kyncl",13,13,4,2,223,43.15,621,63.82,76.22,129,35.19,415,50.95,77.01,"Sat","Weekend",0,0
313,66,"NOV","FRM","Sokol Nové Veselí","Pepino SKP Frýdek-Místek",33,22,2017-03-04,"2016/2017","RegularPhaseMatch",350,"Václav Horácek, Jirí Novotný","Pavel Hladík","Filip Vecera","Aleš Chrastina","Petr Mazur",16,15,0,2,70,38.98,508,53.13,73.78,48,35.98,461,53.36,72.18,"Sat","Weekend",0,0
314,67,"JIC","DUK","HBC Ronal Jicín","Dukla Praha",21,23,2017-02-22,"2016/2017","RegularPhaseMatch",610,"Michal Hanák, Luboš Pavlícek","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc",12,11,2,1,129,35.19,415,50.95,77.01,157,39.51,533,60.42,85.98,"Wed","WorkingDay",0,1
315,68,"LOV","PLZ","HK FCC Mesto Lovosice","M.A.T. Plzen",22,29,2017-02-25,"2016/2017","RegularPhaseMatch",918,"Premysl Fukala, Radek Mohyla","Milan Berka","Pavel Haken","Martin Šetlík","Stanislav Raizl",17,13,4,0,199,40.43,664,54.84,74.74,175,44.84,644,61.59,71.42,"Sat","Weekend",0,0
316,69,"BRN","LIT","SKKP Handball Brno","Tatran Litovel",30,26,2017-02-25,"2016/2017","RegularPhaseMatch",382,"Martin Kosa, Pavel Švidernoch","Zdenek Missbach","Pavel Cejka","Michal Hradil","Jirí Macek",11,14,2,2,129,35.61,448,52.78,76.47,129,33.08,436,53.29,67.04,"Sat","Weekend",0,0
317,70,"KOP","NOV","Koprivnice","Sokol Nové Veselí",37,28,2017-02-25,"2016/2017","RegularPhaseMatch",350,"Radoslav Kavulic, Lukáš Frieser","Ivo Vávra","Igor Fulnek","Pavel Hladík","Stanislav Krcál",20,16,2,1,131,39.71,552,50.87,64.44,70,38.98,508,53.13,73.78,"Sat","Weekend",0,0
318,71,"KAR","ZUB","HCB Karviná","HC ROBE Zubrí",25,19,2017-02-26,"2016/2017","RegularPhaseMatch",893,"Lukáš Frieser, Radoslav Kavulic","Marek Michalisko","Alexander Radcenko","Andrej Titkov","Ivo Tovaryš",12,12,0,1,143,34.97,497,55.09,78.88,223,43.15,621,63.82,76.22,"Sun","Weekend",0,0
319,72,"FRM","HRA","Pepino SKP Frýdek-Místek","Cement Hranice",33,26,2017-02-26,"2016/2017","RegularPhaseMatch",468,"Premysl Fukala, Radek Mohyla","Aleš Chrastina","Petr Mazur","Libor Hrabal","Karel Magrla",13,14,4,4,48,35.98,461,53.36,72.18,83,35.78,453,54.23,82.29,"Sun","Weekend",0,0
320,73,"ZUB","LOV","HC ROBE Zubrí","HK FCC Mesto Lovosice",36,20,2017-02-16,"2016/2017","RegularPhaseMatch",1143,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken",15,9,1,1,223,43.15,621,63.82,76.22,199,40.43,664,54.84,74.74,"Thu","WorkingDay",0,1
321,74,"DUK","KAR","Dukla Praha","HCB Karviná",36,31,2017-02-18,"2016/2017","RegularPhaseMatch",145,"Marek Becicka, Tomáš Bubenícek","Jan Josef","Jirí Kotrc","Marek Michalisko","Alexander Radcenko",19,12,4,4,157,39.51,533,60.42,85.98,143,34.97,497,55.09,78.88,"Sat","Weekend",0,0
322,75,"LIT","JIC","Tatran Litovel","HBC Ronal Jicín",31,24,2017-02-18,"2016/2017","RegularPhaseMatch",252,"Lukáš Frieser, Radoslav Kavulic","Michal Hradil","Jirí Macek","Aleš Babák","Petr Kyncl",11,13,3,4,129,33.08,436,53.29,67.04,129,35.19,415,50.95,77.01,"Sat","Weekend",0,0
323,76,"KOP","BRN","Koprivnice","SKKP Handball Brno",26,24,2017-02-18,"2016/2017","RegularPhaseMatch",400,"Mojmír Valášek, Jaroslav Vychodil","Ivo Vávra","Igor Fulnek","Zdenek Missbach","Pavel Cejka",13,12,2,3,131,39.71,552,50.87,64.44,129,35.61,448,52.78,76.47,"Sat","Weekend",0,0
324,77,"NOV","HRA","Sokol Nové Veselí","Cement Hranice",29,24,2017-02-18,"2016/2017","RegularPhaseMatch",0,"Martin Kosa, Pavel Švidernoch","Pavel Hladík","Filip Vecera","Libor Hrabal","Martin Schober",13,12,5,3,70,38.98,508,53.13,73.78,83,35.78,453,54.23,82.29,"Sat","Weekend",0,0
325,78,"PLZ","FRM","M.A.T. Plzen","Pepino SKP Frýdek-Místek",39,28,2017-02-19,"2016/2017","RegularPhaseMatch",798,"Lukáš Frieser, Radoslav Kavulic","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur",19,13,3,3,175,44.84,644,61.59,71.42,48,35.98,461,53.36,72.18,"Sun","Weekend",0,0
326,79,"LOV","DUK","HK FCC Mesto Lovosice","Dukla Praha",33,30,2017-02-10,"2016/2017","RegularPhaseMatch",810,"Michal Nezbeda, Václav Zelenka","Milan Berka","Pavel Haken","Jan Josef","Daniel Curda",17,15,3,0,199,40.43,664,54.84,74.74,157,39.51,533,60.42,85.98,"Fri","WorkingDay",0,1
327,80,"BRN","NOV","SKKP Handball Brno","Sokol Nové Veselí",25,24,2017-02-11,"2016/2017","RegularPhaseMatch",719,"Michal Hanák, Luboš Pavlícek","Zdenek Missbach","Pavel Cejka","Pavel Hladík","Filip Vecera",10,11,2,4,129,35.61,448,52.78,76.47,70,38.98,508,53.13,73.78,"Sat","Weekend",0,0
328,81,"JIC","KOP","HBC Ronal Jicín","Koprivnice",32,28,2017-02-11,"2016/2017","RegularPhaseMatch",640,"Premysl Fukala, Radek Mohyla","Aleš Babák","Petr Kyncl","Ivo Vávra","Igor Fulnek",16,11,1,1,129,35.19,415,50.95,77.01,131,39.71,552,50.87,64.44,"Sat","Weekend",0,0
329,82,"KAR","LIT","HCB Karviná","Tatran Litovel",38,34,2017-02-12,"2016/2017","RegularPhaseMatch",512,"Mojmír Valášek, Jaroslav Vychodil","Marek Michalisko","Alexander Radcenko","Michal Hradil","Jirí Macek",18,13,5,4,143,34.97,497,55.09,78.88,129,33.08,436,53.29,67.04,"Sun","Weekend",0,0
330,83,"HRA","PLZ","Cement Hranice","M.A.T. Plzen",25,25,2017-02-12,"2016/2017","RegularPhaseMatch",205,"Pavel Blanar, Michael Haramul","Libor Hrabal","Martin Potiška","Martin Šetlík","Stanislav Raizl",11,14,2,2,83,35.78,453,54.23,82.29,175,44.84,644,61.59,71.42,"Sun","Weekend",0,0
331,84,"FRM","ZUB","Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,32,2017-02-12,"2016/2017","RegularPhaseMatch",456,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Andrej Titkov","Ivo Tovaryš",11,16,4,4,48,35.98,461,53.36,72.18,223,43.15,621,63.82,76.22,"Sun","Weekend",0,0
332,85,"DUK","FRM","Dukla Praha","Pepino SKP Frýdek-Místek",28,21,2017-02-04,"2016/2017","RegularPhaseMatch",210,"Tomáš Kozler, Martin Zych","Jan Josef","Daniel Curda","Aleš Chrastina","Petr Mazur",17,9,4,3,157,39.51,533,60.42,85.98,48,35.98,461,53.36,72.18,"Sat","Weekend",0,0
333,86,"LIT","LOV","Tatran Litovel","HK FCC Mesto Lovosice",28,39,2017-02-04,"2016/2017","RegularPhaseMatch",330,"Pavel Blanar, Michael Haramul","Michal Hradil","Jirí Macek","Milan Berka","Pavel Haken",13,17,2,2,129,33.08,436,53.29,67.04,199,40.43,664,54.84,74.74,"Sat","Weekend",0,0
334,87,"BRN","JIC","SKKP Handball Brno","HBC Ronal Jicín",25,19,2017-02-04,"2016/2017","RegularPhaseMatch",0,"Dalibor Pavlát, Ludek Tocík","Zdenek Missbach","Pavel Cejka","Aleš Babák","Petr Kyncl",14,8,3,3,129,35.61,448,52.78,76.47,129,35.19,415,50.95,77.01,"Sat","Weekend",0,0
335,88,"ZUB","HRA","HC ROBE Zubrí","Cement Hranice",33,20,2017-02-04,"2016/2017","RegularPhaseMatch",1154,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Ivo Tovaryš","Libor Hrabal","Karel Magrla",17,8,4,2,223,43.15,621,63.82,76.22,83,35.78,453,54.23,82.29,"Sat","Weekend",0,0
336,89,"KOP","KAR","Koprivnice","HCB Karviná",26,25,2017-02-04,"2016/2017","RegularPhaseMatch",0,"Marek Becicka, Tomáš Bubenícek","Ivo Vávra","Igor Fulnek","Marek Michalisko","Alexander Radcenko",12,18,3,3,131,39.71,552,50.87,64.44,143,34.97,497,55.09,78.88,"Sat","Weekend",0,0
337,90,"NOV","PLZ","Sokol Nové Veselí","M.A.T. Plzen",29,29,2017-02-05,"2016/2017","RegularPhaseMatch",350,"Jirí Králícek, Milan Letev","Pavel Hladík","Filip Vecera","Martin Šetlík","Ladislav Cech",15,12,2,3,70,38.98,508,53.13,73.78,175,44.84,644,61.59,71.42,"Sun","Weekend",0,1
338,91,"HRA","DUK","Cement Hranice","Dukla Praha",19,34,2016-12-17,"2016/2017","RegularPhaseMatch",140,"Michal Nezbeda, Václav Zelenka","Libor Hrabal","Martin Schober","Jan Josef","Jirí Kotrc",8,17,5,3,83,35.78,453,54.23,82.29,157,39.51,533,60.42,85.98,"Sat","Weekend",0,1
339,92,"LOV","KOP","HK FCC Mesto Lovosice","Koprivnice",36,23,2016-12-17,"2016/2017","RegularPhaseMatch",608,"Tomáš Kozler, Martin Zych","Milan Berka","Pavel Haken","Ivo Vávra","Igor Fulnek",19,10,3,3,199,40.43,664,54.84,74.74,131,39.71,552,50.87,64.44,"Sat","Weekend",0,0
340,93,"JIC","NOV","HBC Ronal Jicín","Sokol Nové Veselí",28,23,2016-12-17,"2016/2017","RegularPhaseMatch",550,"Milan Hájek, Karel Macho","Aleš Babák","Petr Kyncl","Pavel Hladík","Filip Vecera",16,13,0,3,129,35.19,415,50.95,77.01,70,38.98,508,53.13,73.78,"Sat","Weekend",0,0
341,94,"KAR","BRN","HCB Karviná","SKKP Handball Brno",33,26,2016-12-18,"2016/2017","RegularPhaseMatch",610,"Michal Nezbeda, Václav Zelenka","Marek Michalisko","Alexander Radcenko","Zdenek Missbach","Pavel Cejka",15,11,1,4,143,34.97,497,55.09,78.88,129,35.61,448,52.78,76.47,"Sun","Weekend",0,0
342,95,"FRM","LIT","Pepino SKP Frýdek-Místek","Tatran Litovel",24,21,2016-12-18,"2016/2017","RegularPhaseMatch",426,"Mojmír Valášek, Jaroslav Vychodil","Aleš Chrastina","Petr Mazur","Michal Hradil","Jirí Macek",12,11,5,3,48,35.98,461,53.36,72.18,129,33.08,436,53.29,67.04,"Sun","Weekend",0,0
343,96,"PLZ","ZUB","M.A.T. Plzen","HC ROBE Zubrí",30,25,2017-02-08,"2016/2017","RegularPhaseMatch",910,"Michal Hanák, Pavel Válek","Martin Šetlík","Stanislav Raizl","Andrej Titkov","Ivo Tovaryš",15,13,2,3,175,44.84,644,61.59,71.42,223,43.15,621,63.82,76.22,"Wed","WorkingDay",0,0
344,97,"DUK","PLZ","Dukla Praha","M.A.T. Plzen",32,23,2016-12-10,"2016/2017","RegularPhaseMatch",255,"Marek Becicka, Tomáš Bubenícek","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl",15,10,2,2,157,39.51,533,60.42,85.98,175,44.84,644,61.59,71.42,"Sat","Weekend",0,0
345,98,"LIT","HRA","Tatran Litovel","Cement Hranice",28,29,2016-12-10,"2016/2017","RegularPhaseMatch",238,"Michal Hanák, Luboš Pavlícek","Michal Hradil","Jirí Macek","Libor Hrabal","Martin Schober",14,13,1,1,129,33.08,436,53.29,67.04,83,35.78,453,54.23,82.29,"Sat","Weekend",0,0
346,99,"JIC","KAR","HBC Ronal Jicín","HCB Karviná",29,31,2016-12-10,"2016/2017","RegularPhaseMatch",640,"Dalibor Pavlát, Ludek Tocík","Aleš Babák","Petr Kyncl","Marek Michalisko","Alexander Radcenko",17,17,1,0,129,35.19,415,50.95,77.01,143,34.97,497,55.09,78.88,"Sat","Weekend",0,0
347,100,"KOP","FRM","Koprivnice","Pepino SKP Frýdek-Místek",25,27,2016-12-10,"2016/2017","RegularPhaseMatch",320,"Václav Horácek, Jirí Novotný","Ivo Vávra","Igor Fulnek","Aleš Chrastina","Petr Mazur",13,15,3,3,131,39.71,552,50.87,64.44,48,35.98,461,53.36,72.18,"Sat","Weekend",0,0
348,101,"BRN","LOV","SKKP Handball Brno","HK FCC Mesto Lovosice",32,29,2016-12-10,"2016/2017","RegularPhaseMatch",0,"Michal Nezbeda, Václav Zelenka","Zdenek Missbach","Pavel Cejka","Milan Berka","Pavel Haken",16,14,6,1,129,35.61,448,52.78,76.47,199,40.43,664,54.84,74.74,"Sat","Weekend",0,1
349,102,"NOV","ZUB","Sokol Nové Veselí","HC ROBE Zubrí",21,29,2016-12-10,"2016/2017","RegularPhaseMatch",500,"David Šlezingr, Jirí Špunar","Pavel Hladík","Filip Vecera","Andrej Titkov","Pavel Hrachovec",10,12,4,3,70,38.98,508,53.13,73.78,223,43.15,621,63.82,76.22,"Sat","Weekend",0,0
350,103,"LOV","JIC","HK FCC Mesto Lovosice","HBC Ronal Jicín",28,30,2016-12-03,"2016/2017","RegularPhaseMatch",675,"Milan Hájek, Karel Macho","Milan Berka","Pavel Haken","Aleš Babák","Petr Kyncl",15,17,3,4,199,40.43,664,54.84,74.74,129,35.19,415,50.95,77.01,"Sat","Weekend",0,0
351,104,"KAR","NOV","HCB Karviná","Sokol Nové Veselí",29,30,2016-12-04,"2016/2017","RegularPhaseMatch",560,"Jirí Králícek, Milan Letev","Marek Michalisko","Alexander Radcenko","Pavel Hladík","Filip Vecera",16,14,1,3,143,34.97,497,55.09,78.88,70,38.98,508,53.13,73.78,"Sun","Weekend",0,0
352,105,"HRA","KOP","Cement Hranice","Koprivnice",29,16,2016-12-04,"2016/2017","RegularPhaseMatch",275,"Dalibor Pavlát, Ludek Tocík","Libor Hrabal","Martin Schober","Ivo Vávra","Igor Fulnek",12,10,1,3,83,35.78,453,54.23,82.29,131,39.71,552,50.87,64.44,"Sun","Weekend",0,0
353,106,"PLZ","LIT","M.A.T. Plzen","Tatran Litovel",33,20,2016-12-04,"2016/2017","RegularPhaseMatch",760,"Pavel Blanar, Michael Haramul","Martin Šetlík","Stanislav Raizl","Michal Hradil","David Barabáš",18,8,2,0,175,44.84,644,61.59,71.42,129,33.08,436,53.29,67.04,"Sun","Weekend",0,0
354,107,"FRM","BRN","Pepino SKP Frýdek-Místek","SKKP Handball Brno",26,21,2016-12-04,"2016/2017","RegularPhaseMatch",460,"Martin Kosa, Pavel Švidernoch","Aleš Chrastina","Petr Mazur","Zdenek Missbach","Pavel Cejka",12,9,5,5,48,35.98,461,53.36,72.18,129,35.61,448,52.78,76.47,"Sun","Weekend",0,0
355,108,"ZUB","DUK","HC ROBE Zubrí","Dukla Praha",24,29,2016-12-04,"2016/2017","RegularPhaseMatch",1042,"Václav Horácek, Jirí Novotný","Andrej Titkov","Pavel Hrachovec","Jan Josef","Jirí Kotrc",12,13,4,2,223,43.15,621,63.82,76.22,157,39.51,533,60.42,85.98,"Sun","Weekend",0,1
356,109,"LIT","ZUB","Tatran Litovel","HC ROBE Zubrí",32,34,2016-11-26,"2016/2017","RegularPhaseMatch",368,"Martin Kosa, Pavel Švidernoch","Michal Hradil","Jirí Macek","Andrej Titkov","Pavel Hrachovec",13,15,3,4,129,33.08,436,53.29,67.04,223,43.15,621,63.82,76.22,"Sat","Weekend",0,0
357,110,"JIC","FRM","HBC Ronal Jicín","Pepino SKP Frýdek-Místek",25,24,2016-11-26,"2016/2017","RegularPhaseMatch",620,"Pavel Blanar, Michael Haramul","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur",11,12,8,2,129,35.19,415,50.95,77.01,48,35.98,461,53.36,72.18,"Sat","Weekend",0,0
358,111,"KOP","PLZ","Koprivnice","M.A.T. Plzen",26,27,2016-11-26,"2016/2017","RegularPhaseMatch",320,"Jirí Opava, Pavel Válek","Ivo Vávra","Igor Fulnek","Martin Šetlík","Stanislav Raizl",15,13,1,1,131,39.71,552,50.87,64.44,175,44.84,644,61.59,71.42,"Sat","Weekend",0,0
