"Global.Match.ID","Local.Match.ID","Home.Team.Init","Away.Team.Init","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Date","Season","Season.Phase","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals","HT.Break.Goals","HT.Goalkeepers.Perc","HT.Goalkeepers.Saves","HT.Shots.Acc.Perc","HT.7m.Shots.Acc","AT.Break.Goals","AT.Goalkeepers.Perc","AT.Goalkeepers.Saves","AT.Shots.Acc.Perc","AT.7m.Shots.Acc","Day.Name","Day.Status","Public.Holiday","CT.Broadcast"
19,19,"HRA","KOP","TJ Cement Hranice","KH Koprivnice",23,28,2018-11-03,"2018/2019","RegularPhaseMatch",274,"Lukáš Frieser, Radoslav Kavulic","Libor Hrabal","Martin Potiška","Lubomír Vermirovský","Igor Fulnek",12,15,1,0,,,,,,,,,,,"Sat","Weekend",0,0
20,20,"DUK","BRN","HC Dukla Praha","SKKP Handball Brno",34,21,2018-11-03,"2018/2019","RegularPhaseMatch",490,"Dalibor Pavlát, Ludek Tocík","Daniel Curda","Jirí Kotrc","Andrej Titkov","Vít Kucera",16,10,1,0,,,,,,,,,,,"Sat","Weekend",0,0
21,21,"LOV","FRM","HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",35,29,2018-11-03,"2018/2019","RegularPhaseMatch",477,"Michal Hanák, Luboš Pavlícek","Roman Jelínek","Pavel Haken","Lubomír Kavka","Petr Mazur",13,16,2,1,,,,,,,,,,,"Sat","Weekend",0,0
22,22,"LIT","NOV","TJ Tatran Litovel","TJ Sokol Nové Veselí",21,29,2018-11-03,"2018/2019","RegularPhaseMatch",0,"Jirí Králícek, Milan Letev","Ivo Vávra","Jirí Macek","Pavel Hladík","Stanislav Krcál",10,14,2,5,,,,,,,,,,,"Sat","Weekend",0,0
23,23,"JIC","PLZ","HBC Ronal Jicín","Talent ROBSTAV-M.A.T.Plzen",29,20,2018-11-03,"2018/2019","RegularPhaseMatch",670,"Tomáš Bubenícek, Tomáš Petruška","Aleš Babák","Petr Kyncl","Michal Tonar","Stanislav Raizl",15,10,4,4,,,,,,,,,,,"Sat","Weekend",0,0
24,24,"KAR","ZUB","HCB Karviná","HC ROBE Zubrí",30,23,2018-11-04,"2018/2019","RegularPhaseMatch",948,"Marek Becicka, Jirí Horák","Marek Michalisko","Jirí Tabara","Dušan Poloz","Zbynek Mizera",17,11,2,0,,,,,,,,,,,"Sun","Weekend",0,0
25,25,"PLZ","LOV","Talent ROBSTAV-M.A.T.Plzen","HK FCC Mesto Lovosice",32,28,2018-10-30,"2018/2019","RegularPhaseMatch",410,"Dalibor Pavlát, Ludek Tocík","Michal Tonar","Stanislav Raizl","Roman Jelínek","Pavel Haken",16,15,1,3,,,,,,,,,,,"Tue","WorkingDay",0,0
26,26,"KOP","JIC","KH Koprivnice","HBC Ronal Jicín",23,31,2018-10-31,"2018/2019","RegularPhaseMatch",420,"Michal Hanák, Luboš Pavlícek","Lubomír Vermirovský","Igor Fulnek","Aleš Babák","Petr Kyncl",10,17,1,3,,,,,,,,,,,"Wed","WorkingDay",0,0
27,27,"FRM","KAR","Pepino SKP Frýdek-Místek","HCB Karviná",10,0,2018-10-31,"2018/2019","RegularPhaseMatch",415,"Václav Horácek, Jirí Novotný","Lubomír Kavka","Petr Mazur","Marek Michalisko","Jirí Tabara",17,18,0,1,,,,,,,,,,,"Wed","WorkingDay",0,0
28,28,"NOV","HRA","TJ Sokol Nové Veselí","TJ Cement Hranice",25,26,2018-10-31,"2018/2019","RegularPhaseMatch",300,"Michael Haramul, Michal Nezbeda","Pavel Hladík","Stanislav Krcál","Libor Hrabal","Tomáš Pernicka",11,12,4,1,,,,,,,,,,,"Wed","WorkingDay",0,0
