"Global.Match.ID","Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Season.Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
454,27,"Cement Hranice","SKP Frýdek-Místek",23,19,2016-04-17,470,"Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch","2015/2016",0,14,11,5,4
455,28,"M.A.T. Plzen","HK FCC Mesto Lovosice",20,19,2016-04-17,1240,"Bohumil Bruna, Petr Halada","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","QuarterfinalsMatch","2015/2016",0,10,10,3,3
456,29,"Dukla Praha","HBC Ronal Jicín",34,24,2016-04-17,230,"Jirí Opava, Pavel Válek","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2015/2016",0,14,11,0,5
457,30,"HC Zubrí","Baník OKD Karviná",27,28,2016-04-17,1200,"Martin Kosa, Pavel Švidernoch","Andrej Titkov","Pavel Hrachovec","Radek Bartošic","Zdenek Mrózek","QuarterfinalsMatch","2015/2016",0,15,16,4,2
458,31,"HK FCC Mesto Lovosice","M.A.T. Plzen",20,28,2016-04-23,892,"Michal Hanák, Luboš Pavlícek","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","QuarterfinalsMatch","2015/2016",0,11,14,2,1
459,32,"SKP Frýdek-Místek","Cement Hranice",26,29,2016-04-23,498,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Libor Hrabal","Martin Potiška","QuarterfinalsMatch","2015/2016",0,14,16,2,1
460,33,"Baník OKD Karviná","HC Zubrí",26,21,2016-04-23,1170,"Lukáš Frieser, Radoslav Kavulic","Radek Bartošic","Petr Raszyk","Andrej Titkov","Pavel Hrachovec","QuarterfinalsMatch","2015/2016",0,19,10,1,0
461,34,"HBC Ronal Jicín","Dukla Praha",28,27,2016-04-27,690,"Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2015/2016",0,15,11,1,1
462,35,"HBC Ronal Jicín","Dukla Praha",26,28,2016-04-28,685,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2015/2016",0,12,14,2,3
463,36,"Tatran Litovel","KP Brno",32,30,2016-05-07,205,"Premysl Fukala, Radek Mohyla","Jaroslav Hudecek","Jirí Macek","David Novotný","Pavel Cejka","9till12placeMatch","2015/2016",0,14,15,6,6
464,37,"KP Brno","Tatran Litovel",27,32,2016-05-14,158,"Pavel Pluhar, Tomáš Suchánek","David Novotný","Pavel Cejka","Jaroslav Hudecek","Jirí Macek","9till12placeMatch","2015/2016",0,13,17,3,1
465,38,"Koprivnice","HC Zlín",27,25,2016-05-07,190,"Lukáš Frieser, Radoslav Kavulic","Ivo Vávra","Igor Fulnek","Milan Buday","Petr Novák","9till12placeMatch","2015/2016",0,17,13,5,1
466,39,"Koprivnice","HC Zlín",34,33,2016-05-08,240,"Michal Hanák, Luboš Pavlícek","Ivo Vávra","Igor Fulnek","Milan Buday","Petr Novák","9till12placeMatch","2015/2016",0,16,11,8,4
467,40,"HC Zlín","Koprivnice",22,25,2016-05-14,0,"Marek Becicka, Tomáš Bubenícek","Milan Buday","Petr Novák","Ivo Vávra","Igor Fulnek","9till12placeMatch","2015/2016",0,11,13,0,3
468,41,"Koprivnice","Tatran Litovel",24,26,2016-04-16,320,"Premysl Fukala, Radek Mohyla","Ivo Vávra","Igor Fulnek","Jaroslav Hudecek","Jirí Macek","9till12placeMatch","2015/2016",0,14,13,3,3
469,42,"KP Brno","HC Zlín",26,18,2016-04-16,268,"Mojmír Valášek, Jaroslav Vychodil","David Novotný","Pavel Cejka","Milan Buday","Petr Novák","9till12placeMatch","2015/2016",0,9,6,1,1
470,43,"KP Brno","HC Zlín",26,19,2016-04-17,217,"Pavel Blanar, Michael Haramul","David Novotný","Pavel Cejka","Milan Buday","Petr Novák","9till12placeMatch","2015/2016",0,14,12,4,1
471,44,"Koprivnice","Tatran Litovel",33,29,2016-04-17,450,"Michal Nezbeda, Václav Zelenka","Ivo Vávra","Igor Fulnek","Jaroslav Hudecek","Jirí Macek","9till12placeMatch","2015/2016",0,13,12,8,2
472,45,"HC Zlín","KP Brno",24,31,2016-04-23,180,"Michal Nezbeda, Václav Zelenka","Milan Buday","Petr Novák","David Novotný","Pavel Cejka","9till12placeMatch","2015/2016",0,9,12,2,1
473,46,"Tatran Litovel","Koprivnice",22,21,2016-04-23,373,"Milan Hájek, Karel Macho","Jaroslav Hudecek","Jirí Macek","Ivo Vávra","Igor Fulnek","9till12placeMatch","2015/2016",0,13,13,2,4
474,47,"Tatran Litovel","Koprivnice",35,27,2016-04-24,458,"Václav Horácek, Jirí Novotný","Jaroslav Hudecek","Jirí Macek","Ivo Vávra","Igor Fulnek","9till12placeMatch","2015/2016",0,17,17,5,4
475,48,"Dukla Praha","HK FCC Mesto Lovosice",30,14,2016-03-09,290,"Michal Nezbeda, Václav Zelenka","Jan Josef","Jirí Kotrc","Milan Berka","Pavel Haken","RegularPhaseMatch","2015/2016",0,12,6,2,1
476,49,"Cement Hranice","Baník OKD Karviná",27,22,2016-03-19,215,"Jirí Opava, Pavel Válek","Libor Hrabal","Martin Schober","Radek Bartošic","Petr Raszyk","RegularPhaseMatch","2015/2016",1,14,9,5,2
477,50,"HC Zubrí","M.A.T. Plzen",29,28,2016-03-19,1158,"Jirí Opava, Pavel Válek","Andrej Titkov","Pavel Hrachovec","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",0,20,12,5,3
478,51,"KP Brno","HC Zlín",28,22,2016-03-19,153,"Tomáš Kozler, Martin Zych","David Novotný","Pavel Cejka","Milan Buday","Petr Novák","RegularPhaseMatch","2015/2016",0,14,13,2,2
479,52,"Koprivnice","HBC Ronal Jicín",24,22,2016-03-19,215,"Marek Becicka, Tomáš Bubenícek","Ivo Vávra","Igor Fulnek","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,16,12,1,4
480,53,"SKP Frýdek-Místek","Tatran Litovel",32,26,2016-03-19,482,"Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Jaroslav Hudecek","Jirí Macek","RegularPhaseMatch","2015/2016",0,18,14,1,3
481,54,"HBC Ronal Jicín","SKP Frýdek-Místek",24,21,2016-03-12,690,"Bohumil Bruna, Petr Halada","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,11,12,1,1
482,55,"HC Zubrí","HC Zlín",40,20,2016-03-12,836,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Pavel Hrachovec","Milan Buday","Petr Novák","RegularPhaseMatch","2015/2016",0,20,10,3,1
483,56,"Baník OKD Karviná","Koprivnice",35,24,2016-03-12,699,"Martin Kosa, Pavel Švidernoch","Radek Bartošic","Petr Raszyk","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,18,11,7,3
484,57,"HK FCC Mesto Lovosice","Cement Hranice",30,27,2016-03-12,405,"Milan Hájek, Karel Macho","Milan Berka","Pavel Haken","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,13,12,5,0
485,58,"Tatran Litovel","KP Brno",28,28,2016-03-12,412,"Michal Hanák, Luboš Pavlícek","Jaroslav Hudecek","Jirí Macek","David Novotný","Pavel Cejka","RegularPhaseMatch","2015/2016",0,13,14,5,2
486,59,"M.A.T. Plzen","Dukla Praha",34,26,2016-03-13,1440,"Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",1,17,18,4,3
487,60,"Dukla Praha","HC Zlín",26,21,2016-03-05,125,"Miloš Fogl, Ludek Tocík","Jan Josef","Jirí Kotrc","Milan Buday","Petr Novák","RegularPhaseMatch","2015/2016",0,15,9,2,4
488,61,"KP Brno","HBC Ronal Jicín",21,23,2016-03-05,220,"Jirí Novotný, Radoslav Kavulic","David Novotný","Pavel Cejka","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,11,11,1,0
489,62,"HC Zubrí","Tatran Litovel",31,22,2016-03-05,874,"Martin Kosa, Pavel Švidernoch","Andrej Titkov","Pavel Hrachovec","Jaroslav Hudecek","David Barabáš","RegularPhaseMatch","2015/2016",0,19,12,5,1
490,63,"Baník OKD Karviná","HK FCC Mesto Lovosice",26,23,2016-03-06,610,"Jirí Opava, Pavel Válek","Radek Bartošic","Petr Raszyk","Milan Berka","Pavel Haken","RegularPhaseMatch","2015/2016",0,10,11,3,1
491,64,"Cement Hranice","M.A.T. Plzen",26,25,2016-03-06,320,"Václav Horácek, Jirí Novotný","Libor Hrabal","Martin Schober","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",0,13,12,5,4
492,65,"Koprivnice","SKP Frýdek-Místek",31,32,2016-03-06,340,"Premysl Fukala, Radek Mohyla","Ivo Vávra","Igor Fulnek","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,14,18,0,1
493,66,"HK FCC Mesto Lovosice","Koprivnice",37,27,2016-02-27,486,"Pavel Blanar, Michael Haramul","Milan Berka","Pavel Haken","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,20,14,3,1
494,67,"Tatran Litovel","Dukla Praha",24,26,2016-02-27,324,"Marek Becicka, Tomáš Bubenícek","Jaroslav Hudecek","Jirí Macek","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",0,9,16,5,0
495,68,"HBC Ronal Jicín","HC Zubrí",24,30,2016-02-27,680,"Michal Hanák, Luboš Pavlícek","Aleš Babák","Petr Kyncl","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,11,17,4,1
496,69,"M.A.T. Plzen","Baník OKD Karviná",30,22,2016-02-28,1120,"Tomáš Kozler, Martin Zych","Martin Šetlík","Stanislav Raizl","Radek Bartošic","Petr Raszyk","RegularPhaseMatch","2015/2016",0,16,15,1,3
497,70,"HC Zlín","Cement Hranice",17,29,2016-02-28,230,"Michal Nezbeda, Václav Zelenka","Jirí Micola","Petr Novák","Libor Hrabal","Martin Stržínek","RegularPhaseMatch","2015/2016",0,6,14,4,1
498,71,"KP Brno","SKP Frýdek-Místek",27,33,2016-02-28,341,"Bohumil Bruna, Petr Halada","David Novotný","Pavel Cejka","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,13,14,2,0
499,72,"Dukla Praha","HBC Ronal Jicín",28,22,2016-02-17,138,"Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,17,12,2,5
500,73,"HC Zubrí","SKP Frýdek-Místek",28,19,2016-02-20,920,"Jirí Opava, Pavel Válek","Andrej Titkov","Pavel Hrachovec","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,13,10,1,5
501,74,"Baník OKD Karviná","HC Zlín",31,15,2016-02-21,570,"Premysl Fukala, Radek Mohyla","Radek Bartošic","Roman Farár","Jirí Micola","Petr Novák","RegularPhaseMatch","2015/2016",0,16,4,3,1
502,75,"HK FCC Mesto Lovosice","M.A.T. Plzen",24,27,2016-02-21,536,"Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",1,9,15,7,0
503,76,"Cement Hranice","Tatran Litovel",23,19,2016-02-21,315,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Jaroslav Hudecek","Jirí Macek","RegularPhaseMatch","2015/2016",0,11,8,2,2
504,77,"Koprivnice","KP Brno",25,27,2016-02-21,320,"Martin Kosa, Pavel Švidernoch","Ivo Vávra","Igor Fulnek","David Novotný","Pavel Cejka","RegularPhaseMatch","2015/2016",0,13,16,3,3
505,78,"SKP Frýdek-Místek","Dukla Praha",24,27,2016-02-03,463,"Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",0,13,15,3,3
506,79,"M.A.T. Plzen","Koprivnice",27,17,2016-02-10,714,"Bohumil Bruna, Petr Halada","Martin Šetlík","Stanislav Raizl","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,16,10,1,2
507,80,"KP Brno","HC Zubrí",26,36,2016-02-13,410,"Michal Nezbeda, Václav Zelenka","David Novotný","Pavel Cejka","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,11,16,5,2
508,81,"Tatran Litovel","Baník OKD Karviná",21,26,2016-02-13,253,"Jirí Králícek, Milan Letev","Lubomír Krejcír","Jirí Macek","Radek Bartošic","Roman Farár","RegularPhaseMatch","2015/2016",0,4,13,4,5
509,82,"HBC Ronal Jicín","Cement Hranice",27,24,2016-02-13,590,"Marek Becicka, Tomáš Bubenícek","Aleš Babák","Petr Kyncl","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,17,15,4,2
510,83,"HC Zlín","HK FCC Mesto Lovosice",26,29,2016-02-14,130,"Pavel Pluhar, Tomáš Suchánek","Jirí Micola","Petr Novák","Vladimír Šuma","Pavel Haken","RegularPhaseMatch","2015/2016",0,11,17,2,4
511,84,"Dukla Praha","KP Brno",33,29,2016-02-06,175,"Miloš Fogl, Ludek Tocík","Jan Josef","Jirí Kotrc","David Novotný","Lukáš Weintritt","RegularPhaseMatch","2015/2016",0,20,12,3,0
512,85,"HK FCC Mesto Lovosice","Tatran Litovel",30,24,2016-02-06,421,"Michal Nezbeda, Václav Zelenka","Vladimír Šuma","Pavel Haken","Lubomír Krejcír","Jirí Macek","RegularPhaseMatch","2015/2016",0,18,14,4,3
513,86,"Baník OKD Karviná","HBC Ronal Jicín",28,17,2016-02-07,625,"Marek Becicka, Tomáš Bubenícek","Radek Bartošic","Roman Farár","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,13,8,3,1
514,87,"Cement Hranice","SKP Frýdek-Místek",32,28,2016-02-07,295,"Lukáš Frieser, Radoslav Kavulic","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,14,15,4,5
515,88,"M.A.T. Plzen","HC Zlín",39,22,2016-02-07,896,"Pavel Blanar, Michael Haramul","Martin Šetlík","Stanislav Raizl","Jirí Micola","Petr Novák","RegularPhaseMatch","2015/2016",0,20,10,1,3
516,89,"Koprivnice","HC Zubrí",26,26,2016-02-07,340,"Milan Hájek, Karel Macho","Ivo Vávra","Igor Fulnek","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,16,13,5,2
517,90,"KP Brno","Cement Hranice",30,38,2015-12-19,186,"Lukáš Frieser, Radoslav Kavulic","David Novotný","Tomáš Petr","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,15,21,5,3
518,91,"Tatran Litovel","M.A.T. Plzen",24,37,2015-12-19,345,"Jirí Králícek, Jirí Novotný","Lubomír Krejcír","Jirí Macek","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",0,13,19,8,1
519,92,"HBC Ronal Jicín","HK FCC Mesto Lovosice",25,21,2015-12-19,665,"Michal Hanák, Luboš Pavlícek","Aleš Babák","Petr Kyncl","Vladimír Šuma","Pavel Haken","RegularPhaseMatch","2015/2016",0,13,7,1,3
520,93,"HC Zubrí","Dukla Praha",33,32,2015-12-20,0,"Milan Hájek, Karel Macho","Andrej Titkov","Pavel Hrachovec","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",1,17,19,4,3
521,94,"HC Zlín","Koprivnice",33,21,2015-12-20,385,"Michal Nezbeda, Václav Zelenka","Jirí Micola","Petr Novák","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,17,9,3,4
522,95,"SKP Frýdek-Místek","Baník OKD Karviná",36,33,2015-12-20,516,"Premysl Fukala, Radek Mohyla","Aleš Chrastina","Petr Mazur","Radek Bartošic","Roman Farár","RegularPhaseMatch","2015/2016",0,18,17,2,2
523,96,"HC Zlín","Tatran Litovel",23,22,2015-12-12,153,"Jirí Novotný, Michal Hanák","Jirí Micola","Petr Novák","Lubomír Krejcír","Jirí Macek","RegularPhaseMatch","2015/2016",0,12,12,2,7
524,97,"HK FCC Mesto Lovosice","SKP Frýdek-Místek",25,22,2015-12-13,455,"Jirí Opava, Pavel Válek","Vladimír Šuma","Pavel Haken","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",1,15,10,2,6
525,98,"Baník OKD Karviná","KP Brno",30,21,2015-12-13,603,"Milan Hájek, Karel Macho","Radek Bartošic","Roman Farár","David Novotný","Pavel Cejka","RegularPhaseMatch","2015/2016",0,20,8,2,1
526,99,"Cement Hranice","HC Zubrí",27,20,2015-12-13,460,"Michal Hanák, Luboš Pavlícek","Libor Hrabal","Martin Schober","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,15,9,1,1
527,100,"M.A.T. Plzen","HBC Ronal Jicín",32,19,2015-12-13,736,"Tomáš Kozler, Martin Zych","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,16,10,2,1
528,101,"Koprivnice","Dukla Praha",26,33,2015-12-13,362,"Bohumil Bruna, Petr Halada","Ivo Vávra","Igor Fulnek","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",0,14,17,2,1
529,102,"Dukla Praha","Cement Hranice",36,29,2015-12-05,265,"Lukáš Frieser, Radoslav Kavulic","Jan Josef","Jirí Kotrc","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,21,13,3,4
530,103,"KP Brno","HK FCC Mesto Lovosice",33,27,2015-12-05,293,"Tomáš Kozler, Martin Zych","David Novotný","Pavel Cejka","Vladimír Šuma","Pavel Haken","RegularPhaseMatch","2015/2016",0,19,14,2,1
531,104,"Tatran Litovel","Koprivnice",29,29,2015-12-05,415,"Martin Kosa, Pavel Švidernoch","Lubomír Krejcír","Jirí Macek","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,18,12,5,5
532,105,"HBC Ronal Jicín","HC Zlín",30,15,2015-12-05,0,"Bohumil Bruna, Petr Halada","Aleš Babák","Petr Kyncl","Jirí Micola","Petr Novák","RegularPhaseMatch","2015/2016",0,14,5,3,1
533,106,"HC Zubrí","Baník OKD Karviná",27,28,2015-12-05,1050,"Michal Nezbeda, Václav Zelenka","Andrej Titkov","Pavel Hrachovec","Radek Bartošic","Roman Farár","RegularPhaseMatch","2015/2016",0,14,13,4,0
534,107,"SKP Frýdek-Místek","M.A.T. Plzen",26,32,2015-12-06,503,"Milan Letev, Jirí Novotný","Aleš Chrastina","Petr Mazur","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",0,11,16,5,3
535,108,"M.A.T. Plzen","KP Brno",38,26,2015-11-25,424,"Dalibor Pavlát, Ludek Tocík","Martin Šetlík","Stanislav Raizl",,"Pavel Cejka","RegularPhaseMatch","2015/2016",0,20,10,4,4
536,109,"HK FCC Mesto Lovosice","HC Zubrí",24,26,2015-11-28,510,"Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,10,11,0,2
537,110,"Tatran Litovel","HBC Ronal Jicín",24,20,2015-11-28,214,"Milan Hájek, Karel Macho","Lubomír Krejcír","Jirí Macek","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,15,11,3,4
538,111,"Baník OKD Karviná","Dukla Praha",21,24,2015-11-29,586,"Jirí Opava, Pavel Válek","Radek Bartošic","Roman Farár","Jan Josef","Tomáš Petržala","RegularPhaseMatch","2015/2016",1,13,11,4,2
539,112,"HC Zlín","SKP Frýdek-Místek",24,28,2015-11-29,82,"Dalibor Pavlát, Ludek Tocík","Jirí Micola","Petr Novák","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,10,13,5,3
540,113,"Koprivnice","Cement Hranice",28,27,2015-11-29,0,"Tomáš Kozler, Martin Zych","Ivo Vávra","Igor Fulnek","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,11,15,5,3
541,114,"M.A.T. Plzen","HC Zubrí",25,28,2015-11-17,996,"Marek Becicka, Tomáš Bubenícek","Martin Šetlík","Stanislav Raizl","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,19,13,4,3
542,115,"Tatran Litovel","SKP Frýdek-Místek",23,32,2015-11-21,201,"Premysl Fukala, Radek Mohyla","Lubomír Krejcír","Jirí Macek","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2015/2016",0,9,13,3,0
543,116,"HBC Ronal Jicín","Koprivnice",28,17,2015-11-21,620,"Pavel Blanar, Michael Haramul","Aleš Babák","Petr Kyncl","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,13,8,1,2
544,117,"Baník OKD Karviná","Cement Hranice",28,31,2015-11-22,528,"Václav Horácek, Jirí Novotný","Radek Bartošic","Roman Farár","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",1,11,17,5,4
545,118,"HC Zlín","KP Brno",28,35,2015-11-22,250,"Michal Nezbeda, Václav Zelenka","Jirí Micola","Petr Novák","David Novotný","Pavel Cejka","RegularPhaseMatch","2015/2016",0,12,16,0,4
546,119,"HK FCC Mesto Lovosice","Dukla Praha",30,26,2015-12-09,510,"Milan Hájek, Karel Macho","Vladimír Šuma","Pavel Haken","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",0,17,14,1,2
547,120,"HC Zlín","HC Zubrí",31,42,2015-11-11,130,"Premysl Fukala, Radek Mohyla","Jirí Micola","Petr Novák","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,12,24,3,1
548,121,"Cement Hranice","HK FCC Mesto Lovosice",24,21,2015-11-14,180,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Vladimír Šuma","Pavel Haken","RegularPhaseMatch","2015/2016",1,14,10,4,3
549,122,"Dukla Praha","M.A.T. Plzen",22,22,2015-11-14,310,"Marek Becicka, Tomáš Bubenícek","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",0,10,10,2,2
550,123,"KP Brno","Tatran Litovel",24,24,2015-11-14,280,"Pavel Blanar, Michael Haramul","David Novotný","Pavel Cejka","Lubomír Krejcír","Jirí Macek","RegularPhaseMatch","2015/2016",0,12,13,2,2
551,124,"Koprivnice","Baník OKD Karviná",29,29,2015-11-15,250,"Marek Becicka, Tomáš Bubenícek","Ivo Vávra","Igor Fulnek","Radek Bartošic","Roman Farár","RegularPhaseMatch","2015/2016",0,14,14,6,4
552,125,"SKP Frýdek-Místek","HBC Ronal Jicín",20,20,2015-11-15,464,"Michal Nezbeda, Václav Zelenka","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,10,12,7,4
553,126,"HK FCC Mesto Lovosice","Baník OKD Karviná",25,20,2015-10-28,536,"Milan Hájek, Karel Macho","Vladimír Šuma","Pavel Haken","Radek Bartošic","Roman Farár","RegularPhaseMatch","2015/2016",0,12,12,2,2
554,127,"HC Zlín","Dukla Praha",23,32,2015-10-28,162,"Michal Hanák, Luboš Pavlícek","Jirí Micola","Petr Novák","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",0,10,17,2,4
555,128,"M.A.T. Plzen","Cement Hranice",31,23,2015-10-28,925,"Tomáš Kozler, Martin Zych","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,19,11,6,5
556,129,"HBC Ronal Jicín","KP Brno",33,21,2015-10-28,727,"Dalibor Pavlát, Ludek Tocík","Aleš Babák","Petr Kyncl","David Novotný","Pavel Cejka","RegularPhaseMatch","2015/2016",0,15,12,0,2
557,130,"Tatran Litovel","HC Zubrí",24,31,2015-10-28,365,"Václav Horácek, Jirí Novotný","Lubomír Krejcír","Jirí Macek","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,13,12,1,5
558,131,"SKP Frýdek-Místek","Koprivnice",29,26,2015-10-29,497,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,16,10,6,3
559,132,"SKP Frýdek-Místek","KP Brno",27,22,2015-10-23,474,"Premysl Fukala, Radek Mohyla","Aleš Chrastina","Petr Mazur","David Novotný","Pavel Marecek","RegularPhaseMatch","2015/2016",0,17,12,2,4
560,133,"Baník OKD Karviná","M.A.T. Plzen",27,26,2015-10-24,552,"Václav Horácek, Jirí Novotný","Radek Bartošic","Roman Farár","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2015/2016",1,16,14,3,2
561,134,"Dukla Praha","Tatran Litovel",33,22,2015-10-24,158,"Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Lubomír Krejcír","Jirí Macek","RegularPhaseMatch","2015/2016",0,12,13,1,3
562,135,"HC Zubrí","HBC Ronal Jicín",31,30,2015-10-24,950,"Milan Hájek, Karel Macho","Andrej Titkov","Pavel Hrachovec","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2015/2016",0,17,9,0,4
563,136,"Cement Hranice","HC Zlín",29,24,2015-10-25,290,"Marek Becicka, Tomáš Bubenícek","Libor Hrabal","Martin Schober","Jirí Micola","Petr Novák","RegularPhaseMatch","2015/2016",0,15,14,3,2
564,137,"Koprivnice","HK FCC Mesto Lovosice",28,26,2015-10-25,250,"Michal Nezbeda, Václav Zelenka","Ivo Vávra","Igor Fulnek","Vladimír Šuma","Pavel Haken","RegularPhaseMatch","2015/2016",0,11,12,2,0
565,138,"M.A.T. Plzen","HK FCC Mesto Lovosice",36,28,2015-10-14,586,"Dalibor Pavlát, Ludek Tocík","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","RegularPhaseMatch","2015/2016",0,16,14,2,1
566,139,"KP Brno","Koprivnice",28,23,2015-10-17,525,"Michal Hanák, Luboš Pavlícek","David Novotný","Tomáš Petr","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2015/2016",0,16,14,0,1
567,140,"Tatran Litovel","Cement Hranice",23,34,2015-10-17,400,"Michal Nezbeda, Václav Zelenka","Lubomír Krejcír","Jirí Macek","Libor Hrabal","Martin Schober","RegularPhaseMatch","2015/2016",0,9,16,2,2
568,141,"HBC Ronal Jicín","Dukla Praha",21,27,2015-10-18,720,"Bohumil Bruna, Petr Halada","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2015/2016",1,12,12,2,5
569,142,"HC Zlín","Baník OKD Karviná",18,27,2015-10-18,220,"Tomáš Kozler, Martin Zych","Jirí Micola","Petr Novák",,"Roman Farár","RegularPhaseMatch","2015/2016",0,11,17,1,3
570,143,"SKP Frýdek-Místek","HC Zubrí",24,34,2015-10-18,499,"Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Andrej Titkov","Pavel Hrachovec","RegularPhaseMatch","2015/2016",0,9,15,1,1
