Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,225,38.03,537,56.21,70.08
KAR,133,42.42,613,55.44,72.64
DUK,192,43.35,597,54.02,69.56
HRA,95,47.17,735,61.06,87.77
LOV,114,42.17,585,54.04,69.81
JIC,118,40.34,512,50.62,77.39
PLZ,115,43.57,532,55.35,68.53
FRM,97,41.47,608,50.26,74.4
BRN,122,44.4,651,53.41,83.48
KOP,164,40.92,683,51.37,72.56
PRE,144,36.56,570,54.51,75.42
ZLN,115,37.47,516,49.78,62.36
