Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,223,43.15,621,63.82,76.22
KAR,143,34.97,497,55.09,78.88
DUK,157,39.51,533,60.42,85.98
HRA,83,35.78,453,54.23,82.29
LOV,199,40.43,664,54.84,74.74
JIC,129,35.19,415,50.95,77.01
PLZ,175,44.84,644,61.59,71.42
FRM,48,35.98,461,53.36,72.18
BRN,129,35.61,448,52.78,76.47
LIT,129,33.08,436,53.29,67.04
KOP,131,39.71,552,50.87,64.44
NOV,70,38.98,508,53.13,73.78
