Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,321,49.79,742,57.21,75.99
KAR,150,47.08,768,59.53,73.39
DUK,208,45.04,627,57.35,73.26
HRA,135,42.72,602,50.93,74.31
LOV,151,44.75,640,53.59,68.99
JIC,191,39.15,529,53.39,74.75
PLZ,100,40.41,508,54.48,71.42
FRM,173,38.82,589,53.4,67.36
TRE,63,35.65,502,42.24,68.08
BRN,13,45,752,48.68,71.62
KOP,69,38.75,617,48.23,68.61
PRE,92,35,529,53.49,72.35
