Team,Break.Goals,Goalkeepers.Perc,Goalkeepers.Saves,Shots.Acc.Perc,7m.Shots.Acc
ZUB,198,39.96,516,59.55,73
KAR,118,38.01,514,52.63,70.28
DUK,62,49.46,781,78.89,89.87
HRA,96,41.83,594,55.26,83.83
LOV,109,40.39,513,50.51,75.72
JIC,128,35.62,414,51.04,77.38
PLZ,143,42.76,547,60.19,75.23
FRM,76,41.64,548,50.49,75.23
BRN,134,42.4,561,50.17,79.38
LIT,98,35.67,431,52.87,80.73
KOP,89,40.66,579,51.32,72.79
ZLN,76,31.85,382,49.72,69.13
