"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Zubrí","Karviná",26,23,"25.4.2010","12 : 14","1500","4 : 2","Václav Horácek, Jirí Novotný","Jirí Kekrt","Jirí Mika","Jozef Hanták","Roman Požárek","FinalsMatch"
"Karviná","Zubrí",28,26,"29.4.2010","10 : 12","1512","4 : 3","Pavel Válek, Jirí Opava","Jozef Hanták","Roman Požárek","Jirí Kekrt","Jirí Mika","FinalsMatch"
"Zubrí","Karviná",23,24,"2.5.2010","12 : 12","1800","2 : 2","Petr Novák, Václav Kohout","Jirí Kekrt","Jirí Mika","Jozef Hanták","Roman Požárek","FinalsMatch"
"Karviná","Zubrí",32,26,"5.5.2010","18 : 12","2510","4 : 2","Jirí Novotný, Václav Horácek","Jozef Hanták","Roman Požárek","Jirí Kekrt","Jirí Mika","FinalsMatch"
"Dukla","Hranice",36,21,"24.4.2010","19 : 9","132","1 : 3","Radoslav Kavulic, Libor Skružný","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","3rdPlaceMatch"
"Hranice","Dukla",29,25,"28.4.2010","16 : 9","400","4 : 6","Václav Horácek, Jirí Novotný","Jan Hegar","Bretislav Žoch","Pavel Pauza","Jan Krouský","3rdPlaceMatch"
"Dukla","Hranice",31,24,"2.5.2010","16 : 12","125","1 : 3","Pavel Nesvadba, Vangelis Simu","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","3rdPlaceMatch"
"Hranice","Dukla",32,29,"5.5.2010","13 : 16","500","2 : 1","Marek Becicka, Jirí Horák","Jan Hegar","Bretislav Žoch","Pavel Pauza","Jan Krouský","3rdPlaceMatch"
"Dukla","Hranice",33,32,"9.5.2010","17 : 15","215","4 : 2","Václav Kohout, Petr Novák","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","3rdPlaceMatch"
"Dukla","Karviná",26,29,"27.3.2010","12 : 15","445","1 : 2","Karel Macho, Milan Hájek","Pavel Pauza","Jirí Kotrc","Jozef Hanták","Martin Kostelník","SemifinalsMatch"
"Zubrí","Hranice",34,27,"28.3.2010","18 : 14","1020","6 : 5","Marek Becicka, Jirí Horák","Jirí Kekrt","Jirí Mika","Jan Hegar","Bretislav Žoch","SemifinalsMatch"
"Karviná","Dukla",32,23,"31.3.2010","16 : 14","1183","2 : 0","Jirí Novotný, Václav Horácek","Jozef Hanták","Roman Požárek","Pavel Pauza","Jan Krouský","SemifinalsMatch"
"Hranice","Zubrí",28,32,"31.3.2010","15 : 15","800","2 : 2","Pavel Nesvadba, Vangelis Simu","Jan Hegar","Bretislav Žoch","Jirí Kekrt","Jirí Mika","SemifinalsMatch"
"Zubrí","Hranice",35,34,"3.4.2010","13 : 16","1050","6 : 3","Jirí Opava, Pavel Válek","Jirí Kekrt","Jirí Mika","Jan Hegar","Bretislav Žoch","SemifinalsMatch"
"Dukla","Karviná",28,22,"5.4.2010","12 : 12","350","2 : 0","Václav Kohout, Petr Novák","Pavel Pauza","Jirí Kotrc","Jozef Hanták","Roman Požárek","SemifinalsMatch"
"Karviná","Dukla",34,27,"8.4.2010","17 : 12","1211","2 : 3","Pavel Nesvadba, Vangelis Simu","Jozef Hanták","Roman Požárek","Pavel Pauza","Jirí Kotrc","SemifinalsMatch"
"Koprivnice","Jicín",24,21,"21.4.2010","12 : 8","300","4 : 9","Marek Becicka, Jirí Horák","Miroslav Barton","Ivo Vávra","Petr Babák","Vladimír Bohácek","5till8placeMatch"
"Lovosice","Plzen",37,30,"23.4.2010","14 : 15","300","3 : 5","Dalibor Pavlát, Petr Pešek","Vojtech Srba","Stanislav Dorn","Vladimír Haber","Stanislav Raizl","5till8placeMatch"
"Plzen","Lovosice",30,34,"28.4.2010","12 : 15","290","2 : 1","Radoslav Kavulic, Libor Skružný","Vladimír Haber","Stanislav Raizl","Vojtech Srba","Stanislav Dorn","5till8placeMatch"
"Jicín","Koprivnice",32,23,"28.4.2010","13 : 11","430","3 : 3","Dalibor Pavlát, Petr Pešek","Petr Babák","Vladimír Bohácek","Miroslav Barton","Ivo Vávra","5till8placeMatch"
"Jicín","Lovosice",21,24,"31.3.2010","12 : 11","350","1 : 2","Tomáš Bubenícek, Roman Smékal","Petr Babák","Vladimír Bohácek","Vojtech Srba","Stanislav Dorn","5till8placeMatch"
"Koprivnice","Plzen",31,29,"31.3.2010","16 : 13","200","4 : 1","Petr Halada, Martin Zych","Miroslav Barton","Ivo Vávra","Vladimír Haber","Zuzana Strýcová","5till8placeMatch"
"Lovosice","Jicín",30,25,"9.4.2010","15 : 12","354","4 : 6","Lubomír Kohout, Vladimír Vaník","Vojtech Srba","Stanislav Dorn","Petr Babák","Vladimír Bohácek","5till8placeMatch"
"Plzen","Koprivnice",26,23,"10.4.2010","13 : 12","400","3 : 4","Martin Prucha, Jirí Vetrovský","Vladimír Haber","Martin Šetlík","Miroslav Barton","Ivo Vávra","5till8placeMatch"
"Dukla","Koprivnice",32,21,"13.3.2010","13 : 8","170","2 : 2","Petr Pešek, Dalibor Pavlát","Pavel Pauza","Jan Krouský","Miroslav Barton","Ivo Vávra","QuarterfinalsMatch"
"Zubrí","Jicín",25,22,"13.3.2010","12 : 7","892","6 : 4","Jirí Opava, Pavel Válek","Jirí Kekrt","Jirí Mika","Petr Babák","Vladimír Bohácek","QuarterfinalsMatch"
"Hranice","Lovosice",29,25,"14.3.2010","13 : 12","400","1 : 5","Petr Novák, Václav Kohout","Jan Hegar","Bretislav Žoch","Vojtech Srba","Stanislav Dorn","QuarterfinalsMatch"
"Karviná","Plzen",30,26,"14.3.2010","13 : 11","805","3 : 3","Václav Horácek, Jirí Novotný","Jozef Hanták","Martin Kostelník","Vladimír Haber","Tomáš Bokr","QuarterfinalsMatch"
"Plzen","Karviná",26,29,"17.3.2010","11 : 13","1200","1 : 3","Radoslav Kavulic, Libor Skružný","Vladimír Haber","Tomáš Bokr","Jozef Hanták","Martin Kostelník","QuarterfinalsMatch"
"Lovosice","Hranice",34,36,"17.3.2010","16 : 15","660","1 : 2","Milan Hájek, Karel Macho","Vojtech Srba","Stanislav Dorn","Jan Hegar","Bretislav Žoch","QuarterfinalsMatch"
"Koprivnice","Dukla",26,35,"17.3.2010","13 : 18","300","0 : 2","Václav Horácek, Jirí Novotný","Miroslav Barton","Jirí Gres","Pavel Pauza","Jan Krouský","QuarterfinalsMatch"
"Jicín","Zubrí",29,33,"17.3.2010","11 : 10","650","3 : 3","Vladimír Vaník, Lubomír Kohout","Petr Babák","Vladimír Bohácek","Jirí Kekrt","Jirí Mika","QuarterfinalsMatch"
"Dvur Králové","Prerov",26,32,"8.5.2010","16 : 16","150","1 : 3","Martin Prucha, Jirí Vetrovský","Petr Šulc","Martin Labský","Miroslav Frank","Michal Kavka","9till12placeMatch"
"Trebon","Frýdek-Místek",28,27,"8.5.2010","16 : 13","200","2 : 4","Petr Halada, Martin Zych","Jan Pavlovský","Helena Bednárová","Václav Straka","Lubomír Kavka","9till12placeMatch"
"Prerov","Trebon",34,27,"1.5.2010","14 : 11","112","3 : 2","Radoslav Kavulic, Libor Skružný","Miroslav Frank","Michal Kavka","Jan Pavlovský","Zdenek Kubík","9till12placeMatch"
"Frýdek-Místek","Dvur Králové",34,27,"2.5.2010","16 : 12","308","5 : 2","Milan Hájek, Karel Macho","Václav Straka","Bretislav Šoltys","Petr Šulc","Martin Labský","9till12placeMatch"
"Dvur Králové","Trebon",20,26,"24.4.2010","10 : 10","250","2 : 2","Roman Bauer, Marek Tvrdon","Petr Šulc","Martin Labský","Jan Pavlovský","Zdenek Kubík","9till12placeMatch"
"Frýdek-Místek","Prerov",27,32,"25.4.2010","11 : 14","365","4 : 3","Roman Smékal, Tomáš Bubenícek","Václav Straka","Bretislav Šoltys","Miroslav Frank","Michal Kavka","9till12placeMatch"
"Frýdek-Místek","Trebon",29,27,"11.4.2010","13 : 15","385","4 : 2","Marek Becicka, Jirí Horák","Lubomír Kavka","Bretislav Šoltys","Jan Pavlovský","Vladislav Jordák","9till12placeMatch"
"Prerov","Dvur Králové",31,23,"11.4.2010","11 : 8","213","0 : 4","Dalibor Pavlát, Petr Pešek","Miroslav Frank","Michal Kavka","Petr Šulc","Martin Labský","9till12placeMatch"
"Dvur Králové","Frýdek-Místek",33,28,"3.4.2010","14 : 11","240","3 : 3","Václav Horácek, Jirí Novotný","Petr Šulc","Martin Labský","","Bretislav Šoltys","9till12placeMatch"
"Trebon","Prerov",22,28,"3.4.2010","13 : 15","250","1 : 0","Karel Macho, Milan Hájek","Jan Pavlovský","Vladislav Jordák","Miroslav Frank","Michal Kavka","9till12placeMatch"
"Trebon","Dvur Králové",29,22,"27.3.2010","15 : 8","250","3 : 3","Petr Novák, Václav Kohout","Jan Pavlovský","Karel Petržala","Petr Šulc","Martin Labský","9till12placeMatch"
"Prerov","Frýdek-Místek",29,28,"28.3.2010","18 : 14","231","5 : 4","Jirí Opava, Pavel Válek","Miroslav Frank","Michal Kavka","Lubomír Kavka","Petr Mazur","9till12placeMatch"
"Trebon","Zubrí",21,34,"5.3.2010","9 : 14","300","5 : 1","Milan Hájek, Karel Macho","Jan Pavlovský","Karel Petržala","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Dukla","Dvur Králové",41,21,"6.3.2010","23 : 7","185","6 : 2","Dalibor Pavlát, Petr Pešek","Pavel Pauza","Jirí Kotrc","Petr Šulc","Martin Labský","RegularPhaseMatch"
"Hranice","Plzen",35,30,"6.3.2010","16 : 14","400","3 : 1","Jirí Opava, Pavel Válek","Jan Hegar","Bretislav Žoch","Vladimír Haber","Stanislav Raizl","RegularPhaseMatch"
"Karviná","Frýdek-Místek",47,27,"7.3.2010","23 : 12","684","3 : 3","Vangelis Simu, Pavel Nesvadba","Jozef Hanták","Martin Kostelník","Lubomír Kavka","Bretislav Šoltys","RegularPhaseMatch"
"Lovosice","Koprivnice",29,28,"7.3.2010","15 : 13","350","5 : 2","Václav Horácek, Jirí Novotný","Vojtech Srba","Stanislav Dorn","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Prerov","Jicín",31,26,"7.3.2010","13 : 9","282","3 : 5","Václav Kohout, Petr Novák","Miroslav Frank","Michal Kavka","Petr Babák","Vladimír Bohácek","RegularPhaseMatch"
"Dvur Králové","Zubrí",25,30,"27.2.2010","13 : 14","540","2 : 3","Lubomír Kohout, Vladimír Vaník","Petr Šulc","Martin Labský","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Trebon","Karviná",19,32,"27.2.2010","10 : 14","550","1 : 1","Petr Novák, Václav Kohout","Jan Pavlovský","Zdenek Kubík","Jozef Hanták","Martin Kostelník","RegularPhaseMatch"
"Jicín","Hranice",17,30,"27.2.2010","7 : 14","420","2 : 1","Pavel Nesvadba, Vangelis Simu","Petr Babák","Vladimír Bohácek","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Koprivnice","Dukla",25,25,"27.2.2010","10 : 8","0","5 : 2","Jakub Smékal, Tomáš Bubenícek","Miroslav Barton","Ivo Vávra","Pavel Pauza","Jirí Kotrc","RegularPhaseMatch"
"Plzen","Lovosice",23,21,"27.2.2010","11 : 9","850","1 : 1","Radoslav Kavulic, Libor Skružný","Vladimír Haber","Martin Šetlík","Vojtech Srba","Stanislav Dorn","RegularPhaseMatch"
"Frýdek-Místek","Prerov",29,28,"28.2.2010","16 : 17","360","2 : 3","Petr Halada, Martin Zych","Lubomír Kavka","Bretislav Šoltys","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Karviná","Dvur Králové",35,20,"29.8.2009","17 : 8","0","5 : 3","Marek Becicka, Jirí Horák","Jozef Hanták","Roman Farár","Petr Šulc","Martin Labský","RegularPhaseMatch"
"Frýdek-Místek","Trebon",33,28,"16.9.2009","18 : 15","385","1 : 2","Jirí Horák, Marek Becicka","Martin Strnadel","Petr Mazur","Jan Pavlovský","Karel Petržala","RegularPhaseMatch"
"Dukla","Plzen",32,20,"16.9.2009","16 : 9","0","2 : 5","Tomáš Bubenícek, Roman Smékal","Pavel Pauza","Jirí Kotrc","Vladimír Haber","Vladimír Eberle","RegularPhaseMatch"
"Zubrí","Koprivnice",41,24,"16.9.2009","21 : 9","500","2 : 3","Dalibor Pavlát, Petr Pešek","Jirí Kekrt","Jirí Mika","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Lovosice","Jicín",24,24,"16.9.2009","12 : 10","0","5 : 2","Radoslav Kavulic, Libor Skružný","Petr Babák","Stanislav Dorn","","Vladimír Bohácek","RegularPhaseMatch"
"Prerov","Hranice",27,29,"16.9.2009","13 : 15","423","5 : 3","Roman Bauer, Marek Tvrdon","Vladimír Schneider","Michal Kavka","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Dvur Králové","Frýdek-Místek",19,18,"20.2.2010","6 : 7","620","3 : 1","Roman Smékal, Tomáš Bubenícek","Petr Šulc","Martin Labský","Lubomír Kavka","Petr Mazur","RegularPhaseMatch"
"Trebon","Prerov",30,26,"20.2.2010","16 : 13","400","3 : 6","Bedrich Frieser, Lukáš Frieser","Jan Pavlovský","Zdenek Kubík","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Plzen","Zubrí",21,29,"20.2.2010","10 : 17","1150","5 : 6","Václav Kohout, Petr Novák","Vladimír Haber","Vladimír Eberle","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Jicín","Dukla",19,20,"20.2.2010","8 : 9","620","0 : 3","Jirí Opava, Pavel Válek","Petr Babák","Vladimír Bohácek","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Koprivnice","Karviná",23,33,"20.2.2010","13 : 19","500","4 : 1","Marek Becicka, Jirí Horák","Miroslav Barton","Ivo Vávra","Jozef Hanták","Martin Kostelník","RegularPhaseMatch"
"Hranice","Lovosice",33,24,"21.2.2010","11 : 12","400","3 : 2","Marek Becicka, Jirí Horák","Jan Hegar","Bretislav Žoch","Vojtech Srba","Pavel Haken","RegularPhaseMatch"
"Prerov","Lovosice",30,31,"13.2.2010","16 : 17","220","1 : 4","Pavel Nesvadba, Vangelis Simu","Miroslav Frank","Michal Kavka","Vojtech Srba","Stanislav Dorn","RegularPhaseMatch"
"Dukla","Hranice",27,27,"13.2.2010","12 : 13","180","1 : 3","Jirí Vetrovský, Martin Prucha","Pavel Pauza","Jirí Kotrc","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Trebon","Dvur Králové",29,25,"13.2.2010","13 : 14","350","4 : 7","Martin Zych, Petr Halada","Jan Pavlovský","Karel Petržala","Petr Šulc","Martin Labský","RegularPhaseMatch"
"Zubrí","Jicín",38,21,"13.2.2010","19 : 9","800","3 : 2","Roman Bauer, Marek Tvrdon","Jirí Kekrt","Jirí Mika","Petr Babák","Vladimír Bohácek","RegularPhaseMatch"
"Karviná","Plzen",31,29,"14.2.2010","16 : 10","601","1 : 3","Jirí Horák, Marek Becicka","Jozef Hanták","Martin Kostelník","Vladimír Haber","Vladimír Eberle","RegularPhaseMatch"
"Frýdek-Místek","Koprivnice",27,32,"14.2.2010","14 : 18","414","3 : 2","Vladimír Vaník, Lubomír Kohout","Lubomír Kavka","Václav Straka","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Dvur Králové","Prerov",22,20,"10.2.2010","11 : 13","420","3 : 2","Václav Kohout, Petr Novák","Petr Šulc","Martin Labský","Miroslav Frank","Richard Bucek","RegularPhaseMatch"
"Jicín","Karviná",25,36,"10.2.2010","14 : 17","700","1 : 3","Libor Skružný, Radoslav Kavulic","Petr Babák","Vladimír Bohácek","Jozef Hanták","Martin Kostelník","RegularPhaseMatch"
"Lovosice","Dukla",30,34,"10.2.2010","15 : 17","0","1 : 4","Lubomír Kohout, Vladimír Vaník","Vojtech Srba","Stanislav Dorn","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Koprivnice","Trebon",29,26,"10.2.2010","13 : 11","300","2 : 1","Marek Becicka, Jirí Horák","Miroslav Barton","Ivo Vávra","Jan Pavlovský","Karel Petržala","RegularPhaseMatch"
"Hranice","Zubrí",30,22,"10.2.2010","14 : 10","400","3 : 1","Tomáš Bubenícek, Jakub Smékal","Jan Hegar","Bretislav Žoch","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Plzen","Frýdek-Místek",30,22,"10.2.2010","11 : 8","575","5 : 1","Pavel Nesvadba, Vangelis Simu","Vladimír Haber","Vladimír Eberle","","Václav Straka","RegularPhaseMatch"
"Dvur Králové","Koprivnice",23,26,"6.2.2010","14 : 11","480","2 : 3","Martin Prucha, Jirí Vetrovský","Petr Šulc","Martin Labský","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Trebon","Plzen",29,28,"6.2.2010","18 : 13","350","6 : 2","Dalibor Pavlát, Petr Pešek","Jan Pavlovský","Zdenek Kubík","Vladimír Haber","Vladimír Eberle","RegularPhaseMatch"
"Zubrí","Lovosice",28,26,"6.2.2010","16 : 10","900","4 : 0","Václav Horácek, Jirí Novotný","Jirí Kekrt","Jirí Mika","Vojtech Srba","Stanislav Dorn","RegularPhaseMatch"
"Karviná","Hranice",27,31,"7.2.2010","12 : 16","731","1 : 0","Karel Macho, Milan Hájek","Jozef Hanták","Roman Farár","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Prerov","Dukla",28,32,"7.2.2010","13 : 16","215","5 : 1","Dalibor Pavlát, Petr Pešek","Miroslav Frank","Michal Kavka","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Frýdek-Místek","Jicín",24,25,"7.2.2010","10 : 17","406","3 : 3","Václav Horácek, Jirí Novotný","Lubomír Kavka","Václav Straka","Petr Babák","Vladimír Bohácek","RegularPhaseMatch"
"Koprivnice","Prerov",28,28,"9.12.2009","15 : 15","250","1 : 4","Roman Bauer, Marek Tvrdon","Miroslav Barton","Ivo Vávra","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Lovosice","Karviná",24,23,"10.12.2009","12 : 10","450","2 : 1","Václav Kohout, Petr Novák","Vojtech Srba","Stanislav Dorn","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Plzen","Dvur Králové",35,21,"11.12.2009","16 : 9","580","7 : 4","Petr Halada, Martin Zych","Vladimír Haber","Vladimír Eberle","Karel Hracha","Martin Labský","RegularPhaseMatch"
"Dukla","Zubrí",22,20,"12.12.2009","11 : 11","380","4 : 3","Václav Horácek, Jirí Novotný","Pavel Pauza","Jan Krouský","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Jicín","Trebon",30,20,"12.12.2009","14 : 7","550","4 : 2","Tomáš Bubenícek, Roman Smékal","Petr Babák","Vladimír Bohácek","Jan Pavlovský","Karel Petržala","RegularPhaseMatch"
"Hranice","Frýdek-Místek",36,22,"13.12.2009","17 : 10","350","2 : 0","Lubomír Kohout, Vladimír Vaník","Jan Hegar","Bretislav Žoch","Lubomír Kavka","Bretislav Šoltys","RegularPhaseMatch"
"Dvur Králové","Jicín",22,33,"5.12.2009","14 : 17","640","2 : 9","Pavel Nesvadba, Vangelis Simu","Petr Šulc","Martin Labský","Petr Babák","Vladimír Bohácek","RegularPhaseMatch"
"Koprivnice","Plzen",28,33,"5.12.2009","10 : 16","350","3 : 3","Václav Horácek, Jirí Novotný","Miroslav Barton","Ivo Vávra","Vladimír Haber","Vladimír Eberle","RegularPhaseMatch"
"Karviná","Dukla",23,24,"6.12.2009","11 : 11","789","3 : 6","Marek Becicka, Jirí Horák","Jozef Hanták","Roman Farár","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Frýdek-Místek","Lovosice",30,33,"6.12.2009","15 : 19","412","3 : 0","Milan Hájek, Karel Macho","Lubomír Kavka","Bretislav Šoltys","Vojtech Srba","Stanislav Dorn","RegularPhaseMatch"
"Prerov","Zubrí",20,37,"6.12.2009","8 : 17","213","1 : 0","Martin Prucha, Jirí Vetrovský","Miroslav Frank","Michal Kavka","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Trebon","Hranice",29,38,"6.12.2009","15 : 16","430","3 : 1","Radoslav Kavulic, Libor Skružný","Jan Pavlovský","Karel Petržala","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Dukla","Frýdek-Místek",39,24,"28.11.2009","18 : 11","95","1 : 3","Michal Hanák, Jan Kosmák","Pavel Pauza","Jan Krouský","Martin Strnadel","Petr Mazur","RegularPhaseMatch"
"Lovosice","Trebon",32,26,"28.11.2009","13 : 13","350","1 : 5","Roman Smékal, Tomáš Bubenícek","Vojtech Srba","Stanislav Dorn","Jan Pavlovský","Vladislav Jordák","RegularPhaseMatch"
"Plzen","Prerov",32,28,"28.11.2009","16 : 14","600","0 : 1","Radoslav Kavulic, Libor Skružný","Vladimír Haber","Vladimír Eberle","Miroslav Frank","Michal Kavka","RegularPhaseMatch"
"Jicín","Koprivnice",28,23,"28.11.2009","11 : 8","450","4 : 2","Milan Hájek, Karel Macho","Petr Babák","Vladimír Bohácek","Miroslav Barton","Ivo Vávra","RegularPhaseMatch"
"Zubrí","Karviná",32,24,"29.11.2009","19 : 12","1000","5 : 5","Pavel Nesvadba, Vangelis Simu","Jirí Kekrt","Jirí Mika","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Hranice","Dvur Králové",43,26,"29.11.2009","20 : 9","200","4 : 2","Jirí Novotný, Václav Horácek","Jan Hegar","Bretislav Žoch","Petr Šulc","Martin Labský","RegularPhaseMatch"
"Frýdek-Místek","Zubrí",28,41,"21.10.2009","12 : 20","328","1 : 4","Roman Bauer, Marek Tvrdon","Martin Strnadel","Petr Mazur","Jirí Kekrt","Jirí Mika","RegularPhaseMatch"
"Dvur Králové","Lovosice",15,31,"21.10.2009","8 : 17","340","2 : 2","Jirí Opava, Pavel Válek","Petr Šulc","Martin Labský","Vojtech Srba","Stanislav Dorn","RegularPhaseMatch"
"Koprivnice","Hranice",25,25,"21.10.2009","12 : 11","400","6 : 4","Petr Pešek, Dalibor Pavlát","Miroslav Barton","Ivo Vávra","Jan Hegar","Bretislav Žoch","RegularPhaseMatch"
"Prerov","Karviná",26,37,"21.10.2009","15 : 17","200","2 : 6","Václav Horácek, Jirí Novotný","","Michal Kavka","Jozef Hanták","Roman Farár","RegularPhaseMatch"
"Trebon","Dukla",18,27,"21.10.2009","10 : 12","300","0 : 2","Michal Hanák, Jan Kosmák","Jan Pavlovský","Karel Petržala","Pavel Pauza","Jan Krouský","RegularPhaseMatch"
"Plzen","Jicín",23,21,"21.10.2009","11 : 9","500","3 : 1","Lubomír Kohout, Vladimír Vaník","Vladimír Haber","Vladimír Eberle","Petr Babák","Vladimír Bohácek","RegularPhaseMatch"
"Dvur Králové","Dukla",27,28,"21.11.2009","15 : 13","520","3 : 5","Karel Macho, Milan Hájek","Petr Šulc","Martin Labský","Jirí Kotrc","Daniel Curda","RegularPhaseMatch"
"Jicín","Prerov",39,25,"21.11.2009","20 : 12","500","0 : 5","Marek Becicka, Jirí Horák","Petr Babák","Vladimír Bohácek","Vladimír Schneider","Michal Kavka","RegularPhaseMatch"
