"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"M.A.T. Plzen","A.S.A. Lovosice",33,25,"9.5.2015","17 : 12","1265","2 : 2","Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","FinalsMatch"
"M.A.T. Plzen","A.S.A. Lovosice",26,18,"10.5.2015","16 : 9","1348","3 : 5","Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Vladimír Šuma","Pavel Haken","FinalsMatch"
"A.S.A. Lovosice","M.A.T. Plzen",21,22,"16.5.2015","12 : 10","950","5 : 3","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Martin Šetlík","Stanislav Raizl","FinalsMatch"
"KP Brno","Baník OKD Karviná",32,31,"9.5.2015","13 : 15","318","4 : 2","Milan Hájek, Karel Macho","Andrej Titkov","Pavel Cejka","Jaroslav Hudecek","Radek Gumolka","3rdPlaceMatch"
"KP Brno","Baník OKD Karviná",25,26,"10.5.2015","9 : 12","371","2 : 2","Michal Nezbeda, Václav Zelenka","Andrej Titkov","Pavel Cejka","Jaroslav Hudecek","Jan Dudek","3rdPlaceMatch"
"Baník OKD Karviná","KP Brno",30,33,"16.5.2015","13 : 15","515","4 : 2","Ludek Tocík, Martin Zych","Jaroslav Hudecek","Radek Gumolka","Andrej Titkov","Pavel Cejka","3rdPlaceMatch"
"Baník OKD Karviná","KP Brno",27,32,"17.5.2015","13 : 15","615","6 : 3","Václav Horácek, Jirí Novotný","Jaroslav Hudecek","Radek Gumolka","Andrej Titkov","Pavel Cejka","3rdPlaceMatch"
"Dukla Praha","Gumárny Zubrí",26,25,"8.5.2015","14 : 12","125","1 : 5","Michal Hanák, Luboš Pavlícek","Jan Josef","Jirí Kotrc","Jirí Kekrt","Ivo Tovaryš","5thPlaceMatch"
"Gumárny Zubrí","Dukla Praha",31,23,"16.5.2015","15 : 11","450","3 : 2","Marek Becicka, Jirí Horák","Jirí Kekrt","Ivo Tovaryš","Jan Josef","Jirí Kotrc","5thPlaceMatch"
"SKP Frýdek-Místek","Cement Hranice",30,29,"8.5.2015","16 : 14","156","1 : 0","Bohumil Bruna, Petr Halada","Aleš Chrastina","Petr Mazur","Libor Hrabal","Karel Magrla","7thPlaceMatch"
"Cement Hranice","SKP Frýdek-Místek",35,27,"15.5.2015","20 : 11","253","3 : 1","Tomáš Bubenícek, Jan Kosmák","Libor Hrabal","Martin Potiška","Aleš Chrastina","Petr Mazur","7thPlaceMatch"
"KP Brno","A.S.A. Lovosice",24,20,"11.4.2015","12 : 12","751","2 : 1","Milan Hájek, Karel Macho","Andrej Titkov","Pavel Cejka","Vladimír Šuma","Pavel Haken","SemifinalsMatch"
"M.A.T. Plzen","Baník OKD Karviná",27,23,"11.4.2015","16 : 12","1130","2 : 2","Ludek Tocík, Martin Zych","Martin Šetlík","Stanislav Raizl","Jaroslav Hudecek","Radek Gumolka","SemifinalsMatch"
"M.A.T. Plzen","Baník OKD Karviná",35,17,"12.4.2015","18 : 13","910","1 : 2","Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Jaroslav Hudecek","Radek Gumolka","SemifinalsMatch"
"KP Brno","A.S.A. Lovosice",30,28,"12.4.2015","15 : 16","825","1 : 1","Radoslav Kavulic, Libor Skružný","Andrej Titkov","Pavel Cejka","Vladimír Šuma","Pavel Haken","SemifinalsMatch"
"A.S.A. Lovosice","KP Brno",27,24,"18.4.2015","16 : 14","570","5 : 3","Jirí Opava, Pavel Válek","Vladimír Šuma","Pavel Haken","Andrej Titkov","Jan Pokorný","SemifinalsMatch"
"Baník OKD Karviná","M.A.T. Plzen",24,32,"18.4.2015","10 : 15","1017","0 : 2","Václav Horácek, Jirí Novotný","Jaroslav Hudecek","Radek Gumolka","Martin Šetlík","Stanislav Raizl","SemifinalsMatch"
"A.S.A. Lovosice","KP Brno",26,20,"19.4.2015","14 : 10","950","0 : 3","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Andrej Titkov","Pavel Cejka","SemifinalsMatch"
"KP Brno","A.S.A. Lovosice",22,23,"22.4.2015","12 : 11","1120","3 : 2","Jirí Opava, Pavel Válek","Andrej Titkov","Pavel Cejka","Vladimír Šuma","Pavel Haken","SemifinalsMatch"
"Cement Hranice","Dukla Praha",24,26,"11.4.2015","12 : 14","185","4 : 4","Bohumil Bruna, Petr Halada","Libor Hrabal","Martin Potiška","Jan Josef","Daniel Curda","5till8placeMatch"
"SKP Frýdek-Místek","Gumárny Zubrí",30,26,"12.4.2015","17 : 16","465","4 : 1","Michal Nezbeda, Václav Zelenka","Aleš Chrastina","Petr Mazur","Jirí Kekrt","Ivo Tovaryš","5till8placeMatch"
"Dukla Praha","Cement Hranice",33,25,"18.4.2015","18 : 9","145","4 : 4","Michal Nezbeda, Václav Zelenka","Jan Josef","Jirí Kotrc","Libor Hrabal","Radim Brož","5till8placeMatch"
"Gumárny Zubrí","SKP Frýdek-Místek",28,19,"18.4.2015","14 : 12","650","1 : 3","Michal Hanák, Luboš Pavlícek","Jirí Kekrt","Ivo Tovaryš","Aleš Chrastina","Petr Mazur","5till8placeMatch"
"Gumárny Zubrí","Baník OKD Karviná",27,28,"28.3.2015","14 : 8","1250","5 : 1","Lukáš Frieser, Dalibor Pavlát","Jirí Kekrt","Ivo Tovaryš","Jaroslav Hudecek","Radek Gumolka","QuarterfinalsMatch"
"Cement Hranice","KP Brno",25,27,"28.3.2015","12 : 13","310","0 : 4","Milan Hájek, Karel Macho","Libor Hrabal","Martin Schober","Andrej Titkov","Jan Pokorný","QuarterfinalsMatch"
"Dukla Praha","A.S.A. Lovosice",22,24,"28.3.2015","12 : 11","325","4 : 2","Ludek Tocík, Martin Zych","Jan Josef","Jirí Kotrc","Vladimír Šuma","Pavel Haken","QuarterfinalsMatch"
"M.A.T. Plzen","SKP Frýdek-Místek",27,23,"28.3.2015","16 : 14","938","4 : 5","Marek Becicka, Jirí Horák","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch"
"Cement Hranice","KP Brno",26,27,"29.3.2015","15 : 10","390","1 : 6","Radoslav Kavulic, Libor Skružný","Libor Hrabal","Martin Schober","Andrej Titkov","Jan Pokorný","QuarterfinalsMatch"
"Gumárny Zubrí","Baník OKD Karviná",25,30,"29.3.2015","14 : 16","1100","4 : 0","Václav Horácek, Jirí Novotný","Jirí Kekrt","Ivo Tovaryš","Jaroslav Hudecek","Radek Gumolka","QuarterfinalsMatch"
"Dukla Praha","A.S.A. Lovosice",24,25,"29.3.2015","13 : 14","390","2 : 2","Jirí Opava, Pavel Válek","Jan Josef","Jirí Kotrc","Vladimír Šuma","Pavel Haken","QuarterfinalsMatch"
"M.A.T. Plzen","SKP Frýdek-Místek",25,26,"29.3.2015","14 : 12","320","2 : 2","Lukáš Frieser, Dalibor Pavlát","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch"
"A.S.A. Lovosice","Dukla Praha",26,25,"4.4.2015","14 : 16","758","5 : 1","Václav Horácek, Jirí Novotný","Vladimír Šuma","Pavel Haken","Jan Josef","Daniel Curda","QuarterfinalsMatch"
"Baník OKD Karviná","Gumárny Zubrí",31,29,"4.4.2015","16 : 14","1250","2 : 2","Ludek Tocík, Martin Zych","Jaroslav Hudecek","Radek Gumolka","Jirí Kekrt","Ivo Tovaryš","QuarterfinalsMatch"
"SKP Frýdek-Místek","M.A.T. Plzen",18,19,"4.4.2015","9 : 7","523","3 : 3","Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Martin Šetlík","Stanislav Raizl","QuarterfinalsMatch"
"KP Brno","Cement Hranice",29,24,"4.4.2015","14 : 8","980","1 : 1","Jirí Opava, Pavel Válek","Andrej Titkov","Jan Pokorný","Libor Hrabal","Karel Magrla","QuarterfinalsMatch"
"SKP Frýdek-Místek","M.A.T. Plzen",15,23,"5.4.2015","9 : 10","475","2 : 3","Václav Horácek, Jirí Novotný","Aleš Chrastina","Petr Mazur","Martin Šetlík","Stanislav Raizl","QuarterfinalsMatch"
"HC Zlín","Ronal Jicín",22,30,"19.4.2015","13 : 15","201","4 : 4","Premysl Fukala, Radek Mohyla","Jirí Micola","Petr Novák","Aleš Babák","Petr Kyncl","9till12placeMatch"
"Ronal Jicín","HC Zlín",27,23,"25.4.2015","17 : 10","325","3 : 1","Pavel Blanar, Michael Haramul","Aleš Babák","Petr Kyncl","Jirí Micola","Petr Novák","9till12placeMatch"
"Tatran Litovel","Sokol Prerov",41,19,"18.4.2015","26 : 8","408","1 : 2","Tomáš Bubenícek, Jan Kosmák","Lubomír Krejcír","Jirí Macek","Jirí Kopecký","Richard Bucek","9till12placeMatch"
"Tatran Litovel","Sokol Prerov",32,26,"19.4.2015","15 : 10","353","2 : 5","Bohumil Bruna, Petr Halada","Lubomír Krejcír","Jirí Macek","Jirí Kopecký","Richard Bucek","9till12placeMatch"
"Sokol Prerov","Tatran Litovel",18,36,"9.5.2015","10 : 17","383","1 : 5","Václav Horácek, Milan Letev","Jirí Kopecký","Richard Bucek","Lubomír Krejcír","Jirí Macek","9till12placeMatch"
"HC Zlín","Tatran Litovel",23,22,"28.3.2015","16 : 9","333","4 : 3","Bohumil Bruna, Petr Halada","Jirí Micola","Petr Novák","Lubomír Krejcír","Jirí Macek","9till12placeMatch"
"Ronal Jicín","Sokol Prerov",42,22,"28.3.2015","20 : 11","360","2 : 2","Michal Hanák, Luboš Pavlícek","Aleš Babák","Petr Kyncl","Jirí Kopecký","Richard Bucek","9till12placeMatch"
"Ronal Jicín","Sokol Prerov",34,22,"29.3.2015","18 : 8","290","2 : 2","Martin Kosa, Pavel Švidernoch","Aleš Babák","Petr Kyncl","Jirí Kopecký","Richard Bucek","9till12placeMatch"
"HC Zlín","Tatran Litovel",23,22,"29.3.2015","12 : 13","328","3 : 5","Marek Becicka, Jirí Horák","Jirí Micola","Petr Novák","Lubomír Krejcír","Jirí Macek","9till12placeMatch"
"Sokol Prerov","Ronal Jicín",19,40,"2.4.2015","7 : 21","30","1 : 4","Tomáš Bubenícek, Jan Kosmák","Jirí Kopecký","Richard Bucek","Aleš Babák","Petr Kyncl","9till12placeMatch"
"Tatran Litovel","HC Zlín",29,25,"4.4.2015","15 : 16","449","1 : 2","Radoslav Kavulic, Libor Skružný","Lubomír Krejcír","Jirí Macek","Jirí Micola","Petr Novák","9till12placeMatch"
"Tatran Litovel","HC Zlín",21,22,"5.4.2015","11 : 14","432","1 : 1","Tomáš Bubenícek, Jan Kosmák","Lubomír Krejcír","Jirí Macek","Jirí Micola","Petr Novák","9till12placeMatch"
"Gumárny Zubrí","Dukla Praha",30,27,"14.3.2015","12 : 14","1250","3 : 5","Milan Hájek, Karel Macho","Jirí Kekrt","Ivo Tovaryš","Jan Josef","Daniel Curda","RegularPhaseMatch"
"A.S.A. Lovosice","Sokol Prerov",40,20,"14.3.2015","18 : 11","576","1 : 2","Pavel Blanar, Michael Haramul","Vladimír Šuma","Pavel Haken","","Richard Bucek","RegularPhaseMatch"
"M.A.T. Plzen","SKP Frýdek-Místek",25,19,"14.3.2015","14 : 14","760","1 : 4","Ludek Tocík, Martin Zych","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","RegularPhaseMatch"
"Baník OKD Karviná","Ronal Jicín",32,18,"14.3.2015","17 : 7","1017","2 : 1","Jirí Opava, Pavel Válek","Jaroslav Hudecek","Radek Gumolka","Aleš Babák","Petr Kyncl","RegularPhaseMatch"
"Tatran Litovel","HC Zlín",28,24,"14.3.2015","11 : 10","432","2 : 2","Michal Nezbeda, Václav Zelenka","Lubomír Krejcír","Jirí Macek","Jirí Micola","Petr Novák","RegularPhaseMatch"
"Cement Hranice","KP Brno",30,28,"15.3.2015","15 : 16","420","1 : 3","Michal Hanák, Luboš Pavlícek","Libor Hrabal","Martin Schober","Andrej Titkov","Gabriela Topinková","RegularPhaseMatch"
"SKP Frýdek-Místek","A.S.A. Lovosice",28,27,"6.3.2015","13 : 11","492","3 : 2","Václav Horácek, Jirí Novotný","Aleš Chrastina","Petr Mazur","Vladimír Šuma","Pavel Haken","RegularPhaseMatch"
"Ronal Jicín","M.A.T. Plzen",23,24,"7.3.2015","11 : 10","780","2 : 1","Václav Horácek, Jirí Novotný","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch"
"Sokol Prerov","Cement Hranice",26,37,"7.3.2015","10 : 18","185","0 : 4","Bohumil Bruna, Petr Halada","Jirí Kopecký","Richard Bucek","Libor Hrabal","Martin Schober","RegularPhaseMatch"
"Dukla Praha","Baník OKD Karviná",36,31,"7.3.2015","20 : 12","180","6 : 2","Michal Nezbeda, Václav Zelenka","Jan Josef","Jirí Kotrc","Jaroslav Hudecek","Petr Raszyk","RegularPhaseMatch"
"KP Brno","Tatran Litovel",30,26,"7.3.2015","17 : 17","613","5 : 0","Milan Hájek, Karel Macho","Andrej Titkov","Jan Pokorný","Kvetoslav Kuba","Jirí Macek","RegularPhaseMatch"
"HC Zlín","Gumárny Zubrí",27,36,"7.3.2015","11 : 16","120","3 : 4","Marek Becicka, Jirí Horák","Jirí Micola","Petr Novák","Jirí Kekrt","Ivo Tovaryš","RegularPhaseMatch"
"Baník OKD Karviná","HC Zlín",38,14,"27.2.2015","22 : 5","420","0 : 1","Tomáš Bubenícek, Jan Kosmák","Jaroslav Hudecek","Petr Raszyk","Jirí Micola","Petr Novák","RegularPhaseMatch"
"Tatran Litovel","Sokol Prerov",37,21,"28.2.2015","17 : 13","493","4 : 4","Martin Kosa, Pavel Švidernoch","Lubomír Krejcír","Jirí Macek","Jirí Kopecký","Richard Bucek","RegularPhaseMatch"
"Gumárny Zubrí","KP Brno",36,36,"28.2.2015","15 : 17","1150","0 : 2","Jirí Králícek, Milan Letev","Jirí Kekrt","Ivo Tovaryš","Andrej Titkov","Jan Pokorný","RegularPhaseMatch"
"Ronal Jicín","Dukla Praha",24,23,"1.3.2015","16 : 12","680","1 : 3","Marek Becicka, Jirí Horák","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","RegularPhaseMatch"
"Cement Hranice","SKP Frýdek-Místek",38,29,"1.3.2015","21 : 16","315","1 : 1","Lukáš Frieser, Radoslav Kavulic","Libor Hrabal","Martin Schober","Aleš Chrastina","Petr Mazur","RegularPhaseMatch"
"M.A.T. Plzen","A.S.A. Lovosice",35,25,"1.3.2015","15 : 15","1180","0 : 3","Jirí Opava, Pavel Válek","Martin Šetlík","Jirí Hynek","Vladimír Šuma","Pavel Haken","RegularPhaseMatch"
"Dukla Praha","M.A.T. Plzen",29,29,"18.2.2015","15 : 15","275","1 : 2","Lukáš Frieser, Dalibor Pavlát","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch"
"Sokol Prerov","Gumárny Zubrí",24,39,"20.2.2015","8 : 21","195","4 : 2","Jirí Kaufman, Filip Procházka","Jirí Kopecký","Richard Bucek","Jirí Kekrt","Ivo Tovaryš","RegularPhaseMatch"
"Cement Hranice","A.S.A. Lovosice",19,17,"21.2.2015","10 : 11","240","3 : 1","Ludek Tocík, Martin Zych","Libor Hrabal","Martin Schober","Vladimír Šuma","Pavel Haken","RegularPhaseMatch"
"KP Brno","Baník OKD Karviná",27,27,"21.2.2015","13 : 13","630","4 : 3","Michal Nezbeda, Václav Zelenka","Andrej Titkov","Jan Pokorný","Jaroslav Hudecek","Petr Raszyk","RegularPhaseMatch"
"HC Zlín","Ronal Jicín",28,25,"22.2.2015","15 : 13","320","3 : 2","Radoslav Kavulic, Libor Skružný","Jirí Micola","Petr Novák","Aleš Babák","Petr Kyncl","RegularPhaseMatch"
"SKP Frýdek-Místek","Tatran Litovel",34,22,"22.2.2015","15 : 10","483","3 : 1","Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Lubomír Krejcír","Jirí Macek","RegularPhaseMatch"
"Dukla Praha","HC Zlín",35,22,"11.2.2015","18 : 9","275","4 : 4","Michal Nezbeda, Václav Zelenka","Jan Josef","Jirí Kotrc","Jirí Micola","Petr Novák","RegularPhaseMatch"
"Tatran Litovel","A.S.A. Lovosice",24,35,"14.2.2015","10 : 19","368","2 : 3","Bohumil Bruna, Petr Halada","Lubomír Krejcír","Jirí Macek","Vladimír Šuma","Pavel Haken","RegularPhaseMatch"
"Ronal Jicín","KP Brno",27,18,"14.2.2015","13 : 8","615","1 : 1","Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Andrej Titkov","Gabriela Topinková","RegularPhaseMatch"
"Gumárny Zubrí","SKP Frýdek-Místek",29,23,"14.2.2015","13 : 9","950","6 : 2","Michal Nezbeda, Václav Zelenka","Jirí Kekrt","Ivo Tovaryš","Aleš Chrastina","Petr Mazur","RegularPhaseMatch"
"M.A.T. Plzen","Cement Hranice",30,19,"15.2.2015","15 : 10","892","5 : 5","Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Libor Hrabal","Martin Schober","RegularPhaseMatch"
"Baník OKD Karviná","Sokol Prerov",36,24,"15.2.2015","20 : 11","496","3 : 4","Premysl Fukala, Radek Mohyla","Jaroslav Hudecek","Petr Raszyk","Jirí Kopecký","Richard Bucek","RegularPhaseMatch"
"A.S.A. Lovosice","Gumárny Zubrí",29,28,"7.2.2015","13 : 13","654","3 : 4","Milan Hájek, Karel Macho","Vladimír Šuma","Pavel Haken","Jirí Kekrt","Ivo Tovaryš","RegularPhaseMatch"
"KP Brno","Dukla Praha",25,25,"7.2.2015","13 : 10","680","1 : 1","Michal Hanák, Luboš Pavlícek","Andrej Titkov","Jan Pokorný","Jan Josef","Jirí Kotrc","RegularPhaseMatch"
"HC Zlín","M.A.T. Plzen",23,32,"7.2.2015","10 : 18","420","0 : 5","Bohumil Bruna, Petr Halada","Jirí Micola","Petr Novák","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch"
"Cement Hranice","Tatran Litovel",32,28,"8.2.2015","16 : 17","310","5 : 0","Tomáš Bubenícek, Jan Kosmák","Martin Schober","Martin Potiška","Lubomír Krejcír","Jirí Macek","RegularPhaseMatch"
