"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"M.A.T. Plzen","Dukla Praha",22,24,"13.5.2017","14 : 14","1370","3 : 2","Michal Hanák, Luboš Pavlícek","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch"
"M.A.T. Plzen","Dukla Praha",34,19,"14.5.2017","18 : 9","1340","2 : 7","Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch"
"Dukla Praha","M.A.T. Plzen",28,23,"19.5.2017","13 : 14","700","2 : 0","Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch"
"Dukla Praha","M.A.T. Plzen",27,26,"20.5.2017","12 : 8","1300","4 : 3","Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch"
"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,20,"13.5.2017","12 : 9","1134","4 : 2","Jirí Opava, Pavel Válek","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","3rdPlaceMatch"
"HC ROBE Zubrí","HK FCC Mesto Lovosice",33,24,"14.5.2017","17 : 10","1043","2 : 0","Dalibor Pavlát, Ludek Tocík","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","3rdPlaceMatch"
"HK FCC Mesto Lovosice","HC ROBE Zubrí",31,29,"20.5.2017","14 : 15","580","2 : 2",", Radek Mohyla","Milan Berka","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch"
"HK FCC Mesto Lovosice","HC ROBE Zubrí",22,32,"21.5.2017","11 : 17","410","2 : 0","Václav Horácek, Jirí Novotný","Milan Berka","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch"
"HBC Ronal Jicín","Pepino SKP Frýdek-Místek",26,27,"28.4.2017","15 : 14","305","1 : 4","Dalibor Pavlát, Ludek Tocík","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","5thPlaceMatch"
"Pepino SKP Frýdek-Místek","HBC Ronal Jicín",21,22,"7.5.2017","12 : 13","389","3 : 2","Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","5thPlaceMatch"
"SKKP Handball Brno","HCB Karviná",29,30,"28.4.2017","16 : 12","112","0 : 4","Václav Horácek, Jirí Novotný","Zdenek Missbach","Pavel Cejka","Marek Michalisko","Alexander Radcenko","7thPlaceMatch"
"HCB Karviná","SKKP Handball Brno",33,30,"5.5.2017","15 : 14","328","3 : 2","Adam Baader, Jirí Novotný","Marek Michalisko","Jan Užek","Zdenek Missbach","Pavel Cejka","7thPlaceMatch"
"M.A.T. Plzen","HK FCC Mesto Lovosice",34,26,"14.4.2017","20 : 12","1120","3 : 5","Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Milan Berka","Pavel Haken","SemifinalsMatch"
"M.A.T. Plzen","HK FCC Mesto Lovosice",29,23,"15.4.2017","17 : 9","1170","2 : 4","Dalibor Pavlát, Ludek Tocík","Martin Šetlík","Stanislav Raizl","Milan Berka","Pavel Haken","SemifinalsMatch"
"HC ROBE Zubrí","Dukla Praha",28,29,"15.4.2017","15 : 11","1462","4 : 2","Václav Horácek, Jirí Novotný","Andrej Titkov","Ivo Tovaryš","Jan Josef","Jirí Kotrc","SemifinalsMatch"
"HC ROBE Zubrí","Dukla Praha",20,26,"16.4.2017","11 : 10","1386","2 : 3","Premysl Fukala, Radek Mohyla","Andrej Titkov","Ivo Tovaryš","Jan Josef","Jirí Kotrc","SemifinalsMatch"
"Dukla Praha","HC ROBE Zubrí",28,24,"22.4.2017","16 : 14","535","3 : 5","Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Andrej Titkov","Ivo Tovaryš","SemifinalsMatch"
"HK FCC Mesto Lovosice","M.A.T. Plzen",23,32,"22.4.2017","12 : 13","910","4 : 2","Jirí Opava, Pavel Válek","Milan Berka","Pavel Haken","Martin Šetlík","Stanislav Raizl","SemifinalsMatch"
"Pepino SKP Frýdek-Místek","SKKP Handball Brno",29,28,"13.4.2017","14 : 16","390","5 : 2","Mojmír Valášek, Jaroslav Vychodil","Aleš Chrastina","Lubomír Kavka","Zdenek Missbach","Pavel Cejka","5till8placeMatch"
"HBC Ronal Jicín","HCB Karviná",30,25,"14.4.2017","17 : 11","420","1 : 2","Lukáš Frieser, Radoslav Kavulic","Aleš Babák","Petr Kyncl","Marek Michalisko","Alexander Radcenko","5till8placeMatch"
"HCB Karviná","HBC Ronal Jicín",24,23,"22.4.2017","9 : 13","480","7 : 2","David Šlezingr, Jirí Špunar","Marek Michalisko","Jan Užek","Aleš Babák","Petr Kyncl","5till8placeMatch"
