"Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Halftime.Score","Attendance","Seven.m.goals","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase"
"Lovosice","Dukla",29,24,"25.5.2013","16 : 9","645","1 : 5","Radoslav Kavulic, Libor Skružný","Vojtech Srba","Pavel Haken","Pavel Pauza","Milan Kotrc","1till6placeMatch"
"Jicín","Plzen",26,23,"25.5.2013","11 : 14","860","1 : 2","Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl","1till6placeMatch"
"Zubrí","Hranice",26,31,"25.5.2013","10 : 17","900","5 : 0","Michal Hanák, Petr Novák","Aleš Korínek","Michal Balhárek","Libor Hrabal","Martin Potiška","1till6placeMatch"
"Dukla","Jicín",30,28,"18.5.2013","14 : 15","145","1 : 0","Michal Hanák, Petr Novák","Pavel Pauza","Milan Kotrc","Aleš Babák","Petr Kyncl","1till6placeMatch"
"Plzen","Zubrí",30,30,"18.5.2013","15 : 18","120","6 : 8","Jirí Opava, Pavel Válek","Martin Šetlík","Stanislav Raizl","Aleš Korínek","Michal Balhárek","1till6placeMatch"
"Hranice","Lovosice",29,22,"19.5.2013","15 : 11","240","0 : 2","Milan Hájek, Karel Macho","Libor Hrabal","Martin Potiška","Vojtech Srba","Pavel Haken","1till6placeMatch"
"Plzen","Dukla",25,29,"11.5.2013","11 : 16","140","2 : 4","Bedrich Frieser, Lukáš Frieser","Martin Šetlík","Stanislav Raizl","Pavel Pauza","Milan Kotrc","1till6placeMatch"
"Jicín","Hranice",25,20,"12.5.2013","13 : 9","1160","2 : 1","Radoslav Kavulic, Libor Skružný","Aleš Babák","Petr Kyncl","Libor Hrabal","Martin Potiška","1till6placeMatch"
"Zubrí","Lovosice",23,26,"12.5.2013","13 : 11","600","2 : 2","Marek Becicka, Jirí Horák","Jirí Micola","Michal Balhárek","Vojtech Srba","Pavel Haken","1till6placeMatch"
"Hranice","Plzen",20,21,"8.5.2013","9 : 11","210","3 : 2","Bohumil Bruna, René Vostatek","Libor Hrabal","Martin Potiška","Martin Šetlík","Stanislav Raizl","1till6placeMatch"
